'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for April 2017,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/04/2017,4.8,0.0, ,27.1,18.6,80,56,6.41,17.75
GOLD COAST SEAWAY,02/04/2017,4.8,0.0, ,26.9,19.9,85,56,8.74,14.83
GOLD COAST SEAWAY,03/04/2017,4.8,0.0, ,25.2,18.7,81,62,9.13,19.84
GOLD COAST SEAWAY,04/04/2017,4.4,0.2, ,25.5,17.9,85,63,9.12,17.00
GOLD COAST SEAWAY,05/04/2017,3.9,0.4, ,25.0,16.9,99,63,7.89,18.81
GOLD COAST SEAWAY,06/04/2017,3.4,8.0, ,25.0,16.8,99,59,6.74,12.70
GOLD COAST SEAWAY,07/04/2017,4.2,0.4, ,25.1,16.7,90,61,7.06,20.15
GOLD COAST SEAWAY,08/04/2017,4.4,0.2, ,26.2,18.3,87,62,8.00,18.32
GOLD COAST SEAWAY,09/04/2017,3.7,1.0, ,26.6,18.4,99,64,3.91,18.99
GOLD COAST SEAWAY,10/04/2017,5.6,0.2, ,29.1,17.9,99,23,4.78,19.77
GOLD COAST SEAWAY,11/04/2017,4.9,0.0, ,26.0,12.8,78,36,4.43,19.62
GOLD COAST SEAWAY,12/04/2017,4.7,0.0, ,27.5,16.6,86,55,6.53,18.89
GOLD COAST SEAWAY,13/04/2017,4.5,0.0, ,26.6,17.3,85,55,5.99,18.74
GOLD COAST SEAWAY,14/04/2017,3.4,0.0, ,26.2,16.8,97,57,4.13,14.82
GOLD COAST SEAWAY,15/04/2017,3.7,0.0, ,26.3,16.4,88,57,3.85,17.14
GOLD COAST SEAWAY,16/04/2017,3.5,0.0, ,25.5,16.0,97,56,3.21,18.07
GOLD COAST SEAWAY,17/04/2017,3.9,0.0, ,26.0,16.4,90,54,3.94,18.72
GOLD COAST SEAWAY,18/04/2017,4.2,0.0, ,26.3,16.7,88,55,5.67,18.23
GOLD COAST SEAWAY,19/04/2017,4.3,0.2, ,25.6,17.7,87,59,7.57,17.74
GOLD COAST SEAWAY,20/04/2017,4.9,1.4, ,25.5,19.0,85,54,10.47,14.84
GOLD COAST SEAWAY,21/04/2017,3.2,1.6, ,24.8,17.5,99,64,7.54,13.16
GOLD COAST SEAWAY,22/04/2017,3.9,16.8, ,25.0,17.6,100,55,7.12,16.76
GOLD COAST SEAWAY,23/04/2017,3.7,0.2, ,25.9,15.9,89,58,4.79,16.87
GOLD COAST SEAWAY,24/04/2017,3.4,0.0, ,25.8,16.6,99,63,4.58,17.60
GOLD COAST SEAWAY,25/04/2017,3.1,0.0, ,24.9,16.0,96,63,3.47,16.64
GOLD COAST SEAWAY,26/04/2017,2.0,0.0, ,23.0,18.4,99,70,4.20,7.29
GOLD COAST SEAWAY,27/04/2017,3.7,4.8, ,21.6,15.2,88,38,4.04,17.23
GOLD COAST SEAWAY,28/04/2017,4.4,0.0, ,24.9,13.8,81,45,6.20,15.07
GOLD COAST SEAWAY,29/04/2017,4.4,0.0, ,25.2,15.8,83,46,5.77,17.12
GOLD COAST SEAWAY,30/04/2017,3.8,0.0, ,24.6,15.0,90,53,5.72,16.56
Totals:,,121.6,35.4, ,,,,,, 
