'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for June 2017,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 July 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/06/2017,3.6,0.0, ,20.7,11.9,72,46,5.82,14.07
GOLD COAST SEAWAY,02/06/2017,3.5,0.0, ,21.9,13.0,79,42,5.14,14.05
GOLD COAST SEAWAY,03/06/2017,3.6,0.0, ,22.5,12.7,74,46,5.40,13.98
GOLD COAST SEAWAY,04/06/2017,3.5,0.0, ,22.7,14.1,85,48,6.01,13.82
GOLD COAST SEAWAY,05/06/2017,2.8,0.0, ,23.0,11.6,98,43,3.49,13.92
GOLD COAST SEAWAY,06/06/2017,3.1,0.0, ,21.7,12.6,94,31,3.69,13.82
GOLD COAST SEAWAY,07/06/2017,3.2,0.0, ,20.9,8.6,74,29,3.48,13.84
GOLD COAST SEAWAY,08/06/2017,2.9,0.0, ,21.9,9.4,83,37,3.27,13.64
GOLD COAST SEAWAY,09/06/2017,2.9,0.0, ,23.9,11.7,90,51,4.41,11.22
GOLD COAST SEAWAY,10/06/2017,2.8,0.0, ,21.9,16.0,100,60,8.92,11.32
GOLD COAST SEAWAY,11/06/2017,1.9,21.6, ,21.9,16.2,100,74,7.39,7.65
GOLD COAST SEAWAY,12/06/2017,1.2,52.0, ,21.8,15.7,100,90,5.72,9.17
GOLD COAST SEAWAY,13/06/2017,0.8,15.2, ,19.4,15.1,100,93,12.55,5.35
GOLD COAST SEAWAY,14/06/2017,0.7,17.8, ,20.6,16.3,100,99,10.82,8.83
GOLD COAST SEAWAY,15/06/2017,1.9,15.6, ,22.6,17.0,100,78,8.08,9.94
GOLD COAST SEAWAY,16/06/2017,1.2,0.0, ,21.6,17.7,100,91,7.24,9.32
GOLD COAST SEAWAY,17/06/2017,1.2,1.8, ,22.8,17.7,100,95,3.46,9.45
GOLD COAST SEAWAY,18/06/2017,2.4,0.4, ,23.0,14.3,99,58,3.93,13.63
GOLD COAST SEAWAY,19/06/2017,2.3,0.0, ,21.6,16.0,98,69,8.08,10.64
GOLD COAST SEAWAY,20/06/2017,2.3,0.0, ,21.8,16.4,97,67,6.50,10.71
GOLD COAST SEAWAY,21/06/2017,2.8,0.0, ,22.7,14.2,81,54,4.08,12.20
GOLD COAST SEAWAY,22/06/2017,3.0,0.0, ,22.5,13.7,85,47,4.39,12.95
GOLD COAST SEAWAY,23/06/2017,2.8,0.0, ,22.7,13.0,91,41,3.33,13.64
GOLD COAST SEAWAY,24/06/2017,3.3,0.0, ,24.3,11.8,95,32,3.76,13.38
GOLD COAST SEAWAY,25/06/2017,2.4,0.0, ,22.4,12.9,97,54,3.34,13.66
GOLD COAST SEAWAY,26/06/2017,2.6,0.0, ,22.5,14.1,99,48,3.80,13.66
GOLD COAST SEAWAY,27/06/2017,2.0,0.0, ,21.5,14.1,91,67,3.78,10.34
GOLD COAST SEAWAY,28/06/2017,2.4,0.0, ,24.3,15.1,99,55,3.17,12.36
GOLD COAST SEAWAY,29/06/2017,2.5,0.0, ,24.1,15.1,99,60,4.19,13.40
GOLD COAST SEAWAY,30/06/2017, ,7.6, , ,14.6,99,58,5.54,12.78
Totals:,,71.6,132, ,,,,,, 
