'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for August 2017,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 September 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/08/2017,3.6,0.0, ,21.8,10.8,99,36,5.14,15.90
GOLD COAST SEAWAY,02/08/2017,3.4,0.0, ,22.1,11.0,85,47,4.79,15.88
GOLD COAST SEAWAY,03/08/2017,3.0,0.0, ,22.2,11.3,85,45,3.38,14.74
GOLD COAST SEAWAY,04/08/2017,3.9,0.0, ,22.8,14.2,92,33,4.74,16.23
GOLD COAST SEAWAY,05/08/2017,3.7,0.0, ,22.6,11.2,86,30,3.84,16.34
GOLD COAST SEAWAY,06/08/2017,3.1,0.0, ,22.8,8.9,97,45,3.59,15.54
GOLD COAST SEAWAY,07/08/2017,4.5,0.0, ,25.9,15.8,100,19,4.48,15.77
GOLD COAST SEAWAY,08/08/2017,4.5,0.0, ,23.4,10.0,66,18,4.02,16.68
GOLD COAST SEAWAY,09/08/2017,3.6,0.0, ,20.8,8.3,68,27,3.27,16.78
GOLD COAST SEAWAY,10/08/2017,3.8,0.0, ,23.7,9.6,88,37,3.99,16.88
GOLD COAST SEAWAY,11/08/2017,4.3,0.0, ,27.0,14.0,100,36,4.57,17.01
GOLD COAST SEAWAY,12/08/2017,3.9,0.0, ,27.1,12.7,100,33,3.58,14.71
GOLD COAST SEAWAY,13/08/2017,2.9,0.0, ,23.6,14.0,99,62,3.56,17.12
GOLD COAST SEAWAY,14/08/2017,3.6,0.0, ,25.0,14.5,94,41,3.70,15.99
GOLD COAST SEAWAY,15/08/2017,3.2,0.0, ,23.8,12.0,100,48,3.11,17.50
GOLD COAST SEAWAY,16/08/2017,4.0,0.0, ,26.1,14.9,100,49,5.53,17.59
GOLD COAST SEAWAY,17/08/2017,4.9,0.0, ,29.0,17.7,99,34,4.97,17.74
GOLD COAST SEAWAY,18/08/2017,7.3,0.0, ,25.6,14.4,44,12,6.95,17.88
GOLD COAST SEAWAY,19/08/2017,6.0,0.0, ,20.9,12.9,42,12,6.15,17.98
GOLD COAST SEAWAY,20/08/2017,4.5,0.0, ,21.1,6.3,70,31,5.46,18.08
GOLD COAST SEAWAY,21/08/2017,3.1,0.0, ,21.0,8.0,87,51,3.55,17.65
GOLD COAST SEAWAY,22/08/2017,3.8,0.2, ,24.6,15.0,94,47,4.38,17.47
GOLD COAST SEAWAY,23/08/2017,3.1,0.0, ,23.1,15.6,99,60,3.28,18.08
GOLD COAST SEAWAY,24/08/2017,3.1,0.0, ,23.5,16.5,100,55,4.06,15.37
GOLD COAST SEAWAY,25/08/2017,3.9,5.8, ,21.4,12.8,99,45,6.63,18.20
GOLD COAST SEAWAY,26/08/2017,4.7,0.0, ,23.0,13.3,76,43,6.54,18.57
GOLD COAST SEAWAY,27/08/2017,4.0,0.0, ,23.3,12.7,83,37,4.20,15.82
GOLD COAST SEAWAY,28/08/2017,4.8,0.0, ,23.0,8.7,77,24,4.66,19.27
GOLD COAST SEAWAY,29/08/2017,3.9,0.0, ,22.2,9.0,84,37,3.83,19.28
GOLD COAST SEAWAY,30/08/2017,5.0,0.0, ,25.1,11.2,98,15,4.17,19.43
GOLD COAST SEAWAY,31/08/2017,4.9,0.0, ,23.2,12.5,76,42,6.83,19.51
Totals:,,126,6, ,,,,,, 
