'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for October 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 November 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/10/2017,3.6,0.0, ,24.8,17.1,99,41,4.68,9.15
GOLD COAST SEAWAY,02/10/2017,2.7,7.0, ,21.2,15.7,100,55,6.50,6.53
GOLD COAST SEAWAY,03/10/2017,3.1,35.8, ,23.6,16.2,100,80,3.85,19.10
GOLD COAST SEAWAY,04/10/2017,4.0,0.4, ,25.2,18.4,100,69,4.92,22.18
GOLD COAST SEAWAY,05/10/2017,4.2,0.0, ,26.1,17.0,100,70,2.98,24.66
GOLD COAST SEAWAY,06/10/2017,4.9,0.0, ,28.4,20.2,100,50,5.21,20.19
GOLD COAST SEAWAY,07/10/2017,3.5,0.0, ,24.4,19.0,98,61,8.39,11.02
GOLD COAST SEAWAY,08/10/2017,3.9,0.0, ,24.4,18.2,99,62,3.27,20.44
GOLD COAST SEAWAY,09/10/2017,5.0,0.0, ,29.3,19.7,99,51,4.06,22.01
GOLD COAST SEAWAY,10/10/2017,4.9,0.0, ,28.0,20.6,100,65,5.77,25.11
GOLD COAST SEAWAY,11/10/2017,3.1,0.0, ,26.4,20.4,100,80,4.27,16.32
GOLD COAST SEAWAY,12/10/2017,1.5,0.0, ,24.9,22.2,100,87,4.66,5.69
GOLD COAST SEAWAY,13/10/2017,4.6,0.2, ,27.3,18.3,100,70,4.22,25.65
GOLD COAST SEAWAY,14/10/2017,2.2,0.0, ,23.8,19.0,100,90,5.66,13.15
GOLD COAST SEAWAY,15/10/2017,1.2,0.0, ,21.7,18.2,100,93,12.47,7.30
GOLD COAST SEAWAY,16/10/2017,2.8,0.0, ,23.3,17.2,100,75,12.58,12.59
GOLD COAST SEAWAY,17/10/2017,1.8,8.8, ,22.7,18.3,100,85,12.96,7.97
GOLD COAST SEAWAY,18/10/2017,2.7,7.0, ,23.8,18.6,100,78,10.76,13.18
GOLD COAST SEAWAY,19/10/2017,4.5,3.6, ,24.0,18.9,81,60,6.78,17.58
GOLD COAST SEAWAY,20/10/2017,4.7,0.0, ,26.7,17.4,99,55,4.51,22.06
GOLD COAST SEAWAY,21/10/2017,1.3,5.4, ,21.9,18.2,100,85,3.80,4.51
GOLD COAST SEAWAY,22/10/2017,4.8,6.4, ,24.9,13.0,98,54,5.36,25.01
GOLD COAST SEAWAY,23/10/2017,3.4,0.0, ,24.3,16.0,99,58,4.33,13.96
GOLD COAST SEAWAY,24/10/2017,4.9,6.4, ,24.6,14.3,99,54,4.00,27.68
GOLD COAST SEAWAY,25/10/2017,5.9,0.2, ,28.0,15.7,99,44,5.27,26.88
GOLD COAST SEAWAY,26/10/2017,6.1,0.0, ,29.3,19.6,93,48,5.84,25.05
GOLD COAST SEAWAY,27/10/2017,7.7,0.2, ,31.7,21.4,99,25,5.58,27.68
GOLD COAST SEAWAY,28/10/2017,5.0,0.0, ,26.6,18.1,100,58,3.40,26.58
GOLD COAST SEAWAY,29/10/2017,5.4,0.0, ,28.4,21.1,99,65,4.97,27.84
GOLD COAST SEAWAY,30/10/2017,4.6,0.0, ,29.2,21.8,100,68,5.67,21.62
GOLD COAST SEAWAY,31/10/2017,5.4,0.0, ,25.1,20.2,100,53,6.88,27.17
Totals:,,123.4,81.4, ,,,,,, 
