'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for November 2017,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 December 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/11/2017,4.7,0.0, ,25.7,17.1,95,51,4.94,20.25
GOLD COAST SEAWAY,02/11/2017,5.2,0.0, ,26.9,16.5,100,62,3.58,28.69
GOLD COAST SEAWAY,03/11/2017,5.5,0.0, ,27.6,17.1,100,54,4.10,27.86
GOLD COAST SEAWAY,04/11/2017,6.1,0.0, ,29.0,17.7,100,45,4.16,28.83
GOLD COAST SEAWAY,05/11/2017,4.6,0.0, ,27.4,20.2,100,68,3.85,23.78
GOLD COAST SEAWAY,06/11/2017,4.5,0.0, ,27.2,19.4,100,55,5.47,18.38
GOLD COAST SEAWAY,07/11/2017,4.0,0.0, ,25.5,18.5,100,63,7.06,17.71
GOLD COAST SEAWAY,08/11/2017,4.7,9.8, ,24.6,16.7,100,60,9.47,22.91
GOLD COAST SEAWAY,09/11/2017,5.3,0.2, ,24.4,15.8,99,51,8.62,25.29
GOLD COAST SEAWAY,10/11/2017,4.6,7.4, ,24.0,15.9,100,58,7.43,23.41
GOLD COAST SEAWAY,11/11/2017,4.0,9.2, ,24.3,16.2,100,60,6.52,17.67
GOLD COAST SEAWAY,12/11/2017,6.2,0.6, ,25.5,15.7,93,47,7.56,29.61
GOLD COAST SEAWAY,13/11/2017,7.3,0.0, ,25.8,19.0,65,47,8.15,29.10
GOLD COAST SEAWAY,14/11/2017,6.0,0.0, ,25.9,15.8,87,46,4.67,29.64
GOLD COAST SEAWAY,15/11/2017,5.6,0.0, ,26.4,17.5,86,51,4.06,26.50
GOLD COAST SEAWAY,16/11/2017,5.2,0.0, ,26.5,17.9,97,52,4.14,25.39
GOLD COAST SEAWAY,17/11/2017,5.4,0.0, ,26.8,20.1,80,45,4.07,21.10
GOLD COAST SEAWAY,18/11/2017,2.8,2.2, ,22.7,18.4,99,63,6.95,7.67
GOLD COAST SEAWAY,19/11/2017,5.1,10.4, ,24.9,17.7,99,52,7.05,23.20
GOLD COAST SEAWAY,20/11/2017,5.4,1.2, ,26.0,16.9,100,57,8.17,27.55
GOLD COAST SEAWAY,21/11/2017,4.5,3.6, ,24.6,17.7,100,63,8.89,23.14
GOLD COAST SEAWAY,22/11/2017,5.0,20.0, ,26.1,17.1,99,55,7.19,22.31
GOLD COAST SEAWAY,23/11/2017,6.2,0.0, ,27.1,18.1,89,56,6.09,30.41
GOLD COAST SEAWAY,24/11/2017,5.8,0.0, ,27.3,18.1,99,59,5.72,30.03
GOLD COAST SEAWAY,25/11/2017,5.8,0.0, ,27.9,19.0,99,60,6.87,28.79
GOLD COAST SEAWAY,26/11/2017, ,0.0, ,28.5,20.3,99,63,6.97, 
GOLD COAST SEAWAY,27/11/2017,5.8,0.6, ,27.9,20.5,100,64,5.35,30.45
GOLD COAST SEAWAY,28/11/2017,5.5,0.0, ,28.8,20.5,100,64,4.64,27.98
GOLD COAST SEAWAY,29/11/2017,2.0,6.8, ,25.7,22.0,100,90,5.17,10.10
GOLD COAST SEAWAY,30/11/2017,4.4,2.0, ,27.3,21.4,100,75,5.76,23.61
Totals:,,147.2,74, ,,,,,, 
