'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for December 2017,,,,,,,,,,
Issued at 06:31 GMT on Wednesday 27 December 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/12/2017,5.4,3.2, ,27.6,21.9,100,69,5.60,29.11
GOLD COAST SEAWAY,02/12/2017,4.9,0.0, ,28.4,22.4,100,68,6.75,23.53
GOLD COAST SEAWAY,03/12/2017,4.3,4.0, ,27.8,22.2,100,75,5.18,21.63
GOLD COAST SEAWAY,04/12/2017,2.1,0.0, ,25.6,20.6,100,86,3.33,9.50
GOLD COAST SEAWAY,05/12/2017,4.0,33.8, ,26.7,18.4,100,77,3.64,21.49
GOLD COAST SEAWAY,06/12/2017,7.4,1.0, ,30.7,17.6,100,23,4.00,31.04
GOLD COAST SEAWAY,07/12/2017,6.1,0.0, ,28.5,16.0,99,45,2.64,31.21
GOLD COAST SEAWAY,08/12/2017,4.7,0.0, ,29.9,19.6,97,53,4.96,16.30
GOLD COAST SEAWAY,09/12/2017,5.7,0.8, ,27.3,20.6,100,54,5.52,26.88
GOLD COAST SEAWAY,10/12/2017,5.6,6.2, ,26.7,19.0,99,66,8.17,30.93
GOLD COAST SEAWAY,11/12/2017,6.3,0.2, ,27.5,20.4,92,58,9.33,29.77
GOLD COAST SEAWAY,12/12/2017,6.6,0.0, ,27.6,19.6,86,57,7.84,31.21
GOLD COAST SEAWAY,13/12/2017,6.3,0.0, ,28.9,19.2,99,57,5.25,31.30
GOLD COAST SEAWAY,14/12/2017,6.2,0.0, ,28.2,19.2,99,54,4.04,31.36
GOLD COAST SEAWAY,15/12/2017,6.6,0.0, ,29.7,19.3,99,51,4.97,31.10
GOLD COAST SEAWAY,16/12/2017,6.5,0.0, ,29.0,23.7,92,60,5.67,30.23
GOLD COAST SEAWAY,17/12/2017,6.4,0.0, ,28.8,21.7,91,56,4.30,30.77
GOLD COAST SEAWAY,18/12/2017,6.2,0.0, ,28.5,20.9,93,53,4.00,29.49
GOLD COAST SEAWAY,19/12/2017,7.3,0.0, ,31.0,21.1,91,45,5.58,30.04
GOLD COAST SEAWAY,20/12/2017,7.2,0.0, ,30.7,23.4,96,50,6.07,31.19
GOLD COAST SEAWAY,21/12/2017,5.5,0.0, ,28.8,21.3,100,68,3.20,28.04
GOLD COAST SEAWAY,22/12/2017,3.6,0.2, ,27.6,22.6,100,77,3.00,17.20
GOLD COAST SEAWAY,23/12/2017,6.0,0.0, ,29.3,22.3,100,68,3.25,30.96
GOLD COAST SEAWAY,24/12/2017,6.8,0.0, ,30.9,21.1,100,52,4.87,31.45
GOLD COAST SEAWAY,25/12/2017,8.8,0.0, ,35.7,22.3,100,35,6.54,29.82
GOLD COAST SEAWAY,26/12/2017,4.8,11.6, ,27.9,20.4,100,71,5.65,24.88
Totals:,,151.3,61, ,,,,,, 
