'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for January 2018,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 February 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/01/2018,4.0,5.2, ,29.4,23.5,100,86,3.00,20.22
GOLD COAST SEAWAY,02/01/2018,2.9,13.0, ,29.4,22.3,100,89,4.80,14.87
GOLD COAST SEAWAY,03/01/2018,5.0,17.0, ,28.9,21.3,100,72,5.72,25.84
GOLD COAST SEAWAY,04/01/2018,6.9,0.0, ,29.0,21.6,88,55,7.70,30.09
GOLD COAST SEAWAY,05/01/2018,6.5,0.0, ,28.7,22.2,83,56,5.31,28.97
GOLD COAST SEAWAY,06/01/2018,6.6,0.0, ,29.4,20.7,94,51,3.97,31.26
GOLD COAST SEAWAY,07/01/2018,6.9,0.0, ,30.4,21.0,93,53,5.40,31.22
GOLD COAST SEAWAY,08/01/2018,7.6,0.0, ,31.6,21.2,95,41,5.54,31.09
GOLD COAST SEAWAY,09/01/2018,7.5,0.0, ,31.3,23.0,92,42,5.44,30.66
GOLD COAST SEAWAY,10/01/2018,6.1,0.0, ,30.1,21.1,99,60,3.55,30.02
GOLD COAST SEAWAY,11/01/2018,5.7,0.0, ,29.5,22.6,100,62,2.09,28.13
GOLD COAST SEAWAY,12/01/2018,6.3,0.0, ,31.4,23.0,99,59,4.52,28.73
GOLD COAST SEAWAY,13/01/2018,7.2,0.0, ,33.1,24.0,99,52,5.61,29.72
GOLD COAST SEAWAY,14/01/2018,8.4,0.0, ,34.4,24.7,98,38,9.37,24.59
GOLD COAST SEAWAY,15/01/2018,8.8,0.0, ,28.1,19.3,63,39,9.97,30.29
GOLD COAST SEAWAY,16/01/2018,9.0,0.0, ,29.4,17.8,68,33,9.11,30.21
GOLD COAST SEAWAY,17/01/2018,8.0,0.2, ,28.2,17.8,69,37,7.09,30.70
GOLD COAST SEAWAY,18/01/2018,6.9,0.0, ,28.3,18.9,82,49,5.86,30.62
GOLD COAST SEAWAY,19/01/2018,6.6,0.0, ,29.3,16.7,91,45,4.56,30.52
GOLD COAST SEAWAY,20/01/2018,7.5,0.0, ,30.8,19.0,87,47,7.40,29.43
GOLD COAST SEAWAY,21/01/2018,6.7,0.0, ,30.0,22.0,89,54,6.32,28.20
GOLD COAST SEAWAY,22/01/2018,6.5,0.0, ,29.7,22.4,87,54,4.38,28.93
GOLD COAST SEAWAY,23/01/2018,6.3,0.0, ,29.5,21.9,96,55,3.86,30.27
GOLD COAST SEAWAY,24/01/2018,5.2,0.2, ,29.8,22.4,99,66,5.19,24.39
GOLD COAST SEAWAY,25/01/2018,6.0,0.0, ,30.5,23.3,99,64,4.38,28.47
GOLD COAST SEAWAY,26/01/2018,6.0,0.0, ,30.5,22.4,100,62,3.33,29.16
GOLD COAST SEAWAY,27/01/2018,6.7,0.0, ,31.6,24.9,97,57,6.18,28.78
GOLD COAST SEAWAY,28/01/2018,5.9,3.2, ,30.9,22.9,100,57,7.94,22.79
GOLD COAST SEAWAY,29/01/2018,6.0,3.2, ,30.5,22.2,99,58,9.09,23.81
GOLD COAST SEAWAY,30/01/2018,6.1,9.2, ,30.4,22.4,100,63,7.74,28.86
GOLD COAST SEAWAY,31/01/2018,6.5,0.0, ,30.6,21.8,100,52,6.18,28.20
Totals:,,202.3,51.2, ,,,,,, 
