'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for February 2018,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 March 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/02/2018,2.9,5.8, ,24.2,19.6,100,67,8.76,8.98
GOLD COAST SEAWAY,02/02/2018,1.4,8.8, ,21.8,18.1,100,88,5.85,5.74
GOLD COAST SEAWAY,03/02/2018,1.7,5.0, ,24.2,18.8,100,76,5.79,3.24
GOLD COAST SEAWAY,04/02/2018,5.4,17.4, ,27.0,18.7,100,55,9.01,23.84
GOLD COAST SEAWAY,05/02/2018,6.4,0.0, ,29.3,19.6,88,50,6.84,25.44
GOLD COAST SEAWAY,06/02/2018,6.4,0.0, ,29.4,18.9,94,49,7.62,25.33
GOLD COAST SEAWAY,07/02/2018,7.9,0.2, ,29.2,19.9,70,43,8.07,28.70
GOLD COAST SEAWAY,08/02/2018,7.2,0.0, ,29.5,20.1,78,46,7.17,26.65
GOLD COAST SEAWAY,09/02/2018,5.9,0.0, ,28.6,19.0,95,51,3.98,28.66
GOLD COAST SEAWAY,10/02/2018,6.1,0.0, ,29.9,19.7,99,50,4.90,27.43
GOLD COAST SEAWAY,11/02/2018,5.9,0.0, ,31.6,21.4,100,62,4.93,27.23
GOLD COAST SEAWAY,12/02/2018,6.0,1.6, ,31.5,21.9,100,61,4.47,28.23
GOLD COAST SEAWAY,13/02/2018,5.6,0.0, ,31.8,25.4,100,69,5.51,25.55
GOLD COAST SEAWAY,14/02/2018,5.8,9.6, ,30.8,22.2,100,65,4.79,28.20
GOLD COAST SEAWAY,15/02/2018,5.0,0.0, ,31.8,24.0,100,76,4.71,24.48
GOLD COAST SEAWAY,16/02/2018,4.7,0.0, ,30.7,25.3,100,74,5.36,22.17
GOLD COAST SEAWAY,17/02/2018,5.6,0.2, ,31.0,24.0,100,70,5.64,27.50
GOLD COAST SEAWAY,18/02/2018,5.8,0.0, ,30.6,22.6,100,63,6.30,27.25
GOLD COAST SEAWAY,19/02/2018,5.8,0.0, ,29.6,20.6,95,58,4.94,27.30
GOLD COAST SEAWAY,20/02/2018,7.2,0.0, ,30.2,23.5,76,51,8.61,23.62
GOLD COAST SEAWAY,21/02/2018,4.8,2.6, ,27.3,22.2,100,56,13.10,14.06
GOLD COAST SEAWAY,22/02/2018,3.3,4.8, ,26.9,19.8,100,68,9.53,9.93
GOLD COAST SEAWAY,23/02/2018,0.4,30.0, ,24.8,21.8,100,100,10.02,1.29
GOLD COAST SEAWAY,24/02/2018,2.5,164.0, ,27.6,22.1,100,100,4.36,15.55
GOLD COAST SEAWAY,25/02/2018,4.2,9.4, ,30.6,23.1,100,73,4.44,19.36
GOLD COAST SEAWAY,26/02/2018,5.1,0.6, ,31.5,24.1,100,74,6.49,24.46
GOLD COAST SEAWAY,27/02/2018,4.5,15.4, ,28.6,21.7,99,62,9.71,15.50
GOLD COAST SEAWAY,28/02/2018,5.8,0.0, ,28.7,21.3,85,53,4.29,25.95
Totals:,,139.3,275.4, ,,,,,, 
