'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for June 2018,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 July 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/06/2018,3.4,0.0, ,22.2,10.4,78,36,4.11,14.10
GOLD COAST SEAWAY,02/06/2018,3.4,0.0, ,22.9,10.0,81,24,3.46,14.05
GOLD COAST SEAWAY,03/06/2018,3.9,0.0, ,24.3,11.0,70,43,5.25,13.81
GOLD COAST SEAWAY,04/06/2018,3.1,0.0, ,23.0,13.5,89,54,5.61,12.96
GOLD COAST SEAWAY,05/06/2018,3.5,0.0, ,22.5,12.9,90,47,6.40,13.92
GOLD COAST SEAWAY,06/06/2018,3.2,0.0, ,22.7,14.8,99,50,6.68,13.40
GOLD COAST SEAWAY,07/06/2018,3.1,25.8, ,22.2,14.2,100,54,9.36,8.96
GOLD COAST SEAWAY,08/06/2018,1.9,1.6, ,22.2,15.2,100,71,4.97,9.68
GOLD COAST SEAWAY,09/06/2018,1.9,10.2, ,22.2,15.9,100,60,2.56,10.40
GOLD COAST SEAWAY,10/06/2018,2.8,0.4, ,22.3,15.6,99,48,4.65,13.30
GOLD COAST SEAWAY,11/06/2018,3.0,0.0, ,22.3,12.6,83,47,4.57,11.71
GOLD COAST SEAWAY,12/06/2018,2.7,0.0, ,22.0,10.3,97,41,3.45,13.43
GOLD COAST SEAWAY,13/06/2018,2.2,0.0, ,21.5,11.8,99,55,3.73,10.66
GOLD COAST SEAWAY,14/06/2018,3.2,0.0, ,24.7,16.2,84,40,3.75,13.13
GOLD COAST SEAWAY,15/06/2018,3.0,0.0, ,23.2,9.4,95,28,3.06,13.30
GOLD COAST SEAWAY,16/06/2018,3.4,0.0, ,22.5,7.9,81,28,3.71,13.55
GOLD COAST SEAWAY,17/06/2018,3.8,0.0, ,19.8,8.6,81,22,5.26,13.62
GOLD COAST SEAWAY,18/06/2018,4.1,0.0, ,18.9,8.7,52,30,5.78,13.62
GOLD COAST SEAWAY,19/06/2018,3.7,0.0, ,20.3,10.9,66,24,4.42,13.13
GOLD COAST SEAWAY,20/06/2018,3.6,0.0, ,22.2,9.0,78,42,5.49,13.15
GOLD COAST SEAWAY,21/06/2018,3.2,0.0, ,22.4,11.9,75,50,5.18,10.40
GOLD COAST SEAWAY,22/06/2018,3.5,0.0, ,22.4,13.1,79,44,5.26,13.61
GOLD COAST SEAWAY,23/06/2018,2.9,0.0, ,22.1,11.2,93,46,4.28,13.60
GOLD COAST SEAWAY,24/06/2018,3.4,0.0, ,22.3,11.3,79,39,4.60,13.58
GOLD COAST SEAWAY,25/06/2018,3.0,0.0, ,21.3,12.3,81,55,6.09,11.11
GOLD COAST SEAWAY,26/06/2018,2.9,0.0, ,22.1,14.6,99,54,6.69,11.55
GOLD COAST SEAWAY,27/06/2018,1.4,2.8, ,18.3,14.4,100,75,5.42,6.02
GOLD COAST SEAWAY,28/06/2018,1.7,6.6, ,21.2,13.9,100,73,3.90,10.65
GOLD COAST SEAWAY,29/06/2018,2.6,0.0, ,23.3,12.7,100,48,3.44,13.74
GOLD COAST SEAWAY,30/06/2018,2.0,0.2, ,23.3,13.2,100,66,2.81,11.82
Totals:,,89.5,47.6, ,,,,,, 
