'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for October 2018,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 November 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/10/2018,5.6,1.4, ,23.8,13.8,84,45,8.25,24.24
GOLD COAST SEAWAY,02/10/2018,5.1,0.0, ,24.4,14.2,90,47,5.94,24.28
GOLD COAST SEAWAY,03/10/2018,4.7,0.0, ,23.6,13.8,85,50,4.19,24.60
GOLD COAST SEAWAY,04/10/2018,5.0,0.0, ,25.6,15.5,96,50,5.28,24.28
GOLD COAST SEAWAY,05/10/2018,4.1,0.0, ,26.3,18.0,97,46,3.90,16.15
GOLD COAST SEAWAY,06/10/2018,2.4,0.6, ,22.1,16.0,99,67,2.92,10.60
GOLD COAST SEAWAY,07/10/2018,4.6,0.8, ,24.3,16.3,99,59,5.64,25.01
GOLD COAST SEAWAY,08/10/2018,4.2,0.0, ,25.0,16.5,99,58,3.48,21.89
GOLD COAST SEAWAY,09/10/2018,4.3,0.4, ,26.3,14.9,100,59,4.17,22.22
GOLD COAST SEAWAY,10/10/2018,5.4,0.2, ,27.4,18.3,100,53,6.50,25.23
GOLD COAST SEAWAY,11/10/2018,3.4,23.4, ,23.3,17.8,100,64,9.22,13.60
GOLD COAST SEAWAY,12/10/2018,2.7,12.0, ,21.1,16.5,99,70,9.82,10.22
GOLD COAST SEAWAY,13/10/2018,2.3,11.6, ,20.4,16.0,100,71,10.04,7.76
GOLD COAST SEAWAY,14/10/2018,1.7,12.8, ,20.7,16.8,100,87,12.26,9.72
GOLD COAST SEAWAY,15/10/2018,0.9,21.0, ,22.5,18.0,100,99,13.69,8.42
GOLD COAST SEAWAY,16/10/2018,2.9,14.2, ,24.8,18.6,100,90,9.00,21.34
GOLD COAST SEAWAY,17/10/2018,3.9,0.2, ,25.6,20.0,100,78,5.46,22.79
GOLD COAST SEAWAY,18/10/2018,3.7,1.4, ,24.7,19.8,100,77,6.13,21.52
GOLD COAST SEAWAY,19/10/2018,4.9,0.0, ,25.4,20.4,94,60,4.15,25.00
GOLD COAST SEAWAY,20/10/2018,4.8,0.0, ,25.9,17.9,100,61,4.30,26.11
GOLD COAST SEAWAY,21/10/2018,3.9,0.0, ,27.1,19.9,100,65,3.99,18.33
GOLD COAST SEAWAY,22/10/2018,4.4,15.8, ,26.4,16.4,100,68,5.51,24.10
GOLD COAST SEAWAY,23/10/2018,4.9,0.2, ,26.4,17.1,100,65,3.62,27.59
GOLD COAST SEAWAY,24/10/2018,5.8,0.0, ,30.4,19.2,100,55,4.87,26.91
GOLD COAST SEAWAY,25/10/2018,4.7,0.0, ,27.3,19.6,100,67,5.47,24.45
GOLD COAST SEAWAY,26/10/2018,6.7,1.0, ,31.9,20.0,100,49,6.28,27.41
GOLD COAST SEAWAY,27/10/2018,5.4,0.0, ,26.6,19.4,99,56,4.69,27.88
GOLD COAST SEAWAY,28/10/2018,5.5,0.0, ,28.4,18.2,100,56,8.32,23.75
GOLD COAST SEAWAY,29/10/2018,1.2,2.6, ,21.9,17.7,100,94,5.24,6.18
GOLD COAST SEAWAY,30/10/2018,4.5,4.2, ,24.6,16.1,100,53,3.69,23.51
GOLD COAST SEAWAY,31/10/2018,6.1,0.0, ,28.7,16.8,94,48,5.26,27.83
Totals:,,129.7,123.8, ,,,,,, 
