'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for March 2019,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 April 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,01/03/2019,4.6,0.6, ,28.5,21.1,97,62,8.31,16.74
GOLD COAST SEAWAY,02/03/2019,3.1,10.6, ,26.4,20.2,99,77,6.57,14.97
GOLD COAST SEAWAY,03/03/2019,3.7,12.0, ,27.2,20.6,99,76,8.54,18.26
GOLD COAST SEAWAY,04/03/2019,5.3,1.4, ,28.9,22.9,90,70,8.36,25.10
GOLD COAST SEAWAY,05/03/2019,4.9,1.2, ,29.0,22.2,94,72,6.30,24.62
GOLD COAST SEAWAY,06/03/2019, ,0.4, , ,21.3,97,78,4.64,24.32
GOLD COAST SEAWAY,07/03/2019, , , ,31.6, ,100,68,7.94,22.02
GOLD COAST SEAWAY,08/03/2019,4.2,1.2, ,28.4,23.3,97,80,7.27,22.31
GOLD COAST SEAWAY,09/03/2019,4.7,0.2, ,29.3,23.3,97,76,4.60,24.47
GOLD COAST SEAWAY,10/03/2019,4.9,0.0, ,30.2,23.5,96,73,5.64,23.69
GOLD COAST SEAWAY,11/03/2019,4.5,0.0, ,31.8,24.3,99,72,6.13,19.68
GOLD COAST SEAWAY,12/03/2019,6.2,1.0, ,35.6,23.9,100,52,4.66,23.38
GOLD COAST SEAWAY,13/03/2019,4.5,0.0, ,31.0,22.8,100,80,7.48,24.23
GOLD COAST SEAWAY,14/03/2019,4.4,0.0, ,29.8,23.6,100,74,5.52,21.68
GOLD COAST SEAWAY,15/03/2019,4.5,6.2, ,31.8,21.2,100,68,5.26,19.66
GOLD COAST SEAWAY,16/03/2019,1.5,76.0, ,24.8,19.3,100,93,5.10,8.32
GOLD COAST SEAWAY,17/03/2019,2.6,65.0, ,27.2,20.1,100,89,3.52,14.61
GOLD COAST SEAWAY,18/03/2019,3.2,159.0, ,29.5,20.0,100,86,4.11,17.75
GOLD COAST SEAWAY,19/03/2019,4.4,0.2, ,29.5,20.2,100,74,3.72,23.38
GOLD COAST SEAWAY,20/03/2019,3.9,0.0, ,29.2,21.0,100,81,4.32,21.33
GOLD COAST SEAWAY,21/03/2019,3.9,0.0, ,29.3,23.2,100,83,5.43,21.55
GOLD COAST SEAWAY,22/03/2019,3.2,0.0, ,29.1,23.6,100,86,2.97,16.84
GOLD COAST SEAWAY,23/03/2019,4.8,1.0, ,32.8,22.9,100,71,4.79,22.40
GOLD COAST SEAWAY,24/03/2019,4.7,0.0, ,32.2,23.9,100,74,4.90,22.61
GOLD COAST SEAWAY,25/03/2019,4.2,0.0, ,31.5,23.9,100,76,5.01,20.13
GOLD COAST SEAWAY,26/03/2019,2.6,0.0, ,29.3,24.3,100,73,3.16,10.38
GOLD COAST SEAWAY,27/03/2019,1.2,10.2, ,23.6,19.8,100,90,7.49,4.86
GOLD COAST SEAWAY,28/03/2019,2.8,33.4, ,27.0,19.1,100,83,9.09,15.69
GOLD COAST SEAWAY,29/03/2019,3.4,1.2, ,28.6,22.0,99,83,6.16,18.63
GOLD COAST SEAWAY,30/03/2019,1.5,8.4, ,26.8,22.9,100,95,5.61,8.10
GOLD COAST SEAWAY,31/03/2019,4.0,2.6, ,24.9,14.9,100,56,4.00,21.46
Totals:,,111.4,391.8, ,,,,,, 
