'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOLD COAST SEAWAY Queensland for April 2019,,,,,,,,,,
Issued at 22:31 GMT on Saturday 06 April 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOLD COAST SEAWAY,30/03/2019,1.5,8.4, ,26.8,22.9,100,95,5.61,8.10
GOLD COAST SEAWAY,31/03/2019,4.0,2.6, ,24.9,14.9,100,56,4.00,21.46
GOLD COAST SEAWAY,01/04/2019,4.7,0.0, ,26.7,17.1,87,59,6.40,21.10
GOLD COAST SEAWAY,02/04/2019,2.8,0.0, ,26.0,19.4,100,80,6.71,15.23
GOLD COAST SEAWAY,03/04/2019,2.8,13.4, ,26.2,19.0,100,84,7.28,17.49
GOLD COAST SEAWAY,04/04/2019,3.6,7.0, ,27.2,19.5,100,71,7.98,17.17
GOLD COAST SEAWAY,05/04/2019,4.0,6.2, ,27.4,18.8,99,64,6.98,17.63
Totals:,,23.4,37.6, ,,,,,, 
