'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for January 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/01/2009,6.8,0.0, ,31.8,21.6,87,57,5.56,28.48
REDCLIFFE,02/01/2009,4.8,3.6, ,30.6,23.1,84,47,4.33,13.31
REDCLIFFE,03/01/2009,4.5,6.4, ,25.9,22.3,89,59,10.93,11.06
REDCLIFFE,04/01/2009,7.9,8.4, ,27.6,22.0,66,50,10.04,28.07
REDCLIFFE,05/01/2009,6.0,0.4, ,28.1,19.4,83,58,6.68,25.92
REDCLIFFE,06/01/2009,7.0,0.0, ,28.8,22.1,82,55,6.14,31.68
REDCLIFFE,07/01/2009,6.8,0.0, ,29.0,23.6,77,58,5.51,29.43
REDCLIFFE,08/01/2009,4.7,6.0, ,28.1,22.5,90,67,3.87,21.05
REDCLIFFE,09/01/2009,6.2,1.0, ,29.3,22.8,88,52,10.06,18.08
REDCLIFFE,10/01/2009,7.2,0.0, ,27.3,20.0,70,53,8.96,28.25
REDCLIFFE,11/01/2009,6.3,0.0, ,27.6,20.0,76,55,5.78,27.25
REDCLIFFE,12/01/2009,6.1,0.0, ,27.9,19.4,81,57,5.58,27.56
REDCLIFFE,13/01/2009,7.6,0.0, ,28.0,23.2,67,54,8.62,28.03
REDCLIFFE,14/01/2009,7.6,0.0, ,27.9,19.2,79,42,6.54,32.66
REDCLIFFE,15/01/2009,7.1,0.0, ,29.4,19.0,83,47,5.32,31.39
REDCLIFFE,16/01/2009,7.8,0.0, ,31.0,20.3,82,47,6.79,31.89
REDCLIFFE,17/01/2009,6.5,0.0, ,29.5,23.1,83,61,9.08,25.81
REDCLIFFE,18/01/2009,6.8,0.4, ,27.8,20.9,75,52,9.10,24.22
REDCLIFFE,19/01/2009,7.0,0.0, ,28.4,19.9,73,46,5.84,27.98
REDCLIFFE,20/01/2009,6.9,0.0, ,29.2,19.6,77,44,4.47,29.39
REDCLIFFE,21/01/2009,6.9,0.0, ,30.4,21.4,82,57,5.72,29.90
REDCLIFFE,22/01/2009,6.0,0.0, ,30.8,24.0,85,64,6.96,23.77
REDCLIFFE,23/01/2009,4.4,16.6, ,29.9,23.5,90,68,4.91,16.76
REDCLIFFE,24/01/2009,5.6,2.4, ,31.2,23.3,88,64,5.37,22.96
REDCLIFFE,25/01/2009,5.3,10.0, ,30.3,24.7,89,71,4.61,23.35
REDCLIFFE,26/01/2009,6.1,11.6, ,29.3,24.2,85,58,5.51,25.36
REDCLIFFE,27/01/2009,6.2,19.0, ,29.0,21.3,90,58,7.65,26.70
REDCLIFFE,28/01/2009,7.1,4.0, ,28.9,22.5,83,53,8.36,28.66
REDCLIFFE,29/01/2009,6.1,0.6, ,29.1,23.0,82,57,6.89,22.64
REDCLIFFE,30/01/2009, , , ,28.6, ,78,58,8.09,28.29
REDCLIFFE,31/01/2009,6.6,0.4, ,29.7,23.3,80,57,7.54,25.05
Totals:,,191.9,90.8, ,,,,,, 
