'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for February 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/02/2009,5.2,0.6, ,28.4,22.6,83,59,7.29,16.39
REDCLIFFE,02/02/2009,4.8,0.6, ,28.4,23.0,88,64,7.62,16.48
REDCLIFFE,03/02/2009,5.4,20.4, ,28.3,21.2,91,64,4.35,26.25
REDCLIFFE,04/02/2009,6.5,2.8, ,28.9,23.5,88,59,7.21,29.01
REDCLIFFE,05/02/2009,6.8,0.0, ,29.4,22.5,82,55,7.27,28.04
REDCLIFFE,06/02/2009,7.0,0.0, ,29.5,23.9,76,55,7.10,26.60
REDCLIFFE,07/02/2009,7.7,0.0, ,28.6,24.5,71,52,7.43,30.63
REDCLIFFE,08/02/2009,6.6,0.0, ,28.7,21.0,80,52,4.48,30.28
REDCLIFFE,09/02/2009,6.2,0.0, ,31.6,20.0,87,50,1.53,31.20
REDCLIFFE,10/02/2009,5.5,0.0, ,31.2,23.8,86,57,3.98,21.88
REDCLIFFE,11/02/2009,5.8,0.0, ,30.1,21.6,88,51,5.31,22.24
REDCLIFFE,12/02/2009,5.1,3.0, ,28.2,22.1,83,58,8.44,14.17
REDCLIFFE,13/02/2009,3.5,79.6, ,25.8,21.0,92,65,11.15,6.04
REDCLIFFE,14/02/2009,3.5,14.8, ,25.4,20.8,91,64,7.51,9.92
REDCLIFFE,15/02/2009,5.6,2.4, ,29.2,20.1,91,57,3.76,26.68
REDCLIFFE,16/02/2009,6.1,0.2, ,28.9,21.6,84,56,5.25,27.15
REDCLIFFE,17/02/2009, ,0.0, ,27.5,22.1,88,68,4.60, 
REDCLIFFE,18/02/2009, ,10.6, ,28.2,22.2,83,66,5.18, 
REDCLIFFE,19/02/2009,5.6,0.0, ,30.2,22.0,91,63,1.33,28.48
REDCLIFFE,20/02/2009,5.4,0.0, ,30.9,24.1,90,61,2.52,24.54
REDCLIFFE,21/02/2009,4.2,10.0, ,28.1,21.4,90,67,4.85,17.63
REDCLIFFE,22/02/2009,5.3,3.6, ,28.9,22.0,87,65,7.32,21.73
REDCLIFFE,23/02/2009,6.2,0.8, ,28.5,21.3,86,57,7.11,27.05
REDCLIFFE,24/02/2009,6.5,0.2, ,28.8,21.3,84,53,5.66,29.17
REDCLIFFE,25/02/2009,5.2,0.0, ,27.6,24.2,78,55,4.99,18.61
REDCLIFFE,26/02/2009,6.5,0.0, ,28.8,21.3,82,56,7.84,27.26
REDCLIFFE,27/02/2009,6.7,0.0, ,27.5,20.0,77,47,6.38,28.49
REDCLIFFE,28/02/2009,6.1,0.0, ,29.0,19.1,87,54,4.56,28.75
Totals:,,149,149.6, ,,,,,, 
