'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for May 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/05/2009, , , ,23.4, ,74,52,6.18,18.56
REDCLIFFE,02/05/2009,3.8,0.0, ,23.7,16.1,77,50,4.89,15.66
REDCLIFFE,03/05/2009,4.0,0.0, ,23.6,14.7,83,53,6.15,17.36
REDCLIFFE,04/05/2009,4.0,0.0, ,23.3,15.2,82,57,6.60,18.60
REDCLIFFE,05/05/2009,4.0,0.0, ,23.6,15.6,80,50,5.58,17.65
REDCLIFFE,06/05/2009,2.3,0.0, ,22.6,15.0,88,56,0.79,16.69
REDCLIFFE,07/05/2009, , , ,22.8, ,88,61,0.00,16.06
REDCLIFFE,08/05/2009,2.2,0.0, ,24.0,15.7,87,49,0.00,18.05
REDCLIFFE,09/05/2009, , , ,23.2, ,88,53,0.00,18.09
REDCLIFFE,10/05/2009,2.1,0.0, ,23.4,13.0,90,45,0.00,18.10
REDCLIFFE,11/05/2009,3.0,0.0, ,22.4,14.8,78,56,2.66,17.71
REDCLIFFE,12/05/2009,2.6,0.0, ,21.3,14.1,85,54,3.09,12.18
REDCLIFFE,13/05/2009,3.1,0.0, ,23.0,11.6,90,48,3.36,16.60
REDCLIFFE,14/05/2009,3.2,0.0, ,24.1,12.3,90,46,3.02,17.43
REDCLIFFE,15/05/2009,4.0,0.0, ,24.4,10.9,79,20,3.24,17.80
REDCLIFFE,16/05/2009,4.0,0.0, ,25.4,10.9,73,24,3.03,17.95
REDCLIFFE,17/05/2009,3.8,0.0, ,24.0,11.9,79,40,4.31,16.62
REDCLIFFE,18/05/2009,2.7,9.8, ,22.6,16.3,91,65,6.17,11.16
REDCLIFFE,19/05/2009,2.4,32.2, ,21.0,16.9,92,69,8.51,5.79
REDCLIFFE,20/05/2009,2.3,150.8, ,21.0,16.9,93,73,10.00,6.50
REDCLIFFE,21/05/2009,2.8,43.8, ,21.9,14.4,90,60,4.77,14.70
REDCLIFFE,22/05/2009,2.2,3.4, ,21.3,12.9,92,64,2.79,14.00
REDCLIFFE,23/05/2009,2.8,4.0, ,22.6,15.4,92,68,7.78,13.43
REDCLIFFE,24/05/2009,3.6,3.4, ,22.4,17.3,85,59,8.41,15.35
REDCLIFFE,25/05/2009,3.2,2.2, ,22.7,15.6,87,57,5.76,13.67
REDCLIFFE,26/05/2009,2.3,1.2, ,21.2,15.3,87,64,3.23,11.90
REDCLIFFE,27/05/2009,2.5,0.6, ,23.0,14.6,90,57,2.90,14.46
REDCLIFFE,28/05/2009,2.4,0.2, ,23.1,13.9,91,60,2.36,15.55
REDCLIFFE,29/05/2009,2.7,0.0, ,23.8,14.5,91,59,3.52,15.33
REDCLIFFE,30/05/2009,3.0,10.2, ,21.8,14.1,90,60,6.52,15.24
REDCLIFFE,31/05/2009,3.1,0.2, ,21.2,13.6,88,59,6.92,15.23
Totals:,,84.1,262, ,,,,,, 
