'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for June 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/06/2009,2.7,5.8, ,20.3,14.8,91,67,7.18,14.90
REDCLIFFE,02/06/2009,2.7,2.8, ,21.6,14.8,92,59,5.63,12.38
REDCLIFFE,03/06/2009,2.0,5.6, ,19.9,14.8,92,75,5.19,12.56
REDCLIFFE,04/06/2009,1.7,11.4, ,21.0,15.1,93,78,3.17,10.25
REDCLIFFE,05/06/2009,2.3,0.6, ,23.3,13.4,93,64,2.55,14.91
REDCLIFFE,06/06/2009,2.6, , ,22.9,12.4,90,52,3.01,15.61
REDCLIFFE,07/06/2009,2.7,0.0, ,23.1,14.7,92,44,3.16,13.14
REDCLIFFE,08/06/2009,3.0,2.4, ,21.8,10.2,76,36,2.94,15.79
REDCLIFFE,09/06/2009,3.0,0.0, ,21.2,10.7,75,36,3.26,15.49
REDCLIFFE,10/06/2009,3.3,0.0, ,19.9,8.8,70,35,4.11,15.79
REDCLIFFE,11/06/2009,1.9,0.0, ,16.2,6.1,71,32,1.30,16.19
REDCLIFFE,12/06/2009,2.0,0.0, ,18.5,4.6,81,39,1.49,15.64
REDCLIFFE,13/06/2009,2.4,0.0, ,21.4,7.5,90,49,2.69,15.45
REDCLIFFE,14/06/2009,2.9,0.0, ,22.9,9.6,91,42,3.47,15.15
REDCLIFFE,15/06/2009,2.1,0.0, ,21.7,12.3,92,62,2.71,14.11
REDCLIFFE,16/06/2009,2.7,3.2, ,21.2,11.4,92,36,2.72,15.49
REDCLIFFE,17/06/2009,2.7,0.2, ,20.8,9.5,90,43,3.59,15.18
REDCLIFFE,18/06/2009,2.7,0.0, ,20.2,11.8,85,58,5.73,12.68
REDCLIFFE,19/06/2009,1.7,0.0, ,21.3,13.4,84,55,0.77,14.82
REDCLIFFE,20/06/2009,1.4,0.0, ,20.8,13.7,90,66,0.00,13.45
REDCLIFFE,21/06/2009,1.3,4.2, ,20.5,14.5,93,81,0.00,10.39
REDCLIFFE,22/06/2009,1.1,27.0, ,19.2,16.9,92,86,0.00,7.28
REDCLIFFE,23/06/2009,1.9,34.0, ,22.4,14.1,92,62,1.34,13.65
REDCLIFFE,24/06/2009,2.2,0.0, ,22.8,11.4,93,55,2.14,14.50
REDCLIFFE,25/06/2009,1.4,0.2, ,18.6,11.0,93,75,1.94,9.28
REDCLIFFE,26/06/2009,1.7,0.0, ,20.0,13.3,92,61,2.43,7.97
REDCLIFFE,27/06/2009,2.3,15.2, ,20.7,12.9,92,56,3.60,11.10
REDCLIFFE,28/06/2009,2.8,0.0, ,21.1,11.7,84,49,3.99,14.65
REDCLIFFE,29/06/2009,2.8,0.0, ,20.4,9.6,79,39,3.28,15.42
REDCLIFFE,30/06/2009,2.2,0.0, ,19.6,7.5,91,49,2.53,14.43
Totals:,,68.2,112.6, ,,,,,, 
