'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for August 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/08/2009,3.1,0.0, ,20.7,9.1,87,43,3.49,17.43
REDCLIFFE,02/08/2009,3.1,0.0, ,21.2,10.1,89,41,3.22,17.41
REDCLIFFE,03/08/2009,3.1,0.0, ,22.5,9.3,91,47,3.51,17.63
REDCLIFFE,04/08/2009,2.5,0.2, ,20.0,9.2,90,58,2.86,16.03
REDCLIFFE,05/08/2009,2.9,0.0, ,20.8,10.2,90,47,3.30,17.17
REDCLIFFE,06/08/2009,3.0,0.0, ,21.2,11.9,89,56,3.85,17.61
REDCLIFFE,07/08/2009,3.1,0.0, ,22.0,10.8,90,51,3.52,17.90
REDCLIFFE,08/08/2009,3.4,0.0, ,19.4,9.9,92,52,7.25,18.27
REDCLIFFE,09/08/2009,3.1,0.0, ,19.7,9.6,86,47,3.78,18.43
REDCLIFFE,10/08/2009,3.1,0.0, ,21.1,9.8,91,49,3.46,18.41
REDCLIFFE,11/08/2009,3.2,0.0, ,21.9,10.1,91,51,3.76,18.31
REDCLIFFE,12/08/2009,3.3,0.0, ,23.0,13.1,87,62,5.49,16.50
REDCLIFFE,13/08/2009,3.2,0.0, ,23.6,13.0,91,54,3.24,18.45
REDCLIFFE,14/08/2009,4.4,0.0, ,25.5,13.3,91,21,3.56,19.25
REDCLIFFE,15/08/2009,3.3,0.0, ,22.3,11.3,89,52,3.77,18.97
REDCLIFFE,16/08/2009,3.6,0.0, ,23.1,10.2,91,54,4.65,19.56
REDCLIFFE,17/08/2009,5.0,0.0, ,27.3,12.9,89,33,4.90,18.90
REDCLIFFE,18/08/2009,5.1,0.0, ,21.1,12.8,66,33,6.73,19.60
REDCLIFFE,19/08/2009,3.6,0.0, ,21.1,12.3,82,43,3.83,19.42
REDCLIFFE,20/08/2009,3.5,0.0, ,21.9,11.3,88,46,3.63,19.31
REDCLIFFE,21/08/2009,3.9,0.0, ,23.6,11.4,89,52,5.38,19.60
REDCLIFFE,22/08/2009,4.1,0.0, ,25.9,16.7,89,54,4.98,18.98
REDCLIFFE,23/08/2009,3.6,0.0, ,26.0,14.4,90,54,2.93,19.55
REDCLIFFE,24/08/2009,5.3,0.0, ,33.4,16.1,92,32,3.29,19.89
REDCLIFFE,25/08/2009,6.7,0.0, ,33.1,20.2,82,24,5.04,19.99
REDCLIFFE,26/08/2009,5.0,0.0, ,30.3,18.6,85,11,2.64,20.26
REDCLIFFE,27/08/2009,3.6,0.0, ,23.7,11.8,88,41,3.03,17.52
REDCLIFFE,28/08/2009,3.6,0.0, ,25.4,15.4,89,64,3.29,20.42
REDCLIFFE,29/08/2009,4.1,0.0, ,26.9,17.8,92,63,6.22,19.12
REDCLIFFE,30/08/2009,5.9,0.0, ,28.8,18.5,83,26,5.43,17.84
REDCLIFFE,31/08/2009,3.8,0.2, ,21.6,13.6,71,31,3.83,10.70
Totals:,,118.2,0.4, ,,,,,, 
