'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for September 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/09/2009,4.0,0.0, ,21.2,8.9,85,34,3.50,21.82
REDCLIFFE,02/09/2009,3.9,0.0, ,22.7,12.6,90,46,3.88,20.75
REDCLIFFE,03/09/2009,4.2,0.0, ,23.4,12.1,86,39,3.95,20.57
REDCLIFFE,04/09/2009,3.9,0.0, ,23.8,14.8,86,59,5.52,19.16
REDCLIFFE,05/09/2009,4.5,7.8, ,26.4,15.3,90,40,4.38,17.88
REDCLIFFE,06/09/2009,3.8,0.2, ,23.1,14.8,88,60,4.08,21.93
REDCLIFFE,07/09/2009,3.7,0.0, ,24.8,16.3,90,64,6.51,16.15
REDCLIFFE,08/09/2009,3.9,14.0, ,23.8,16.3,91,45,3.00,19.80
REDCLIFFE,09/09/2009,5.2,0.0, ,24.6,11.6,70,24,3.75,22.86
REDCLIFFE,10/09/2009,4.8,0.2, ,23.7,10.3,82,27,3.77,22.75
REDCLIFFE,11/09/2009,5.3,0.0, ,24.1,10.8,79,26,4.36,23.79
REDCLIFFE,12/09/2009,4.5,0.0, ,24.2,11.8,83,43,3.46,23.69
REDCLIFFE,13/09/2009,4.2,0.0, ,23.4,12.4,89,51,3.72,23.68
REDCLIFFE,14/09/2009,4.4,0.0, ,24.6,12.4,91,51,4.06,23.65
REDCLIFFE,15/09/2009,4.1,0.0, ,24.1,13.4,91,53,3.05,23.39
REDCLIFFE,16/09/2009, ,0.0, , ,13.9,89,50,3.66,23.89
REDCLIFFE,17/09/2009,4.6, , ,25.0,14.2,88,51,4.97,22.55
REDCLIFFE,18/09/2009,5.3,0.0, ,27.3,14.2,87,49,5.74,23.79
REDCLIFFE,19/09/2009,4.3,0.0, ,25.7,17.4,88,60,3.79,21.77
REDCLIFFE,20/09/2009,4.5,0.0, ,27.0,18.2,90,56,2.86,23.66
REDCLIFFE,21/09/2009,4.4,0.0, ,25.8,16.7,89,66,4.87,23.33
REDCLIFFE,22/09/2009,5.6,0.0, ,27.2,20.1,89,55,8.51,23.65
REDCLIFFE,23/09/2009,7.9,0.0, ,28.9,20.2,79,12,7.16,20.20
REDCLIFFE,24/09/2009,6.9,0.0, ,28.8,15.5,71,23,4.77,26.13
REDCLIFFE,25/09/2009,6.2,0.0, ,25.4,12.6,79,29,5.56,25.96
REDCLIFFE,26/09/2009,8.6,0.0, ,32.8,18.2,80,18,6.45,25.56
REDCLIFFE,27/09/2009,7.9,0.0, ,25.0,14.9,26,13,5.63,26.69
REDCLIFFE,28/09/2009,7.6,0.0, ,25.7,13.8,31,14,5.12,26.93
REDCLIFFE,29/09/2009,6.1,0.0, ,24.3,12.4,67,21,4.27,26.79
REDCLIFFE,30/09/2009,5.3,0.0, ,24.3,12.1,82,42,4.67,26.49
Totals:,,149.6,22.2, ,,,,,, 
