'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for October 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/10/2009,5.7,0.0, ,26.3,13.8,87,43,5.40,26.55
REDCLIFFE,02/10/2009,5.7,0.0, ,27.0,15.0,86,48,6.06,25.98
REDCLIFFE,03/10/2009,9.3,0.0, ,34.7,20.8,77,17,6.73,23.38
REDCLIFFE,04/10/2009,5.1,0.0, ,24.6,17.6,80,59,6.63,24.41
REDCLIFFE,05/10/2009,4.9,10.2, ,25.5,16.2,86,49,4.18,23.04
REDCLIFFE,06/10/2009,5.0,0.0, ,24.4,15.9,90,52,4.48,26.22
REDCLIFFE,07/10/2009,6.2,0.0, ,26.3,17.2,82,30,5.41,23.90
REDCLIFFE,08/10/2009,7.5,0.2, ,26.2,12.2,63,12,5.32,28.49
REDCLIFFE,09/10/2009,5.9,0.0, ,22.7,12.2,80,36,6.77,27.49
REDCLIFFE,10/10/2009,5.7,0.0, ,22.7,13.9,68,51,7.42,27.39
REDCLIFFE,11/10/2009,3.0,2.8, ,20.9,15.4,89,62,3.53,14.17
REDCLIFFE,12/10/2009,5.2,2.2, ,25.4,12.7,92,54,6.36,26.13
REDCLIFFE,13/10/2009,9.1,2.8, ,33.8,18.9,84,23,7.41,25.28
REDCLIFFE,14/10/2009,8.2,12.4, ,31.3,19.3,81,13,5.42,26.50
REDCLIFFE,15/10/2009,7.3,0.0, ,26.9,16.3,64,21,4.94,28.98
REDCLIFFE,16/10/2009,8.3,0.0, ,30.2,14.0,64,14,5.04,29.11
REDCLIFFE,17/10/2009,7.3,0.0, ,24.4,14.3,57,24,6.16,29.18
REDCLIFFE,18/10/2009,5.8,0.0, ,24.1,14.6,78,46,6.11,27.16
REDCLIFFE,19/10/2009,5.4,0.0, ,23.6,14.8,81,51,5.24,28.16
REDCLIFFE,20/10/2009,5.5,0.0, ,23.9,14.9,80,46,4.27,28.93
REDCLIFFE,21/10/2009,5.7,0.0, ,25.0,15.0,82,50,5.04,29.07
REDCLIFFE,22/10/2009,5.8,0.0, ,25.6,15.5,84,49,4.98,29.23
REDCLIFFE,23/10/2009,5.9,0.0, ,26.2,15.6,87,45,4.73,28.77
REDCLIFFE,24/10/2009,6.2,0.0, ,26.6,14.8,86,48,6.29,29.51
REDCLIFFE,25/10/2009,5.7,0.0, ,25.9,16.8,88,56,6.15,28.75
REDCLIFFE,26/10/2009,5.4,0.0, ,27.6,20.8,91,51,6.45,20.57
REDCLIFFE,27/10/2009,5.5,62.0, ,25.8,18.0,91,57,6.67,27.15
REDCLIFFE,28/10/2009,6.0,0.0, ,25.7,20.8,73,58,6.42,25.99
REDCLIFFE,29/10/2009,6.6,0.0, ,24.9,19.2,77,40,6.53,27.86
REDCLIFFE,30/10/2009,6.0,0.0, ,24.5,18.6,75,48,4.95,28.46
REDCLIFFE,31/10/2009,5.6,0.0, ,25.2,16.2,85,52,4.14,28.97
Totals:,,190.5,92.6, ,,,,,, 
