'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for December 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/12/2009,7.0,0.0, ,27.0,21.5,73,55,9.85,26.37
REDCLIFFE,02/12/2009,5.5,0.0, ,24.9,20.1,78,59,10.17,19.48
REDCLIFFE,03/12/2009,7.2,0.4, ,26.4,18.7,70,49,7.29,31.36
REDCLIFFE,04/12/2009,7.2,0.0, ,27.9,18.6,82,44,5.14,33.27
REDCLIFFE,05/12/2009,7.3,0.0, ,28.0,18.5,79,50,7.15,32.86
REDCLIFFE,06/12/2009,7.6,0.0, ,29.2,20.7,77,53,7.75,32.20
REDCLIFFE,07/12/2009,8.0,0.0, ,29.4,22.3,78,51,8.73,32.33
REDCLIFFE,08/12/2009,7.9,0.0, ,29.6,22.2,80,51,8.68,32.45
REDCLIFFE,09/12/2009,8.0,0.0, ,30.3,22.5,79,55,9.19,32.72
REDCLIFFE,10/12/2009,8.0,0.0, ,30.4,23.2,79,51,8.13,31.86
REDCLIFFE,11/12/2009,7.6,0.0, ,31.3,23.3,80,52,6.78,29.54
REDCLIFFE,12/12/2009,5.9,0.0, ,29.2,24.2,81,63,5.48,23.95
REDCLIFFE,13/12/2009,5.7,0.0, ,30.8,23.3,84,53,1.26,27.01
REDCLIFFE,14/12/2009,4.9,0.0, ,29.6,23.2,82,55,0.00,25.42
REDCLIFFE,15/12/2009,5.5,0.0, ,29.3,24.1,73,58,3.16,22.41
REDCLIFFE,16/12/2009,7.5,0.0, ,28.9,23.5,68,53,5.39,31.90
REDCLIFFE,17/12/2009,7.7,0.0, ,28.7,22.8,73,47,5.75,32.80
REDCLIFFE,18/12/2009,7.7,0.0, ,29.5,21.3,77,50,7.06,31.93
REDCLIFFE,19/12/2009,5.8,0.0, ,29.5,21.6,89,53,5.19,22.55
REDCLIFFE,20/12/2009,3.4,10.0, ,26.6,21.8,89,71,3.56,13.79
REDCLIFFE,21/12/2009,4.8,4.4, ,27.3,20.1,87,64,4.23,21.86
REDCLIFFE,22/12/2009,6.3,0.4, ,29.4,21.0,89,50,4.57,27.13
REDCLIFFE,23/12/2009,6.5,6.0, ,28.6,21.1,89,60,4.86,32.09
REDCLIFFE,24/12/2009,6.6,0.0, ,28.9,21.6,86,59,4.43,31.46
REDCLIFFE,25/12/2009,6.8,0.0, ,29.5,24.5,79,61,7.82,27.15
REDCLIFFE,26/12/2009,6.2,7.0, ,29.1,22.6,87,66,8.52,27.95
REDCLIFFE,27/12/2009,5.5,3.4, ,29.3,23.6,89,64,8.47,20.72
REDCLIFFE,28/12/2009,4.8,29.4, ,28.0,22.9,90,74,5.49,22.48
REDCLIFFE,29/12/2009,5.4,5.6, ,29.0,23.3,88,67,6.17,23.18
REDCLIFFE,30/12/2009,6.4,3.0, ,28.4,23.3,87,59,7.01,28.39
REDCLIFFE,31/12/2009,6.5,0.6, ,28.4,23.1,82,56,7.26,26.31
Totals:,,201.2,70.2, ,,,,,, 
