'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for March 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/03/2010,2.8,29.4, ,25.4,21.5,92,79,6.48,11.39
REDCLIFFE,02/03/2010, ,92.6, , ,20.8,91,68,10.40,8.12
REDCLIFFE,03/03/2010, , , ,26.2, ,90,65,10.30,16.47
REDCLIFFE,04/03/2010,4.5,10.6, ,26.2,21.7,86,63,9.46,14.02
REDCLIFFE,05/03/2010,4.4,2.4, ,27.4,22.3,88,71,7.61,18.82
REDCLIFFE,06/03/2010,4.0,8.4, ,27.2,22.8,90,69,7.37,14.77
REDCLIFFE,07/03/2010,5.3,0.0, ,28.2,24.0,78,60,5.61,19.69
REDCLIFFE,08/03/2010,4.3,0.2, ,27.9,22.6,83,53,3.16,17.07
REDCLIFFE,09/03/2010,5.7,0.2, ,29.5,20.5,89,57,4.00,27.17
REDCLIFFE,10/03/2010,5.3,0.0, ,29.8,22.0,87,59,4.44,23.01
REDCLIFFE,11/03/2010,6.2,8.8, ,28.7,23.2,89,56,9.27,24.78
REDCLIFFE,12/03/2010,6.2,11.4, ,26.7,19.8,88,51,12.59,22.27
REDCLIFFE,13/03/2010,6.0,1.4, ,26.8,18.7,87,51,10.39,22.23
REDCLIFFE,14/03/2010,5.7,6.4, ,27.0,19.2,89,55,8.56,24.42
REDCLIFFE,15/03/2010,5.5,4.2, ,26.4,18.6,86,56,7.96,24.06
REDCLIFFE,16/03/2010,5.7,0.4, ,26.4,19.1,86,51,8.27,22.61
REDCLIFFE,17/03/2010,5.6,0.0, ,27.1,19.4,83,58,7.96,23.91
REDCLIFFE,18/03/2010,6.8,0.4, ,26.6,20.7,70,51,9.01,25.89
REDCLIFFE,19/03/2010,7.2,0.0, ,27.7,21.8,68,44,7.87,25.56
REDCLIFFE,20/03/2010,5.4,0.0, ,27.2,22.3,86,54,7.92,19.79
REDCLIFFE,21/03/2010,4.1,0.0, ,27.1,21.8,88,64,4.65,17.62
REDCLIFFE,22/03/2010,3.3,0.6, ,26.7,20.4,90,68,2.83,15.39
REDCLIFFE,23/03/2010,4.7,0.2, ,28.2,20.0,91,60,3.41,23.04
REDCLIFFE,24/03/2010,5.1,0.0, ,27.2,20.9,86,60,5.59,23.77
REDCLIFFE,25/03/2010,5.4,0.0, ,27.6,19.5,82,57,5.74,24.62
REDCLIFFE,26/03/2010,5.1,0.0, ,27.4,20.5,88,54,3.79,24.87
REDCLIFFE,27/03/2010,4.9,0.0, ,28.0,18.6,87,56,3.47,24.40
REDCLIFFE,28/03/2010,4.8,0.2, ,27.4,20.3,87,57,4.82,21.32
REDCLIFFE,29/03/2010,4.4,4.0, ,27.2,20.7,89,60,4.76,19.54
REDCLIFFE,30/03/2010,3.5,1.2, ,25.1,20.1,88,72,3.47,18.24
REDCLIFFE,31/03/2010,3.9,7.2, ,26.8,20.8,90,64,3.73,18.62
Totals:,,145.8,190.2, ,,,,,, 
