'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for April 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/04/2010,4.0,5.2, ,26.6,19.9,90,66,4.78,19.18
REDCLIFFE,02/04/2010,5.4,0.0, ,27.0,20.2,84,55,6.98,23.59
REDCLIFFE,03/04/2010,5.5,0.0, ,26.3,19.7,80,53,7.14,22.90
REDCLIFFE,04/04/2010,5.3,0.0, ,26.7,18.6,79,55,7.27,21.11
REDCLIFFE,05/04/2010,5.0,0.0, ,26.0,17.3,80,52,5.50,22.81
REDCLIFFE,06/04/2010,4.9,0.0, ,27.1,18.3,81,49,4.32,22.17
REDCLIFFE,07/04/2010,4.4,0.0, ,27.0,17.8,87,51,3.58,21.13
REDCLIFFE,08/04/2010,5.2,0.0, ,30.0,18.2,85,51,4.78,21.77
REDCLIFFE,09/04/2010,4.7,0.0, ,27.4,21.2,90,54,4.23,22.24
REDCLIFFE,10/04/2010,4.6,0.0, ,29.3,21.2,86,56,4.46,19.22
REDCLIFFE,11/04/2010,4.2,0.0, ,28.8,20.9,91,68,4.12,20.76
REDCLIFFE,12/04/2010,3.4,0.0, ,27.1,22.5,87,58,3.42,12.44
REDCLIFFE,13/04/2010,3.5,6.8, ,23.7,17.6,91,52,6.48,8.64
REDCLIFFE,14/04/2010,4.8,0.0, ,25.4,17.0,76,55,7.10,18.79
REDCLIFFE,15/04/2010,4.9,0.0, ,26.0,17.9,84,51,5.99,21.79
REDCLIFFE,16/04/2010,3.9,5.4, ,24.0,17.9,88,55,6.81,14.71
REDCLIFFE,17/04/2010,4.2,2.6, ,25.6,18.0,90,60,6.34,19.81
REDCLIFFE,18/04/2010,3.9,9.0, ,25.7,18.5,90,64,5.77,19.35
REDCLIFFE,19/04/2010,4.7,3.8, ,25.4,19.1,88,50,7.15,18.31
REDCLIFFE,20/04/2010,3.9,0.8, ,25.7,18.9,85,63,5.72,16.93
REDCLIFFE,21/04/2010,2.0,16.6, ,21.4,18.5,92,84,6.61,9.82
REDCLIFFE,22/04/2010,3.5,27.6, ,25.3,18.6,87,68,5.19,16.66
REDCLIFFE,23/04/2010,3.8,0.2, ,26.2,17.9,90,60,3.94,19.57
REDCLIFFE,24/04/2010,3.0,0.6, ,24.7,19.4,91,69,3.22,16.21
REDCLIFFE,25/04/2010,4.2,6.4, ,28.0,18.3,92,54,4.36,19.43
REDCLIFFE,26/04/2010,5.0,0.0, ,24.3,17.1,72,43,5.92,20.45
REDCLIFFE,27/04/2010,3.6,0.0, ,24.6,14.4,82,55,3.82,18.11
REDCLIFFE,28/04/2010,3.5,0.0, ,25.7,17.3,87,57,3.12,18.89
REDCLIFFE,29/04/2010,3.9,0.0, ,27.1,17.5,89,55,3.43,19.53
REDCLIFFE,30/04/2010,4.3,0.0, ,25.5,14.8,87,42,4.42,19.87
Totals:,,127.2,85, ,,,,,, 
