'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for May 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/05/2010,4.0,0.0, ,25.4,17.4,81,58,4.76,19.07
REDCLIFFE,02/05/2010,3.9,0.2, ,25.5,17.4,87,56,4.53,19.28
REDCLIFFE,03/05/2010,4.0,0.4, ,25.2,16.8,89,58,6.44,18.50
REDCLIFFE,04/05/2010,2.1,4.8, ,22.0,17.7,91,80,3.06,12.31
REDCLIFFE,05/05/2010,3.3,2.8, ,25.9,15.8,92,62,3.06,18.85
REDCLIFFE,06/05/2010,4.1,0.2, ,24.3,16.0,89,52,6.29,19.15
REDCLIFFE,07/05/2010,4.0,0.0, ,23.8,13.3,81,42,4.03,19.00
REDCLIFFE,08/05/2010,4.0,0.0, ,24.0,12.1,84,50,5.74,18.45
REDCLIFFE,09/05/2010,4.0,0.0, ,24.2,15.8,81,51,5.35,18.22
REDCLIFFE,10/05/2010,2.8,0.0, ,22.3,17.3,83,65,3.79,14.72
REDCLIFFE,11/05/2010,3.1,0.0, ,25.3,14.9,89,54,2.85,16.80
REDCLIFFE,12/05/2010,4.4,0.6, ,27.2,13.9,92,24,3.57,18.27
REDCLIFFE,13/05/2010,4.2,0.0, ,23.5,13.3,68,30,3.68,18.34
REDCLIFFE,14/05/2010,3.8,0.0, ,23.6,9.0,77,25,3.00,18.39
REDCLIFFE,15/05/2010,3.9,0.0, ,24.2,9.8,83,31,3.59,18.16
REDCLIFFE,16/05/2010,2.8,0.0, ,21.0,13.2,82,46,3.42,11.80
REDCLIFFE,17/05/2010,2.6,0.0, ,21.4,13.1,84,54,3.39,11.52
REDCLIFFE,18/05/2010,3.5,0.0, ,23.8,11.4,86,33,3.22,17.39
REDCLIFFE,19/05/2010,3.4,0.0, ,23.2,12.2,85,45,3.80,17.37
REDCLIFFE,20/05/2010,2.9,0.0, ,22.4,13.5,87,57,4.02,15.41
REDCLIFFE,21/05/2010,2.0,1.2, ,20.4,16.6,90,77,3.83,11.27
REDCLIFFE,22/05/2010,3.1,8.2, ,22.3,12.1,91,45,3.59,16.96
REDCLIFFE,23/05/2010,3.2,0.0, ,22.5,12.5,84,54,5.47,13.38
REDCLIFFE,24/05/2010,2.9,0.0, ,22.5,16.2,89,56,4.43,14.38
REDCLIFFE,25/05/2010,1.8,3.4, ,22.2,16.6,91,72,2.38,8.70
REDCLIFFE,26/05/2010,3.4,0.0, ,23.3,15.4,91,37,3.87,15.25
REDCLIFFE,27/05/2010,3.5,0.0, ,23.0,13.6,76,47,4.78,13.53
REDCLIFFE,28/05/2010,2.6,0.0, ,21.4,14.8,91,67,6.17,13.92
REDCLIFFE,29/05/2010,2.1,21.4, ,21.2,16.9,92,67,4.21,9.40
REDCLIFFE,30/05/2010,3.1,1.0, ,19.8,13.0,79,38,3.81,15.72
REDCLIFFE,31/05/2010,3.1,0.0, ,21.2,11.3,75,43,3.74,15.84
Totals:,,101.6,44.2, ,,,,,, 
