'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for June 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/06/2010,2.8,0.0, ,22.4,11.2,84,51,3.18,15.87
REDCLIFFE,02/06/2010,2.3,0.0, ,21.9,16.0,89,64,3.29,12.37
REDCLIFFE,03/06/2010,2.5,0.0, ,22.1,13.6,91,55,3.22,13.56
REDCLIFFE,04/06/2010,3.0,0.0, ,22.0,11.9,87,46,3.91,15.51
REDCLIFFE,05/06/2010,3.4,0.0, ,24.0,14.9,77,43,3.83,15.73
REDCLIFFE,06/06/2010,3.9,0.0, ,21.5,14.5,68,31,4.48,16.05
REDCLIFFE,07/06/2010,3.0,0.0, ,20.5,10.5,76,47,4.26,15.08
REDCLIFFE,08/06/2010,2.4,0.0, ,20.6,12.8,86,60,3.74,14.73
REDCLIFFE,09/06/2010,3.1,0.0, ,24.5,14.1,88,40,3.20,15.10
REDCLIFFE,10/06/2010,3.8,0.0, ,19.5,12.8,61,32,4.83,15.11
REDCLIFFE,11/06/2010,2.7,0.0, ,21.2,11.2,78,43,3.16,11.97
REDCLIFFE,12/06/2010,3.2,0.0, ,19.8,8.9,73,30,3.44,15.79
REDCLIFFE,13/06/2010,3.3,0.0, ,19.4,10.1,74,48,5.97,14.16
REDCLIFFE,14/06/2010,3.1,0.0, ,20.9,13.9,79,59,6.22,13.46
REDCLIFFE,15/06/2010,3.2,0.0, ,20.8,14.1,77,54,5.62,14.62
REDCLIFFE,16/06/2010,2.5,3.8, ,20.0,13.4,90,57,4.52,12.53
REDCLIFFE,17/06/2010,2.3,0.0, ,21.7,12.3,88,55,2.86,12.39
REDCLIFFE,18/06/2010,2.0,0.2, ,22.8,15.0,91,55,1.93,11.25
REDCLIFFE,19/06/2010,2.8,0.2, ,21.6,15.0,81,35,2.90,12.41
REDCLIFFE,20/06/2010,2.5,0.0, ,20.7,7.9,87,46,2.93,15.48
REDCLIFFE,21/06/2010,2.7,0.0, ,20.8,11.3,89,55,4.77,15.20
REDCLIFFE,22/06/2010,2.8,0.0, ,21.0,12.0,85,63,6.41,13.67
REDCLIFFE,23/06/2010,2.3,0.0, ,20.3,14.1,91,69,6.52,10.61
REDCLIFFE,24/06/2010,2.6,11.2, ,20.7,14.0,88,60,5.04,13.16
REDCLIFFE,25/06/2010,2.2,0.0, ,20.0,11.3,90,62,3.71,14.40
REDCLIFFE,26/06/2010,1.9,0.0, ,20.3,12.6,91,70,2.74,13.33
REDCLIFFE,27/06/2010,2.4,0.0, ,23.2,14.0,91,56,3.19,12.40
REDCLIFFE,28/06/2010,2.6,0.0, ,18.7,8.1,85,36,2.97,15.50
REDCLIFFE,29/06/2010,2.3,0.0, ,18.0,9.2,71,28,2.24,11.38
REDCLIFFE,30/06/2010,1.5,3.4, ,18.1,10.3,91,71,2.19,9.83
Totals:,,81.1,18.8, ,,,,,, 
