'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for July 2010,,,,,,,,,,
Issued at 04:30 GMT on Sunday 01 August 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/07/2010,2.1,4.6, ,17.8,11.7,87,48,3.10,10.01
REDCLIFFE,02/07/2010,1.5,0.6, ,16.6,12.0,89,67,3.78,4.17
REDCLIFFE,03/07/2010,2.8,5.6, ,17.3,12.4,91,39,4.61,14.60
REDCLIFFE,04/07/2010,2.8,0.0, ,19.3,7.6,80,47,4.35,15.10
REDCLIFFE,05/07/2010,2.5,0.0, ,20.0,12.0,83,57,3.90,13.83
REDCLIFFE,06/07/2010,2.3,0.0, ,20.7,13.1,89,45,2.66,10.74
REDCLIFFE,07/07/2010,2.3,0.0, ,16.4,13.8,79,45,3.77,5.54
REDCLIFFE,08/07/2010,2.8,0.2, ,20.3,12.6,87,55,6.06,10.05
REDCLIFFE,09/07/2010,3.3,0.2, ,20.9,13.3,78,55,6.69,13.87
REDCLIFFE,10/07/2010,2.4,0.0, ,20.1,13.6,84,64,4.43,11.74
REDCLIFFE,11/07/2010,2.1,0.0, ,20.7,12.3,89,59,2.96,11.28
REDCLIFFE,12/07/2010,2.4,0.0, ,22.5,12.1,91,60,2.99,14.96
REDCLIFFE,13/07/2010,2.4,0.2, ,22.3,12.2,91,58,2.91,14.88
REDCLIFFE,14/07/2010,3.1,0.0, ,24.1,13.8,90,46,4.47,10.51
REDCLIFFE,15/07/2010,3.7,0.0, ,21.1,12.1,70,31,4.28,15.83
REDCLIFFE,16/07/2010,2.9,0.0, ,18.6,8.8,80,39,3.66,15.76
REDCLIFFE,17/07/2010,2.8,0.0, ,19.5,9.9,83,46,3.83,15.86
REDCLIFFE,18/07/2010,2.8,0.0, ,20.8,8.7,88,44,3.40,15.68
REDCLIFFE,19/07/2010,1.7,0.0, ,19.6,11.2,91,63,2.26,9.15
REDCLIFFE,20/07/2010,2.5,1.2, ,19.4,13.9,91,48,3.62,11.81
REDCLIFFE,21/07/2010, ,0.0, , ,11.2,82,45,3.67,13.79
REDCLIFFE,22/07/2010, , , ,19.7, ,79,30,4.72,16.18
REDCLIFFE,23/07/2010,3.3,0.0, ,20.0,9.3,75,50,5.54,15.82
REDCLIFFE,24/07/2010,2.4,0.0, ,19.3,12.3,87,59,4.12,11.75
REDCLIFFE,25/07/2010,1.8,1.4, ,18.7,14.8,91,72,3.81,9.02
REDCLIFFE,26/07/2010,2.5,0.6, ,20.3,14.1,90,63,4.80,13.58
REDCLIFFE,27/07/2010,2.2,1.4, ,18.3,13.7,91,68,5.59,11.43
REDCLIFFE,28/07/2010,2.4,11.4, ,22.4,15.6,92,64,3.38,12.23
REDCLIFFE,29/07/2010,2.1,12.8, ,22.6,17.0,93,74,2.54,13.18
REDCLIFFE,30/07/2010, ,0.2, ,23.4,16.6,93,67,3.09, 
REDCLIFFE,31/07/2010, ,0.0, ,26.8,18.6,89,53,5.09, 
Totals:,,67.9,40.4, ,,,,,, 
