'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for November 2010,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 December 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/11/2010,3.2,0.0, ,22.9,16.5,88,60,2.63,14.12
REDCLIFFE,02/11/2010,6.7,0.2, ,27.3,17.4,85,30,4.20,29.78
REDCLIFFE,03/11/2010,6.4,0.0, ,24.7,14.3,67,47,6.14,29.71
REDCLIFFE,04/11/2010,3.1,2.4, ,21.3,19.8,86,65,4.94,10.99
REDCLIFFE,05/11/2010,4.5,22.0, ,23.7,16.8,90,60,4.48,23.16
REDCLIFFE,06/11/2010,5.8,0.0, ,25.1,16.7,83,51,4.97,29.56
REDCLIFFE,07/11/2010,5.6,0.0, ,24.9,18.1,78,61,6.09,27.64
REDCLIFFE,08/11/2010,5.0,0.0, ,25.5,21.5,77,61,5.78,19.89
REDCLIFFE,09/11/2010,5.3,0.0, ,26.2,21.5,85,59,6.11,22.54
REDCLIFFE,10/11/2010,5.8,1.4, ,26.1,19.1,77,56,5.06,27.12
REDCLIFFE,11/11/2010,5.4,0.6, ,25.8,17.5,88,57,4.61,27.50
REDCLIFFE,12/11/2010,5.9,0.0, ,27.0,19.2,88,54,5.57,27.67
REDCLIFFE,13/11/2010,6.7,0.4, ,26.7,21.9,82,51,6.64,29.57
REDCLIFFE,14/11/2010,5.9,2.2, ,27.1,21.1,84,60,6.91,26.56
REDCLIFFE,15/11/2010,6.4,0.0, ,27.1,18.8,86,53,5.33,31.02
REDCLIFFE,16/11/2010,6.0,0.0, ,27.4,20.3,80,57,5.79,26.61
REDCLIFFE,17/11/2010,6.6,0.0, ,27.8,19.7,76,50,5.46,28.84
REDCLIFFE,18/11/2010,4.2,0.0, ,26.1,22.5,91,58,4.65,15.71
REDCLIFFE,19/11/2010,4.6,49.0, ,25.9,18.6,92,64,7.17,20.71
REDCLIFFE,20/11/2010,5.4,1.4, ,24.9,19.5,89,54,11.55,18.66
REDCLIFFE,21/11/2010,5.6,0.0, ,24.7,19.4,80,50,9.04,18.34
REDCLIFFE,22/11/2010,6.3,4.0, ,25.3,18.6,89,49,9.11,28.24
REDCLIFFE,23/11/2010,6.8,0.0, ,25.2,21.8,88,43,9.70,27.75
REDCLIFFE,24/11/2010,6.2,5.0, ,25.1,19.4,81,52,8.45,26.03
REDCLIFFE,25/11/2010,6.9,1.6, ,24.6,20.8,69,41,7.77,25.01
REDCLIFFE,26/11/2010,6.1,0.2, ,26.2,19.9,80,51,6.03,26.02
REDCLIFFE,27/11/2010,6.8,0.2, ,25.8,20.5,69,50,6.78,28.09
REDCLIFFE,28/11/2010,5.5,0.0, ,25.7,20.0,82,47,5.30,21.59
REDCLIFFE,29/11/2010,5.8,0.8, ,26.2,17.7,87,58,4.50,29.71
REDCLIFFE,30/11/2010,6.5,0.0, ,26.8,22.4,75,51,6.20,25.54
Totals:,,171,91.4, ,,,,,, 
