'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for December 2010,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 January 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/12/2010,4.1,1.8, ,25.1,22.2,90,68,6.70,16.80
REDCLIFFE,02/12/2010,4.3,57.2, ,25.7,19.7,91,64,5.20,18.85
REDCLIFFE,03/12/2010,4.0,0.0, ,24.3,22.3,89,63,6.22,15.23
REDCLIFFE,04/12/2010,3.8,5.2, ,23.6,20.1,86,69,7.73,14.04
REDCLIFFE,05/12/2010,4.3,7.8, ,25.5,19.7,91,73,5.03,22.33
REDCLIFFE,06/12/2010,3.6,11.8, ,24.7,20.8,90,77,6.30,17.00
REDCLIFFE,07/12/2010,5.2,31.6, ,26.5,21.0,91,75,5.92,28.86
REDCLIFFE,08/12/2010,5.9,0.0, ,27.3,22.5,82,65,5.91,27.25
REDCLIFFE,09/12/2010,6.8,0.0, ,27.9,23.0,81,58,5.66,31.45
REDCLIFFE,10/12/2010,6.4,0.0, ,28.9,21.6,88,59,6.82,28.56
REDCLIFFE,11/12/2010,5.4,0.0, ,29.7,23.9,91,63,5.77,21.71
REDCLIFFE,12/12/2010,3.1,58.8, ,26.4,20.4,90,83,3.18,14.88
REDCLIFFE,13/12/2010,5.8,7.8, ,27.6,21.6,89,64,5.14,28.56
REDCLIFFE,14/12/2010,5.8,1.0, ,28.3,21.0,89,62,6.87,26.00
REDCLIFFE,15/12/2010,6.9,0.0, ,29.2,20.5,86,54,4.91,32.20
REDCLIFFE,16/12/2010,5.2,0.0, ,29.6,21.3,91,63,5.80,21.33
REDCLIFFE,17/12/2010,5.8,26.2, ,29.9,19.9,90,60,4.59,26.07
REDCLIFFE,18/12/2010,5.7,19.0, ,30.3,20.6,86,41,3.25,22.28
REDCLIFFE,19/12/2010,3.5,2.8, ,24.9,21.1,92,63,4.34,13.23
REDCLIFFE,20/12/2010,7.2,64.8, ,28.9,17.4,92,28,4.39,31.06
REDCLIFFE,21/12/2010,7.0,0.0, ,28.0,13.5,80,38,5.22,30.84
REDCLIFFE,22/12/2010,2.8,1.8, ,23.0,19.8,91,69,6.99,7.82
REDCLIFFE,23/12/2010,4.5,20.2, ,27.4,19.7,92,74,6.19,22.55
REDCLIFFE,24/12/2010,3.9,0.2, ,26.6,22.6,91,73,8.28,15.24
REDCLIFFE,25/12/2010,3.9,19.0, ,27.4,21.8,92,72,5.07,16.16
REDCLIFFE,26/12/2010,2.5,8.0, ,24.6,20.6,91,79,3.90,9.68
REDCLIFFE,27/12/2010,2.2,21.4, ,26.5,22.1,91,85,5.16,7.50
REDCLIFFE,28/12/2010,3.5,35.0, ,23.5,21.0,91,61,10.75,6.17
REDCLIFFE,29/12/2010,5.0,7.4, ,25.9,20.3,82,64,9.77,17.63
REDCLIFFE,30/12/2010,6.5,0.2, ,27.7,20.9,81,62,6.85,30.52
REDCLIFFE,31/12/2010,7.1,0.2, ,27.6,21.3,87,52,7.85,32.49
Totals:,,151.7,409.2, ,,,,,, 
