'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for July 2011,,,,,,,,,,
Issued at 22:34 GMT on Monday 01 August 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/07/2011,2.8,0.2, ,19.9,11.9,83,55,5.29,14.18
REDCLIFFE,02/07/2011,2.6,0.2, ,19.9,11.1,88,55,4.43,14.37
REDCLIFFE,03/07/2011,1.8,0.0, ,18.4,12.3,90,67,3.02,10.80
REDCLIFFE,04/07/2011,2.5,0.2, ,21.7,10.2,91,49,2.99,14.96
REDCLIFFE,05/07/2011,3.6,0.0, ,22.2,12.7,87,27,4.20,15.17
REDCLIFFE,06/07/2011,4.0,0.0, ,20.8,10.6,56,23,4.32,15.48
REDCLIFFE,07/07/2011,3.6,0.0, ,20.6,10.3,68,28,4.04,15.32
REDCLIFFE,08/07/2011,2.8,0.0, ,18.9,7.3,73,33,3.13,15.57
REDCLIFFE,09/07/2011,3.7,0.0, ,20.1,5.7,63,23,4.04,16.05
REDCLIFFE,10/07/2011,3.5,0.0, ,19.4,5.5,69,24,3.88,16.12
REDCLIFFE,11/07/2011,4.0,0.0, ,20.0,9.0,56,27,4.62,15.97
REDCLIFFE,12/07/2011,2.4,0.0, ,19.9,6.0,87,41,2.33,15.82
REDCLIFFE,13/07/2011,3.1,0.0, ,22.0,5.5,90,32,3.35,15.74
REDCLIFFE,14/07/2011,3.4,0.0, ,22.4,9.8,86,28,3.68,15.46
REDCLIFFE,15/07/2011,2.8,0.0, ,19.3,13.5,91,52,6.22,10.31
REDCLIFFE,16/07/2011,1.9,11.6, ,16.4,12.4,92,71,6.59,9.26
REDCLIFFE,17/07/2011,2.2,0.8, ,19.6,12.7,90,63,3.24,13.30
REDCLIFFE,18/07/2011,2.8,0.2, ,22.1,10.6,92,40,2.91,15.86
REDCLIFFE,19/07/2011,3.8,0.0, ,19.1,9.6,83,27,5.23,16.50
REDCLIFFE,20/07/2011,2.9,0.0, ,17.7,7.5,76,47,5.50,10.29
REDCLIFFE,21/07/2011,3.9,0.0, ,22.7,12.1,70,32,4.27,16.22
REDCLIFFE,22/07/2011,3.8,0.0, ,22.4,11.3,68,38,4.37,15.92
REDCLIFFE,23/07/2011,3.2,0.0, ,21.2,10.9,75,36,3.43,15.86
REDCLIFFE,24/07/2011,2.7,0.0, ,19.3,8.1,84,44,3.22,16.16
REDCLIFFE,25/07/2011,2.7,0.0, ,19.6,7.1,90,36,2.69,15.96
REDCLIFFE,26/07/2011,3.0,0.0, ,21.8,7.0,86,36,2.95,14.87
REDCLIFFE,27/07/2011,3.3,0.0, ,20.2,9.6,80,32,3.68,16.29
REDCLIFFE,28/07/2011,3.2,0.0, ,19.8,7.6,84,39,4.24,16.11
REDCLIFFE,29/07/2011,2.9,0.0, ,19.8,11.6,81,57,4.93,14.79
REDCLIFFE,30/07/2011,3.0,0.0, ,20.4,10.9,86,46,4.17,14.48
REDCLIFFE,31/07/2011,3.0,0.0, ,20.3,10.5,86,43,3.74,15.60
Totals:,,94.9,13.2, ,,,,,, 
