'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for September 2011,,,,,,,,,,
Issued at 22:35 GMT on Saturday 01 October 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/09/2011,3.9,0.2, ,22.4,13.6,90,38,3.29,20.43
REDCLIFFE,02/09/2011,4.1,0.0, ,21.8,12.6,90,50,6.51,19.73
REDCLIFFE,03/09/2011,4.9,0.0, ,20.9,13.1,79,39,7.66,19.52
REDCLIFFE,04/09/2011,3.9,0.4, ,20.7,13.5,82,53,6.17,18.74
REDCLIFFE,05/09/2011,3.7,6.4, ,21.3,13.5,92,53,5.42,19.35
REDCLIFFE,06/09/2011,3.6,0.8, ,21.7,13.0,87,58,4.53,20.23
REDCLIFFE,07/09/2011,3.7,0.0, ,22.7,13.5,91,57,3.61,21.01
REDCLIFFE,08/09/2011,3.9,0.0, ,23.4,12.6,91,51,3.63,21.51
REDCLIFFE,09/09/2011,3.3,0.0, ,22.0,14.5,86,53,5.77,9.22
REDCLIFFE,10/09/2011,5.7,9.0, ,19.1,10.7,57,25,7.04,23.30
REDCLIFFE,11/09/2011,5.3,0.0, ,22.8,9.4,61,20,4.03,23.51
REDCLIFFE,12/09/2011,4.5,0.0, ,20.4,10.0,74,29,4.84,17.47
REDCLIFFE,13/09/2011,4.1,0.0, ,20.7,11.7,81,45,4.21,21.29
REDCLIFFE,14/09/2011,4.5,0.0, ,23.1,9.1,89,41,4.22,23.38
REDCLIFFE,15/09/2011,5.0,0.0, ,25.6,9.4,89,16,2.87,24.06
REDCLIFFE,16/09/2011,5.3,0.0, ,26.7,9.7,77,20,3.08,24.00
REDCLIFFE,17/09/2011,5.0,0.0, ,28.0,12.3,81,26,2.56,23.84
REDCLIFFE,18/09/2011,4.9,0.0, ,27.8,12.7,82,28,2.51,23.63
REDCLIFFE,19/09/2011,4.6,0.0, ,25.8,12.8,88,39,2.83,23.61
REDCLIFFE,20/09/2011,5.5,0.0, ,25.2,12.6,92,33,5.52,24.10
REDCLIFFE,21/09/2011,4.7,0.0, ,23.6,15.0,90,51,6.20,22.89
REDCLIFFE,22/09/2011,4.9,0.0, ,23.0,16.8,74,48,4.49,23.53
REDCLIFFE,23/09/2011,4.6,0.0, ,23.6,12.3,89,50,4.52,24.47
REDCLIFFE,24/09/2011,4.7,0.0, ,25.3,14.3,89,54,5.48,22.40
REDCLIFFE,25/09/2011,5.1,0.0, ,25.0,17.9,82,49,6.08,21.31
REDCLIFFE,26/09/2011,4.6,0.0, ,22.8,13.5,80,47,6.59,16.95
REDCLIFFE,27/09/2011,4.8,0.0, ,22.4,13.3,78,47,5.85,22.29
REDCLIFFE,28/09/2011,4.1,0.0, ,22.3,15.7,76,48,4.49,15.73
REDCLIFFE,29/09/2011,2.8,0.0, ,21.3,16.8,81,65,5.25,7.38
REDCLIFFE,30/09/2011,6.5,2.6, ,26.9,13.3,77,18,4.27,26.74
Totals:,,136.2,19.4, ,,,,,, 
