'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for May 2012,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 June 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/05/2012,3.0,0.0, ,22.4,16.1,90,63,7.01,11.20
REDCLIFFE,02/05/2012,3.3,1.8, ,23.2,17.5,89,54,4.94,13.13
REDCLIFFE,03/05/2012,2.9,0.8, ,24.0,17.0,88,59,4.03,12.26
REDCLIFFE,04/05/2012,2.9,6.2, ,22.7,17.4,90,64,4.99,13.32
REDCLIFFE,05/05/2012,3.6,0.0, ,24.6,15.1,89,33,3.12,16.11
REDCLIFFE,06/05/2012,3.3,0.0, ,22.9,10.8,83,31,2.70,16.87
REDCLIFFE,07/05/2012,3.3,0.0, ,23.9,11.1,87,37,2.81,16.32
REDCLIFFE,08/05/2012,3.4,0.0, ,23.9,11.8,87,36,3.21,15.47
REDCLIFFE,09/05/2012,3.4,0.0, ,24.0,13.7,90,38,3.27,15.39
REDCLIFFE,10/05/2012,3.1,0.0, ,24.3,13.9,90,48,3.25,15.24
REDCLIFFE,11/05/2012,3.1,0.0, ,23.9,14.2,91,50,3.46,15.15
REDCLIFFE,12/05/2012,3.1,0.0, ,24.5,13.0,90,51,3.35,15.04
REDCLIFFE,13/05/2012,4.1,0.0, ,25.9,13.7,89,25,3.90,14.93
REDCLIFFE,14/05/2012,3.6,0.0, ,19.8,10.9,74,29,4.22,14.82
REDCLIFFE,15/05/2012,3.8,0.0, ,22.1,9.1,82,34,4.74,14.71
REDCLIFFE,16/05/2012,3.5,0.0, ,21.6,11.9,81,44,5.00,14.56
REDCLIFFE,17/05/2012,3.0,0.0, ,22.0,12.4,87,56,4.87,14.13
REDCLIFFE,18/05/2012,3.1,0.0, ,22.6,13.6,89,49,4.40,13.64
REDCLIFFE,19/05/2012,3.3,0.0, ,22.8,12.8,86,40,3.76,14.31
REDCLIFFE,20/05/2012,3.0,0.0, ,22.8,12.9,87,46,3.74,13.59
REDCLIFFE,21/05/2012,2.7,0.0, ,22.3,13.1,83,61,4.74,10.20
REDCLIFFE,22/05/2012,2.6,0.2, ,23.6,14.4,88,52,2.49,13.82
REDCLIFFE,23/05/2012,2.2,0.0, ,22.5,14.3,88,62,2.61,12.12
REDCLIFFE,24/05/2012,2.5,0.0, ,23.9,15.3,88,57,3.60,9.48
REDCLIFFE,25/05/2012,1.4,0.8, ,19.7,18.3,90,71,2.74,2.99
REDCLIFFE,26/05/2012,2.9,10.2, ,19.8,11.1,79,35,3.45,12.47
REDCLIFFE,27/05/2012,3.2,0.0, ,20.6,7.7,83,39,4.41,13.59
REDCLIFFE,28/05/2012,3.3,0.0, ,21.7,10.6,83,48,5.64,12.87
REDCLIFFE,29/05/2012,3.2,0.0, ,21.7,14.0,86,56,6.52,12.98
REDCLIFFE,30/05/2012,2.7,2.6, ,21.3,14.1,87,61,5.96,9.81
REDCLIFFE,31/05/2012,2.2,0.0, ,20.3,15.4,92,70,7.06,8.76
Totals:,,94.7,22.6, ,,,,,, 
