'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for June 2012,,,,,,,,,,
Issued at 22:38 GMT on Sunday 01 July 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/06/2012,2.4,0.2, ,21.7,14.8,89,65,5.31,8.96
REDCLIFFE,02/06/2012,1.5,3.4, ,20.3,15.8,92,78,3.91,5.92
REDCLIFFE,03/06/2012,1.8,48.2, ,22.2,16.6,92,71,3.23,7.37
REDCLIFFE,04/06/2012,2.9,0.2, ,21.7,14.3,92,44,4.25,13.03
REDCLIFFE,05/06/2012,3.5,0.0, ,17.7,10.7,66,35,5.26,13.03
REDCLIFFE,06/06/2012,3.1,0.0, ,20.1,9.4,72,46,4.57,12.89
REDCLIFFE,07/06/2012,3.0,0.0, ,20.3,12.5,77,53,5.47,10.86
REDCLIFFE,08/06/2012,2.6,0.0, ,18.4,12.7,81,60,6.33,10.66
REDCLIFFE,09/06/2012,2.4,0.0, ,18.8,13.7,88,67,6.94,10.79
REDCLIFFE,10/06/2012,1.4,10.2, ,16.3,13.2,91,81,6.17,5.79
REDCLIFFE,11/06/2012,2.2,5.6, ,18.2,13.3,91,67,7.12,9.21
REDCLIFFE,12/06/2012,3.6,0.6, ,21.7,14.2,72,53,6.66,11.95
REDCLIFFE,13/06/2012,3.3,0.2, ,22.0,14.1,79,47,5.04,11.64
REDCLIFFE,14/06/2012,2.5,0.0, ,21.6,12.1,88,50,3.50,12.46
REDCLIFFE,15/06/2012,2.1,0.0, ,20.7,10.4,91,54,2.63,12.82
REDCLIFFE,16/06/2012,2.2,0.0, ,22.0,10.0,91,62,3.16,12.73
REDCLIFFE,17/06/2012,3.1,0.0, ,22.2,13.9,89,31,3.72,12.78
REDCLIFFE,18/06/2012,2.9,0.0, ,20.2,8.1,83,34,3.52,12.80
REDCLIFFE,19/06/2012,2.5,0.0, ,20.7,8.1,89,37,2.85,12.79
REDCLIFFE,20/06/2012,2.2,0.0, ,20.6,8.0,89,52,2.75,12.80
REDCLIFFE,21/06/2012,2.7,0.0, ,21.6,8.4,92,43,3.48,12.79
REDCLIFFE,22/06/2012,3.0,0.0, ,23.2,12.4,85,47,4.24,11.97
REDCLIFFE,23/06/2012,2.2,0.0, ,17.2,13.3,85,46,3.44,7.74
REDCLIFFE,24/06/2012,2.6,0.0, ,18.2,12.8,81,54,5.88,6.00
REDCLIFFE,25/06/2012,2.0,2.6, ,17.5,12.7,83,60,4.46,5.16
REDCLIFFE,26/06/2012,1.5,0.4, ,15.9,13.6,91,72,5.11,3.05
REDCLIFFE,27/06/2012,1.1,44.0, ,15.7,11.9,92,87,7.02,2.92
REDCLIFFE,28/06/2012,1.7,43.4, ,19.5,13.0,93,78,7.79,6.95
REDCLIFFE,29/06/2012,2.7,7.4, ,22.5,15.0,92,59,4.97,12.64
REDCLIFFE,30/06/2012,2.3,0.0, ,22.3,11.4,92,46,2.22,13.02
Totals:,,73,166.4, ,,,,,, 
