'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for August 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 September 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/08/2012,2.7,0.0, ,19.0,7.9,90,45,3.25,15.53
REDCLIFFE,02/08/2012,3.3,0.0, ,19.4,8.3,81,26,3.43,15.65
REDCLIFFE,03/08/2012,3.4,0.0, ,20.6,5.5,87,19,3.08,15.80
REDCLIFFE,04/08/2012,3.3,0.0, ,20.9,6.3,75,25,2.91,15.97
REDCLIFFE,05/08/2012,3.6,0.0, ,21.7,5.9,86,23,3.43,16.14
REDCLIFFE,06/08/2012,3.7,0.0, ,24.1,6.7,85,19,2.77,16.30
REDCLIFFE,07/08/2012,3.2,0.0, ,21.0,8.6,81,28,2.70,16.36
REDCLIFFE,08/08/2012,3.0,0.0, ,20.2,6.7,86,38,2.89,16.55
REDCLIFFE,09/08/2012,3.9,0.0, ,25.0,7.2,82,22,3.07,15.91
REDCLIFFE,10/08/2012,5.2,0.0, ,18.4,11.1,47,23,6.84,16.82
REDCLIFFE,11/08/2012,3.9,0.0, ,20.5,8.3,74,28,4.10,16.51
REDCLIFFE,12/08/2012,3.9,0.0, ,21.1,9.7,70,43,5.49,13.45
REDCLIFFE,13/08/2012,3.4,0.0, ,19.4,8.9,84,47,5.23,16.49
REDCLIFFE,14/08/2012,3.4,0.0, ,21.4,8.7,89,42,3.83,17.03
REDCLIFFE,15/08/2012,4.1,0.0, ,24.0,8.1,85,24,3.41,17.46
REDCLIFFE,16/08/2012,3.9,0.0, ,24.1,9.4,82,42,4.36,16.45
REDCLIFFE,17/08/2012,4.1,0.0, ,25.1,14.0,78,46,4.68,16.06
REDCLIFFE,18/08/2012,4.5,0.0, ,21.9,13.4,71,20,3.99,17.93
REDCLIFFE,19/08/2012,3.4,0.0, ,19.4,8.6,73,30,3.22,16.26
REDCLIFFE,20/08/2012,3.3,0.0, ,21.5,11.5,84,42,2.96,18.00
REDCLIFFE,21/08/2012,2.7,0.0, ,21.4,10.6,89,51,2.49,13.60
REDCLIFFE,22/08/2012,3.1,0.0, ,23.0,11.5,91,55,3.36,16.67
REDCLIFFE,23/08/2012,3.3,0.0, ,24.9,14.2,91,64,4.62,16.13
REDCLIFFE,24/08/2012,4.0,0.0, ,26.6,18.6,88,54,5.26,14.74
REDCLIFFE,25/08/2012,4.1,0.0, ,24.1,13.4,79,20,2.77,18.75
REDCLIFFE,26/08/2012,4.0,0.0, ,23.4,9.4,84,29,3.19,18.97
REDCLIFFE,27/08/2012,4.1,0.0, ,20.7,12.8,75,48,6.90,15.18
REDCLIFFE,28/08/2012,3.7,0.0, ,20.8,10.9,84,47,4.44,19.16
REDCLIFFE,29/08/2012,3.5,0.0, ,22.1,11.1,88,53,4.56,18.07
REDCLIFFE,30/08/2012,4.4,0.0, ,24.9,12.4,89,50,5.96,19.69
REDCLIFFE,31/08/2012,3.7,0.4, ,23.3,16.4,87,30,3.55,11.39
Totals:,,113.8,0.4, ,,,,,, 
