'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for October 2012,,,,,,,,,,
Issued at 22:38 GMT on Thursday 01 November 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/10/2012,2.8,0.0, ,19.8,16.4,90,59,6.80,7.07
REDCLIFFE,02/10/2012,5.7,0.0, ,22.7,15.0,78,45,9.55,23.20
REDCLIFFE,03/10/2012,4.9,0.0, ,23.1,14.8,80,47,5.16,22.62
REDCLIFFE,04/10/2012,5.1,0.0, ,24.4,12.6,89,49,5.42,25.64
REDCLIFFE,05/10/2012,5.8,0.0, ,27.1,13.9,88,43,5.26,25.82
REDCLIFFE,06/10/2012,6.0,0.0, ,27.9,15.1,90,38,4.99,25.79
REDCLIFFE,07/10/2012,7.4,0.0, ,29.7,19.6,75,44,8.31,25.45
REDCLIFFE,08/10/2012,4.9,0.0, ,24.4,18.3,71,62,6.54,20.32
REDCLIFFE,09/10/2012,6.1,0.0, ,27.4,17.7,85,38,4.69,26.20
REDCLIFFE,10/10/2012,6.1,0.0, ,27.5,20.5,77,54,7.59,22.94
REDCLIFFE,11/10/2012,2.8,0.0, ,24.3,21.4,88,58,5.19,4.17
REDCLIFFE,12/10/2012,5.7,0.0, ,20.8,13.1,86,27,6.53,26.71
REDCLIFFE,13/10/2012,5.8,0.0, ,22.2,9.5,70,23,4.69,26.88
REDCLIFFE,14/10/2012,5.8,0.0, ,23.8,11.4,78,36,5.35,27.00
REDCLIFFE,15/10/2012,5.0,0.0, ,22.8,13.7,80,53,5.08,26.49
REDCLIFFE,16/10/2012,5.4,0.0, ,24.8,14.2,86,46,4.66,27.11
REDCLIFFE,17/10/2012,6.2,0.2, ,27.0,13.6,82,42,5.78,27.40
REDCLIFFE,18/10/2012,4.9, , ,25.4,16.6,87,61,4.59,24.94
REDCLIFFE,19/10/2012,6.1,0.0, ,26.2,18.2,87,51,6.86,28.47
REDCLIFFE,20/10/2012,6.3,0.0, ,28.2,17.8,82,54,6.57,28.68
REDCLIFFE,21/10/2012,5.8,0.0, ,27.2,18.5,88,46,3.28,28.71
REDCLIFFE,22/10/2012,6.1,2.6, ,28.0,20.6,89,59,6.83,28.62
REDCLIFFE,23/10/2012,7.8,0.0, ,23.6,15.6,58,31,10.27,25.88
REDCLIFFE,24/10/2012,7.0, , ,23.3,15.5,64,37,8.62,28.07
REDCLIFFE,25/10/2012,6.0,0.0, ,23.9,14.0,74,40,4.86,28.90
REDCLIFFE,26/10/2012,6.3,0.0, ,27.5,14.4,88,45,5.56,29.44
REDCLIFFE,27/10/2012,6.2,0.0, ,27.0,18.8,87,54,7.90,28.59
REDCLIFFE,28/10/2012,4.8,12.4, ,21.7,17.5,87,49,10.90,15.48
REDCLIFFE,29/10/2012,5.7, , ,23.5,17.2,74,46,7.20,21.66
REDCLIFFE,30/10/2012,4.7,0.0, ,23.8,15.6,84,56,4.12,23.99
REDCLIFFE,31/10/2012,5.5,0.0, ,26.3,16.3,88,43,3.70,26.01
Totals:,,174.7,15.2, ,,,,,, 
