'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for January 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 February 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/01/2013,6.9,0.0, ,29.2,20.9,78,50,4.36,30.53
REDCLIFFE,02/01/2013,7.4,0.0, ,31.5,21.0,84,47,5.16,30.80
REDCLIFFE,03/01/2013,8.4,0.0, ,29.1,24.1,73,48,10.38,29.30
REDCLIFFE,04/01/2013,8.0,0.0, ,28.6,22.4,66,46,8.19,28.12
REDCLIFFE,05/01/2013,6.8,0.0, ,28.7,24.0,77,51,6.78,24.70
REDCLIFFE,06/01/2013,6.6,0.2, ,28.4,22.0,82,49,7.50,23.47
REDCLIFFE,07/01/2013,7.7,0.0, ,29.2,23.3,78,44,8.28,26.71
REDCLIFFE,08/01/2013,7.4,0.6, ,29.4,22.9,72,52,7.19,27.54
REDCLIFFE,09/01/2013,9.1,0.0, ,32.5,22.7,77,41,8.75,30.43
REDCLIFFE,10/01/2013,7.6,0.0, ,30.6,25.1,77,55,6.84,29.58
REDCLIFFE,11/01/2013,7.5,0.0, ,31.0,25.3,82,57,8.41,28.82
REDCLIFFE,12/01/2013,8.0,0.0, ,31.9,26.0,79,56,8.05,30.36
REDCLIFFE,13/01/2013,8.4,0.0, ,31.8,25.0,78,51,8.79,30.28
REDCLIFFE,14/01/2013,6.2,0.0, ,30.2,24.2,83,51,9.34,14.70
REDCLIFFE,15/01/2013,6.4,1.4, ,27.7,20.7,85,48,8.98,21.41
REDCLIFFE,16/01/2013,6.8,2.0, ,28.6,21.3,77,48,4.40,29.77
REDCLIFFE,17/01/2013,6.5,0.0, ,28.4,19.8,80,48,4.13,29.13
REDCLIFFE,18/01/2013,7.1,0.0, ,29.7,21.1,81,53,6.52,29.90
REDCLIFFE,19/01/2013,7.4,0.0, ,31.3,23.7,81,54,6.80,28.96
REDCLIFFE,20/01/2013,6.4,0.0, ,29.9,25.0,87,53,4.68,26.87
REDCLIFFE,21/01/2013,5.5,25.8, ,28.9,22.1,90,52,3.77,23.75
REDCLIFFE,22/01/2013,5.1,3.8, ,28.8,22.1,87,56,5.21,18.59
REDCLIFFE,23/01/2013,5.7,0.0, ,29.8,23.6,82,58,4.95,22.16
REDCLIFFE,24/01/2013,2.9,0.2, ,27.2,23.6,87,66,5.95,4.08
REDCLIFFE,25/01/2013,3.9,29.6, ,26.9,22.6,89,70,9.20,12.33
REDCLIFFE,26/01/2013,2.8,24.8, ,26.3,23.2,89,78,11.60,4.69
REDCLIFFE,27/01/2013,2.6,30.8, ,25.6,23.9,91,80,16.28,2.66
REDCLIFFE,28/01/2013,4.7,91.6, ,28.2,23.6,90,70,14.41,14.67
REDCLIFFE,29/01/2013,6.9,0.6, ,32.4,22.8,90,53,4.98,28.79
REDCLIFFE,30/01/2013,6.1,0.0, ,30.4,25.6,88,65,6.32,25.64
REDCLIFFE,31/01/2013,5.2,0.6, ,28.8,23.6,100,56,4.66,22.86
Totals:,,198,212, ,,,,,, 
