'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for March 2013,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 April 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/03/2013,2.1,0.0, ,25.5,21.9,85,73,2.90,5.36
REDCLIFFE,02/03/2013,1.9,6.4, ,23.2,20.9,91,83,6.40,5.68
REDCLIFFE,03/03/2013,3.6,102.8, ,25.5,20.8,91,68,9.65,10.73
REDCLIFFE,04/03/2013,5.2,2.8, ,27.0,20.5,85,62,9.61,19.93
REDCLIFFE,05/03/2013,5.1,0.8, ,26.6,21.3,86,60,10.52,16.70
REDCLIFFE,06/03/2013,4.8,1.0, ,26.8,20.8,89,57,9.38,14.51
REDCLIFFE,07/03/2013,5.4,4.4, ,26.7,19.6,89,57,7.47,23.51
REDCLIFFE,08/03/2013,5.7,2.2, ,27.5,21.0,90,51,8.21,21.27
REDCLIFFE,09/03/2013,4.9,4.8, ,25.7,21.0,85,55,8.12,16.37
REDCLIFFE,10/03/2013,4.9,4.0, ,27.2,19.7,89,61,7.34,20.31
REDCLIFFE,11/03/2013,4.9,0.2, ,26.5,20.6,85,59,8.69,16.20
REDCLIFFE,12/03/2013,5.6,1.2, ,26.8,20.0,83,55,9.10,20.12
REDCLIFFE,13/03/2013,6.1,0.6, ,27.1,19.5,87,46,8.18,22.77
REDCLIFFE,14/03/2013,5.8,0.2, ,29.6,17.4,83,47,6.12,20.07
REDCLIFFE,15/03/2013,5.4,0.0, ,27.6,18.1,88,46,4.72,23.22
REDCLIFFE,16/03/2013,5.4,0.0, ,28.8,20.0,87,52,4.79,22.90
REDCLIFFE,17/03/2013,6.1,0.0, ,31.4,20.0,88,55,7.00,23.19
REDCLIFFE,18/03/2013,5.7,0.0, ,25.9,21.6,72,56,10.26,15.81
REDCLIFFE,19/03/2013,6.1,0.0, ,26.3,18.5,75,47,8.86,20.49
REDCLIFFE,20/03/2013,4.5,0.0, ,25.6,21.2,86,49,8.65,8.66
REDCLIFFE,21/03/2013,4.2,4.6, ,26.9,18.9,89,55,4.75,16.39
REDCLIFFE,22/03/2013,3.4,0.6, ,27.4,21.4,88,64,3.51,12.98
REDCLIFFE,23/03/2013,4.4,0.0, ,28.4,21.7,89,64,4.22,19.67
REDCLIFFE,24/03/2013,4.6,0.0, ,29.2,23.3,92,63,6.67,17.31
REDCLIFFE,25/03/2013,4.7,18.8, ,28.4,18.6,88,58,4.90,20.28
REDCLIFFE,26/03/2013,4.9,0.0, ,27.2,21.0,84,58,5.07,21.63
REDCLIFFE,27/03/2013,4.8,1.4, ,27.1,21.4,88,57,5.95,19.57
REDCLIFFE,28/03/2013, ,3.2, ,26.4,20.1,89,55,3.63, 
REDCLIFFE,29/03/2013, ,0.0, ,27.9,18.7,88,53,4.98, 
REDCLIFFE,30/03/2013, ,1.4, ,25.7,21.0,85,55,5.87, 
REDCLIFFE,31/03/2013, ,0.0, ,27.8,18.3,90,52,3.72, 
Totals:,,130.2,161.4, ,,,,,, 
