'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for April 2013,,,,,,,,,,
Issued at 22:38 GMT on Wednesday 01 May 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/04/2013,3.8,13.2, ,25.6,18.4,89,55,4.10,16.21
REDCLIFFE,02/04/2013,4.4,0.0, ,26.3,18.5,87,54,3.82,21.41
REDCLIFFE,03/04/2013,4.7,0.0, ,26.4,19.3,87,53,4.70,21.46
REDCLIFFE,04/04/2013,4.9,0.6, ,25.4,18.6,87,55,8.87,19.07
REDCLIFFE,05/04/2013,5.7,7.6, ,25.4,18.3,90,46,9.92,23.04
REDCLIFFE,06/04/2013,4.6,1.0, ,24.7,18.1,87,48,6.49,17.01
REDCLIFFE,07/04/2013,3.7,17.0, ,24.2,17.5,90,61,5.67,15.77
REDCLIFFE,08/04/2013,4.3,1.4, ,24.3,17.3,86,62,6.58,21.17
REDCLIFFE,09/04/2013,4.4,2.4, ,24.4,17.4,86,57,6.31,21.09
REDCLIFFE,10/04/2013,3.3,1.0, ,22.4,17.2,89,65,6.88,13.43
REDCLIFFE,11/04/2013,4.6,4.0, ,24.8,17.6,83,56,7.92,17.62
REDCLIFFE,12/04/2013,3.9,2.4, ,23.6,19.2,86,59,9.10,10.96
REDCLIFFE,13/04/2013,2.1,28.6, ,22.7,19.0,91,82,8.04,7.18
REDCLIFFE,14/04/2013,4.1,11.0, ,26.0,17.4,88,53,3.67,20.34
REDCLIFFE,15/04/2013,3.5,0.0, ,26.0,17.8,90,63,3.42,18.11
REDCLIFFE,16/04/2013,3.3,0.0, ,26.6,17.9,91,59,2.58,15.98
REDCLIFFE,17/04/2013,4.0,12.0, ,25.1,16.4,90,54,3.50,21.44
REDCLIFFE,18/04/2013,4.6,8.8, ,29.4,18.1,91,47,3.45,21.42
REDCLIFFE,19/04/2013,5.2,0.0, ,27.9,14.5,78,23,3.19,22.37
REDCLIFFE,20/04/2013,5.1,0.0, ,24.9,13.7,74,22,3.55,22.80
REDCLIFFE,21/04/2013,4.1,0.0, ,23.7,12.3,85,40,3.60,21.21
REDCLIFFE,22/04/2013,4.5,0.0, ,26.4,14.5,90,46,4.68,20.85
REDCLIFFE,23/04/2013,3.6,0.0, ,26.4,17.0,89,60,2.83,19.75
REDCLIFFE,24/04/2013,4.1,0.0, ,26.1,17.1,88,53,4.38,19.93
REDCLIFFE,25/04/2013,3.8,0.0, ,26.3,16.1,88,56,3.61,19.30
REDCLIFFE,26/04/2013,3.7,0.0, ,25.1,15.5,88,54,4.17,17.99
REDCLIFFE,27/04/2013,4.0,0.0, ,25.4,16.4,86,48,4.05,18.37
REDCLIFFE,28/04/2013,4.2,0.0, ,25.9,15.7,87,44,3.68,20.26
REDCLIFFE,29/04/2013,3.9,0.0, ,26.1,16.5,88,55,4.29,19.14
REDCLIFFE,30/04/2013,3.5,0.6, ,25.6,18.1,88,57,4.60,15.14
Totals:,,123.6,111.6, ,,,,,, 
