'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for July 2013,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 August 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/07/2013,1.8,5.4, ,18.0,12.9,89,73,6.49,6.23
REDCLIFFE,02/07/2013,2.7,26.4, ,22.1,14.6,91,62,6.10,12.17
REDCLIFFE,03/07/2013,2.7,0.0, ,21.6,15.4,84,63,4.99,13.98
REDCLIFFE,04/07/2013,2.5,0.2, ,22.5,15.5,88,47,2.38,14.88
REDCLIFFE,05/07/2013,2.1,0.0, ,23.2,13.5,91,65,2.78,11.89
REDCLIFFE,06/07/2013,2.7,0.0, ,22.8,12.0,91,29,1.96,16.29
REDCLIFFE,07/07/2013,2.7,0.0, ,20.6,12.7,85,54,3.89,15.71
REDCLIFFE,08/07/2013,3.0,0.0, ,19.4,12.7,82,52,5.23,15.68
REDCLIFFE,09/07/2013,3.1,0.0, ,19.4,11.9,82,55,7.07,13.64
REDCLIFFE,10/07/2013,1.7,0.8, ,16.8,13.0,90,72,5.51,6.33
REDCLIFFE,11/07/2013,2.7,3.2, ,20.0,13.0,89,62,5.92,15.02
REDCLIFFE,12/07/2013,2.3,0.0, ,19.3,13.1,86,66,4.63,13.72
REDCLIFFE,13/07/2013,2.4,0.0, ,19.6,11.7,90,61,3.41,16.16
REDCLIFFE,14/07/2013,2.2,0.2, ,20.1,12.3,89,66,3.97,13.18
REDCLIFFE,15/07/2013,1.8,0.2, ,18.8,13.8,90,72,2.99,11.19
REDCLIFFE,16/07/2013,2.4,0.0, ,20.8,13.3,90,60,2.94,15.77
REDCLIFFE,17/07/2013,2.2,1.2, ,21.1,14.2,91,60,2.89,11.91
REDCLIFFE,18/07/2013,2.1,0.6, ,21.6,12.9,92,63,2.48,13.44
REDCLIFFE,19/07/2013,2.0,0.4, ,22.1,13.6,92,70,2.80,12.28
REDCLIFFE,20/07/2013,2.4,12.8, ,23.5,16.2,92,60,3.57,10.10
REDCLIFFE,21/07/2013,3.0,0.0, ,20.5,13.3,87,41,3.12,17.16
REDCLIFFE,22/07/2013,2.0,0.0, ,18.3,13.1,88,52,3.04,7.84
REDCLIFFE,23/07/2013,3.3,4.2, ,18.9,11.8,87,29,3.71,17.44
REDCLIFFE,24/07/2013,3.3,0.0, ,19.5,8.6,75,41,3.83,18.23
REDCLIFFE,25/07/2013,3.4,0.0, ,20.3,12.5,75,51,5.33,16.76
REDCLIFFE,26/07/2013,2.3,0.4, ,19.6,14.2,89,60,2.69,13.94
REDCLIFFE,27/07/2013,3.1,0.0, ,21.3,12.0,90,49,4.01,17.37
REDCLIFFE,28/07/2013,2.8,0.0, ,21.1,11.9,86,57,4.37,15.05
REDCLIFFE,29/07/2013,2.9,1.0, ,20.9,13.9,89,53,4.41,14.96
REDCLIFFE,30/07/2013,2.6,0.0, ,20.9,13.6,90,55,3.81,12.28
REDCLIFFE,31/07/2013,3.0,2.4, ,21.4,11.2,89,54,4.65,15.84
Totals:,,79.2,59.4, ,,,,,, 
