'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for September 2013,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 October 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/09/2013,4.6,0.0, ,24.5,16.0,91,49,5.24,22.74
REDCLIFFE,02/09/2013,4.6,0.0, ,23.3,14.2,77,54,7.07,19.96
REDCLIFFE,03/09/2013,5.5,0.2, ,22.9,16.5,77,42,8.29,21.53
REDCLIFFE,04/09/2013,5.5,0.0, ,22.1,14.1,73,43,7.43,24.39
REDCLIFFE,05/09/2013,4.8,0.0, ,22.5,13.3,81,42,4.42,24.64
REDCLIFFE,06/09/2013,4.6,0.0, ,22.9,11.6,87,48,4.10,25.56
REDCLIFFE,07/09/2013,4.8,0.0, ,24.0,12.2,86,49,5.07,25.16
REDCLIFFE,08/09/2013,5.1,0.0, ,24.8,13.0,88,44,5.11,25.31
REDCLIFFE,09/09/2013,4.7,0.0, ,23.6,12.2,89,47,4.07,26.00
REDCLIFFE,10/09/2013,4.2,0.0, ,24.2,16.0,87,53,5.50,18.66
REDCLIFFE,11/09/2013,5.2,0.0, ,27.2,14.4,88,46,3.70,25.99
REDCLIFFE,12/09/2013,5.2,0.2, ,26.9,15.7,90,39,3.38,25.73
REDCLIFFE,13/09/2013,4.3,0.0, ,24.3,16.4,91,61,5.64,23.25
REDCLIFFE,14/09/2013,4.6,0.2, ,25.0,19.9,86,66,7.41,22.82
REDCLIFFE,15/09/2013,5.2,0.0, ,25.0,15.4,90,48,4.53,26.71
REDCLIFFE,16/09/2013,2.7,0.6, ,21.6,19.1,90,66,6.82,7.28
REDCLIFFE,17/09/2013,5.6,26.6, ,28.1,16.9,90,44,6.03,21.80
REDCLIFFE,18/09/2013,6.6,0.0, ,28.4,15.2,88,26,4.29,27.90
REDCLIFFE,19/09/2013,5.8,0.0, ,28.4,14.1,90,54,5.50,28.09
REDCLIFFE,20/09/2013,6.8,0.0, ,28.1,16.6,88,19,4.11,28.77
REDCLIFFE,21/09/2013,6.0,0.0, ,23.0,12.7,72,32,4.93,28.48
REDCLIFFE,22/09/2013,4.9,0.0, ,23.8,14.7,83,56,5.19,26.46
REDCLIFFE,23/09/2013,5.5,0.0, ,25.8,14.1,89,51,4.84,28.46
REDCLIFFE,24/09/2013,7.6,0.0, ,30.7,14.6,91,26,5.58,28.51
REDCLIFFE,25/09/2013, ,0.0, , ,19.1,88,31,2.64,28.81
REDCLIFFE,26/09/2013, , , ,29.0, ,92,59,4.50,28.04
REDCLIFFE,27/09/2013,6.2,0.0, ,25.3,18.9,91,49,9.48,28.92
REDCLIFFE,28/09/2013,3.3,0.2, ,25.5,19.1,83,56,3.63,10.14
REDCLIFFE,29/09/2013,6.9,0.6, ,27.8,16.1,85,29,5.04,28.97
REDCLIFFE,30/09/2013,4.7,0.0, ,25.3,20.1,84,57,5.68,19.78
Totals:,,145.5,28.6, ,,,,,, 
