'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for October 2013,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 November 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/10/2013,6.6,0.0, ,28.8,18.4,90,50,7.24,28.85
REDCLIFFE,02/10/2013,6.4,0.6, ,26.7,17.9,81,44,5.13,29.54
REDCLIFFE,03/10/2013,8.9,0.0, ,32.5,19.7,83,15,5.93,28.97
REDCLIFFE,04/10/2013,6.7,0.0, ,22.2,12.1,66,27,5.68,31.51
REDCLIFFE,05/10/2013,6.4,0.0, ,25.0,12.3,79,36,4.75,31.12
REDCLIFFE,06/10/2013,6.6,0.0, ,28.3,12.9,85,45,4.71,31.61
REDCLIFFE,07/10/2013,9.0,0.0, ,32.2,16.9,80,26,6.66,31.27
REDCLIFFE,08/10/2013,6.4,0.0, ,25.6,19.1,77,51,6.52,29.88
REDCLIFFE,09/10/2013,6.0,0.0, ,23.2,16.1,77,46,5.00,31.09
REDCLIFFE,10/10/2013,6.8,0.0, ,26.6,14.0,84,44,6.66,31.93
REDCLIFFE,11/10/2013,9.0,0.0, ,32.0,18.8,83,32,7.67,31.53
REDCLIFFE,12/10/2013,5.9,0.0, ,26.6,21.6,79,62,8.40,25.28
REDCLIFFE,13/10/2013,8.2,0.0, ,29.4,20.0,76,41,8.16,31.04
REDCLIFFE,14/10/2013,9.4,0.0, ,28.5,21.4,74,11,7.10,32.13
REDCLIFFE,15/10/2013,6.5,0.0, ,24.8,13.8,82,34,4.65,32.12
REDCLIFFE,16/10/2013,6.5,0.0, ,25.8,17.2,76,47,6.92,28.99
REDCLIFFE,17/10/2013,7.2,0.0, ,26.6,15.5,80,45,7.73,32.64
REDCLIFFE,18/10/2013,4.0,0.0, ,23.3,17.4,84,59,7.64,13.21
REDCLIFFE,19/10/2013,6.6,0.8, ,25.4,14.6,84,46,7.28,31.56
REDCLIFFE,20/10/2013,5.7,0.0, ,25.6,16.2,80,59,4.81,29.87
REDCLIFFE,21/10/2013,5.9,0.0, ,26.4,17.9,89,52,5.18,29.54
REDCLIFFE,22/10/2013,6.5,0.0, ,26.3,17.4,86,47,5.69,31.40
REDCLIFFE,23/10/2013,7.6,0.0, ,28.5,20.1,84,47,7.70,32.78
REDCLIFFE,24/10/2013,6.4,0.0, ,29.7,21.5,83,40,5.08,23.06
REDCLIFFE,25/10/2013,6.0,0.2, ,24.9,18.6,77,54,9.38,24.54
REDCLIFFE,26/10/2013,6.2,0.0, ,27.0,17.0,82,50,5.37,29.73
REDCLIFFE,27/10/2013,5.8,0.0, ,26.0,17.4,89,52,7.01,27.12
REDCLIFFE,28/10/2013,6.6,0.0, ,26.3,20.8,74,53,7.62,27.49
REDCLIFFE,29/10/2013,6.7,0.0, ,28.1,20.8,88,49,9.17,26.49
REDCLIFFE,30/10/2013,5.7,18.0, ,24.9,17.1,82,56,7.07,28.03
REDCLIFFE,31/10/2013,5.9,5.0, ,24.4,18.4,84,54,7.05,29.18
Totals:,,208.1,24.6, ,,,,,, 
