'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for November 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/11/2013,7.3,0.2, ,24.2,20.1,62,42,5.29,33.27
REDCLIFFE,02/11/2013,6.7,0.0, ,25.8,15.3,83,45,5.37,33.15
REDCLIFFE,03/11/2013,7.3,0.0, ,27.2,16.6,79,43,6.45,32.86
REDCLIFFE,04/11/2013,6.5,0.0, ,25.2,19.7,77,50,9.70,25.44
REDCLIFFE,05/11/2013,6.5,0.0, ,23.1,17.7,68,50,9.21,27.71
REDCLIFFE,06/11/2013,6.1,0.0, ,23.8,15.6,73,43,5.40,29.11
REDCLIFFE,07/11/2013,6.7,0.0, ,25.0,15.9,82,44,4.86,34.47
REDCLIFFE,08/11/2013,7.0,0.0, ,25.9,15.4,81,47,6.22,34.53
REDCLIFFE,09/11/2013,7.6,0.0, ,27.5,16.8,80,46,7.91,34.06
REDCLIFFE,10/11/2013,6.9,0.0, ,28.6,20.4,87,41,6.55,26.80
REDCLIFFE,11/11/2013,5.3,3.8, ,27.8,20.4,89,57,6.52,21.05
REDCLIFFE,12/11/2013,6.4,0.4, ,27.5,21.5,83,57,6.84,28.44
REDCLIFFE,13/11/2013,6.5,0.0, ,28.2,22.4,88,52,6.34,27.77
REDCLIFFE,14/11/2013,5.3,14.4, ,28.0,18.4,91,57,5.39,23.12
REDCLIFFE,15/11/2013,5.5,35.2, ,26.5,17.8,89,66,5.23,29.64
REDCLIFFE,16/11/2013,4.5,0.6, ,26.2,20.3,90,62,5.84,18.47
REDCLIFFE,17/11/2013,3.6,0.0, ,23.6,19.2,90,62,5.03,14.27
REDCLIFFE,18/11/2013,5.3,17.6, ,25.4,16.8,91,56,4.37,27.56
REDCLIFFE,19/11/2013,8.0,17.2, ,30.6,14.7,90,30,4.77,33.98
REDCLIFFE,20/11/2013,6.6,0.0, ,25.9,18.0,87,52,5.37,33.91
REDCLIFFE,21/11/2013,6.7,0.0, ,26.4,19.4,85,51,4.84,33.70
REDCLIFFE,22/11/2013,5.8,0.0, ,26.7,19.6,85,49,4.47,26.23
REDCLIFFE,23/11/2013,6.2,0.0, ,28.3,21.9,89,55,7.19,26.03
REDCLIFFE,24/11/2013,6.0,12.6, ,29.5,20.1,89,57,5.55,25.77
REDCLIFFE,25/11/2013,6.8,0.0, ,26.7,21.5,88,52,6.37,32.89
REDCLIFFE,26/11/2013,7.0,0.0, ,25.5,21.0,79,51,10.28,30.04
REDCLIFFE,27/11/2013,7.7,0.0, ,25.0,19.0,66,45,6.50,35.29
REDCLIFFE,28/11/2013,7.5,0.0, ,26.5,19.4,73,51,6.41,35.52
REDCLIFFE,29/11/2013,7.7,0.0, ,30.0,19.6,81,43,6.66,30.37
REDCLIFFE,30/11/2013,3.6,11.2, ,22.6,18.7,90,57,9.88,5.94
Totals:,,190.6,113.2, ,,,,,, 
