'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for December 2013,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/12/2013,6.9,11.0, ,24.3,16.3,76,44,9.08,29.76
REDCLIFFE,02/12/2013,7.2,0.0, ,24.6,15.8,75,42,6.43,34.59
REDCLIFFE,03/12/2013,7.0,0.0, ,24.8,15.7,81,46,5.51,36.27
REDCLIFFE,04/12/2013,7.0,0.0, ,27.2,16.1,87,52,5.75,35.28
REDCLIFFE,05/12/2013,8.4,0.0, ,34.4,20.9,83,34,5.83,27.29
REDCLIFFE,06/12/2013,8.9,1.2, ,26.7,17.4,48,23,5.35,36.29
REDCLIFFE,07/12/2013,7.5,0.0, ,25.0,17.5,67,39,5.11,35.70
REDCLIFFE,08/12/2013,7.0,0.0, ,26.4,16.8,84,47,4.93,35.10
REDCLIFFE,09/12/2013,7.3,0.0, ,27.0,17.4,82,47,6.34,34.51
REDCLIFFE,10/12/2013,7.3,0.0, ,28.3,20.4,74,52,7.60,29.66
REDCLIFFE,11/12/2013,4.6,0.0, ,27.6,22.8,89,61,6.10,16.53
REDCLIFFE,12/12/2013,2.3,14.4, ,25.8,21.4,89,68,3.30,5.87
REDCLIFFE,13/12/2013,6.6,0.4, ,27.3,18.5,90,52,4.32,33.67
REDCLIFFE,14/12/2013,7.1,0.0, ,28.0,20.7,84,51,5.05,33.55
REDCLIFFE,15/12/2013,7.5,0.0, ,28.3,22.9,75,46,4.99,32.83
REDCLIFFE,16/12/2013,7.9,0.0, ,27.4,23.1,71,46,6.27,33.38
REDCLIFFE,17/12/2013,5.6,5.0, ,25.8,20.1,84,59,7.73,24.52
REDCLIFFE,18/12/2013,8.7,2.4, ,26.6,22.1,64,42,7.79,35.18
REDCLIFFE,19/12/2013,8.0,0.0, ,26.9,21.0,64,45,7.64,32.43
REDCLIFFE,20/12/2013,7.1,0.0, ,27.3,18.6,75,46,4.59,33.47
REDCLIFFE,21/12/2013,8.0,0.0, ,28.0,18.6,82,43,5.89,36.84
REDCLIFFE,22/12/2013,7.6,0.0, ,28.3,19.1,83,50,5.21,36.55
REDCLIFFE,23/12/2013,8.1,0.0, ,28.8,19.6,79,46,6.73,35.77
REDCLIFFE,24/12/2013,8.4,0.0, ,30.1,20.1,78,45,6.00,36.35
REDCLIFFE,25/12/2013,7.5,0.0, ,28.5,23.3,81,46,5.79,32.61
REDCLIFFE,26/12/2013,7.6,0.0, ,30.1,21.3,81,52,6.08,33.25
REDCLIFFE,27/12/2013,6.0,0.0, ,28.5,22.0,83,61,6.49,25.55
REDCLIFFE,28/12/2013,5.4,0.0, ,28.8,24.0,77,61,6.00,18.36
REDCLIFFE,29/12/2013,8.4,0.0, ,31.6,23.7,81,55,7.42,35.30
REDCLIFFE,30/12/2013,6.8,1.6, ,28.2,22.8,86,56,9.30,28.31
REDCLIFFE,31/12/2013,3.7,1.0, ,27.2,23.3,83,70,7.19,9.42
Totals:,,217.4,37, ,,,,,, 
