'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for February 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/02/2014,7.5,0.0, ,27.7,23.0,72,45,8.15,26.97
REDCLIFFE,02/02/2014,6.5,0.0, ,27.5,23.0,76,55,7.33,25.40
REDCLIFFE,03/02/2014,6.2,0.6, ,27.6,20.7,80,51,7.47,22.26
REDCLIFFE,04/02/2014,6.5,0.6, ,28.2,19.7,83,53,6.42,28.71
REDCLIFFE,05/02/2014,6.4,1.0, ,28.7,21.3,90,51,9.42,23.56
REDCLIFFE,06/02/2014,5.9,7.4, ,26.2,20.1,74,54,9.41,18.55
REDCLIFFE,07/02/2014,5.5,0.0, ,27.1,20.3,76,50,6.66,16.95
REDCLIFFE,08/02/2014,6.2,0.0, ,27.9,21.5,80,47,5.75,23.88
REDCLIFFE,09/02/2014,4.5,0.0, ,28.5,23.0,76,61,4.56,14.36
REDCLIFFE,10/02/2014,5.5,0.0, ,27.8,23.3,75,50,4.87,19.39
REDCLIFFE,11/02/2014,6.7,0.0, ,28.3,21.9,71,46,5.08,27.08
REDCLIFFE,12/02/2014,6.2,0.0, ,28.3,19.6,81,47,4.13,27.73
REDCLIFFE,13/02/2014,6.5,0.0, ,29.6,19.8,83,41,3.96,27.72
REDCLIFFE,14/02/2014,6.2,0.0, ,29.9,21.9,81,48,6.37,20.18
REDCLIFFE,15/02/2014,7.3,0.0, ,30.5,23.4,75,51,8.09,24.24
REDCLIFFE,16/02/2014,8.0,0.0, ,32.5,24.5,78,53,9.40,27.06
REDCLIFFE,17/02/2014,7.9,0.0, ,33.0,24.4,85,38,7.11,24.95
REDCLIFFE,18/02/2014,5.3,15.8, ,28.9,22.4,89,62,4.58,23.94
REDCLIFFE,19/02/2014,6.4,0.4, ,29.5,23.1,83,56,6.75,25.74
REDCLIFFE,20/02/2014,6.8,0.0, ,31.9,25.5,80,55,7.52,22.31
REDCLIFFE,21/02/2014,6.0,0.0, ,31.2,24.2,86,58,6.29,22.15
REDCLIFFE,22/02/2014,4.3,3.4, ,26.9,24.2,82,63,10.59,5.94
REDCLIFFE,23/02/2014,7.6,0.0, ,28.4,22.6,77,43,11.39,21.58
REDCLIFFE,24/02/2014,6.4,2.6, ,27.7,20.4,86,43,7.66,23.44
REDCLIFFE,25/02/2014,5.8,2.4, ,27.8,19.8,88,50,6.09,23.78
REDCLIFFE,26/02/2014,5.6,0.0, ,27.7,19.4,80,54,4.10,25.46
REDCLIFFE,27/02/2014,6.2,0.0, ,28.4,19.5,82,44,4.58,26.70
REDCLIFFE,28/02/2014,4.7,0.8, ,27.2,21.1,87,58,7.58,15.30
Totals:,,174.6,35, ,,,,,, 
