'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for March 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/03/2014,6.5,1.2, ,27.7,21.5,79,49,7.14,25.20
REDCLIFFE,02/03/2014,6.3,0.0, ,28.4,20.9,81,49,6.70,24.23
REDCLIFFE,03/03/2014,5.4,2.2, ,27.5,21.9,88,56,8.57,19.09
REDCLIFFE,04/03/2014,5.8,14.4, ,26.8,20.2,87,45,7.84,20.18
REDCLIFFE,05/03/2014,4.2,13.4, ,26.0,19.2,90,52,4.89,14.97
REDCLIFFE,06/03/2014,5.5,0.0, ,26.8,18.3,84,52,4.99,25.38
REDCLIFFE,07/03/2014,5.3,0.0, ,27.4,19.7,81,46,5.70,17.59
REDCLIFFE,08/03/2014,6.9,0.0, ,27.3,22.6,70,45,8.25,22.70
REDCLIFFE,09/03/2014,5.3,0.6, ,26.8,20.9,77,54,8.96,12.97
REDCLIFFE,10/03/2014,6.6,3.6, ,27.6,20.4,79,43,8.96,20.42
REDCLIFFE,11/03/2014,5.6,3.6, ,27.0,19.7,87,46,7.75,18.77
REDCLIFFE,12/03/2014,5.8,1.0, ,27.2,19.9,79,47,5.53,23.01
REDCLIFFE,13/03/2014,5.7,0.0, ,27.5,18.8,82,52,6.15,24.05
REDCLIFFE,14/03/2014,5.0,0.8, ,27.1,19.0,84,48,4.88,18.96
REDCLIFFE,15/03/2014,5.6,0.0, ,27.5,18.8,82,45,4.87,23.07
REDCLIFFE,16/03/2014,6.6,0.0, ,30.6,18.7,85,41,6.21,23.50
REDCLIFFE,17/03/2014,6.1,0.0, ,30.2,21.6,81,49,5.53,23.15
REDCLIFFE,18/03/2014,5.6,0.0, ,30.1,24.7,84,53,4.88,21.26
REDCLIFFE,19/03/2014,5.6,0.0, ,28.2,24.0,75,56,5.55,21.09
REDCLIFFE,20/03/2014,6.1,0.0, ,27.9,23.5,84,52,8.60,21.92
REDCLIFFE,21/03/2014,5.3,2.8, ,27.7,20.8,82,55,6.45,20.38
REDCLIFFE,22/03/2014,4.6,10.0, ,26.4,19.8,90,52,4.61,19.96
REDCLIFFE,23/03/2014,5.1,0.0, ,28.0,19.5,86,46,4.39,20.85
REDCLIFFE,24/03/2014,4.5,0.0, ,27.8,20.4,87,56,4.86,17.65
REDCLIFFE,25/03/2014,2.4,0.0, ,25.5,21.1,90,70,4.70,5.96
REDCLIFFE,26/03/2014,4.3,8.4, ,26.5,21.4,78,64,9.31,8.74
REDCLIFFE,27/03/2014,3.0,1.4, ,24.1,23.5,89,65,9.33,2.67
REDCLIFFE,28/03/2014,3.6,53.4, ,27.6,21.6,90,68,5.28,14.00
REDCLIFFE,29/03/2014,4.7,8.8, ,30.6,21.5,91,54,3.55,19.47
REDCLIFFE,30/03/2014,1.9,0.0, ,26.7,22.2,91,75,3.61,4.18
REDCLIFFE,31/03/2014,4.1,1.0, ,26.8,21.1,89,65,5.62,17.95
Totals:,,159,126.6, ,,,,,, 
