'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for April 2014,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/04/2014,4.9,0.4, ,27.2,20.6,87,55,5.54,21.24
REDCLIFFE,02/04/2014,4.7,0.0, ,27.2,19.8,85,50,4.19,20.32
REDCLIFFE,03/04/2014,4.7,0.0, ,27.6,19.2,88,49,3.97,21.23
REDCLIFFE,04/04/2014,4.2,0.0, ,27.2,19.7,88,58,3.74,19.73
REDCLIFFE,05/04/2014,4.7,0.0, ,28.3,20.2,88,52,4.21,20.25
REDCLIFFE,06/04/2014,4.7,0.0, ,29.1,20.9,89,52,5.48,16.97
REDCLIFFE,07/04/2014,5.0,18.4, ,26.4,19.7,81,52,8.36,14.23
REDCLIFFE,08/04/2014,4.3,0.0, ,26.0,18.0,87,52,7.19,11.97
REDCLIFFE,09/04/2014,4.5,0.4, ,26.4,18.5,82,49,5.71,15.19
REDCLIFFE,10/04/2014,3.8,0.0, ,25.9,17.3,83,50,3.48,15.55
REDCLIFFE,11/04/2014,4.5,0.0, ,28.2,16.4,88,54,4.62,19.39
REDCLIFFE,12/04/2014,4.5,0.0, ,31.1,21.1,82,43,3.93,12.46
REDCLIFFE,13/04/2014,2.4,0.4, ,24.2,22.4,90,70,7.51,3.17
REDCLIFFE,14/04/2014,3.6,16.6, ,24.2,20.5,89,63,11.48,7.30
REDCLIFFE,15/04/2014,4.4,0.6, ,25.1,18.6,77,56,7.72,11.94
REDCLIFFE,16/04/2014,4.3,0.2, ,25.6,15.3,83,46,4.16,19.32
REDCLIFFE,17/04/2014,4.1,0.0, ,25.3,16.2,89,45,3.81,18.76
REDCLIFFE,18/04/2014,3.9,0.0, ,25.8,16.7,88,50,3.60,18.13
REDCLIFFE,19/04/2014,4.6,0.0, ,28.2,14.4,87,22,2.97,19.57
REDCLIFFE,20/04/2014,4.3,0.0, ,27.1,15.7,82,42,3.66,18.30
REDCLIFFE,21/04/2014,4.2,0.0, ,27.0,16.1,88,46,3.93,18.67
REDCLIFFE,22/04/2014,4.1,0.0, ,27.0,16.4,88,43,3.27,18.77
REDCLIFFE,23/04/2014,4.0,0.0, ,27.3,16.7,88,46,3.59,17.03
REDCLIFFE,24/04/2014,4.1,0.0, ,26.8,16.7,88,42,3.39,18.26
REDCLIFFE,25/04/2014,4.3,0.0, ,27.1,17.4,88,48,4.57,17.95
REDCLIFFE,26/04/2014,3.9,0.0, ,26.7,18.0,83,49,3.57,17.44
REDCLIFFE,27/04/2014,4.3,0.0, ,28.4,18.7,88,48,5.09,15.06
REDCLIFFE,28/04/2014,3.4,5.0, ,23.5,18.5,89,59,8.46,9.09
REDCLIFFE,29/04/2014,4.1,1.8, ,25.1,16.4,83,47,4.75,16.70
REDCLIFFE,30/04/2014,3.2,0.0, ,25.3,15.1,90,53,3.32,14.80
Totals:,,125.7,43.8, ,,,,,, 
