'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for June 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/06/2014,2.5,0.6, ,23.4,15.3,90,52,2.82,12.31
REDCLIFFE,02/06/2014,2.5,0.0, ,23.4,14.5,90,58,3.18,13.69
REDCLIFFE,03/06/2014,2.0,0.0, ,24.6,16.4,91,60,2.30,8.93
REDCLIFFE,04/06/2014,2.6,0.0, ,24.0,15.3,89,56,3.28,12.22
REDCLIFFE,05/06/2014,3.4,0.0, ,23.9,15.1,84,48,4.84,13.27
REDCLIFFE,06/06/2014,3.2,0.0, ,23.4,14.9,85,54,5.16,13.34
REDCLIFFE,07/06/2014,3.5,0.0, ,23.5,14.5,82,39,4.43,13.82
REDCLIFFE,08/06/2014,3.8,0.0, ,22.8,15.6,71,51,6.57,11.77
REDCLIFFE,09/06/2014,3.8,0.0, ,22.0,14.9,74,48,6.85,11.24
REDCLIFFE,10/06/2014,3.9,0.0, ,22.3,13.8,73,51,7.69,11.09
REDCLIFFE,11/06/2014,2.7,3.8, ,20.4,13.6,89,54,5.29,10.02
REDCLIFFE,12/06/2014,2.9,2.2, ,22.2,14.0,85,54,4.58,12.69
REDCLIFFE,13/06/2014,2.6,0.6, ,22.6,15.6,90,57,3.88,12.79
REDCLIFFE,14/06/2014,1.7,0.4, ,20.8,15.8,90,68,2.77,6.83
REDCLIFFE,15/06/2014,3.5,0.6, ,20.5,13.4,75,34,4.79,14.15
REDCLIFFE,16/06/2014,2.6,0.0, ,20.4,8.9,80,38,2.73,14.05
REDCLIFFE,17/06/2014,2.5,0.0, ,21.9,8.0,87,35,2.43,14.02
REDCLIFFE,18/06/2014,3.3,0.0, ,22.1,10.9,76,42,4.45,13.64
REDCLIFFE,19/06/2014,2.1,0.0, ,20.9,13.9,90,65,4.00,9.02
REDCLIFFE,20/06/2014,1.8,1.8, ,20.6,15.6,92,68,3.02,9.49
REDCLIFFE,21/06/2014,2.2,0.0, ,22.8,15.2,91,60,2.84,11.38
REDCLIFFE,22/06/2014,2.3,6.0, ,22.9,13.7,92,59,3.04,13.33
REDCLIFFE,23/06/2014,2.4,0.0, ,21.7,11.6,90,57,3.59,13.62
REDCLIFFE,24/06/2014,2.9,0.0, ,20.3,13.7,88,29,3.74,7.43
REDCLIFFE,25/06/2014,3.7,0.0, ,21.2,12.9,53,32,3.97,13.39
REDCLIFFE,26/06/2014,3.0,0.0, ,21.7,8.2,81,29,3.02,14.32
REDCLIFFE,27/06/2014,2.7,0.0, ,21.2,5.7,87,37,3.06,14.14
REDCLIFFE,28/06/2014,2.6,0.0, ,23.1,12.0,88,55,4.27,9.63
REDCLIFFE,29/06/2014,3.3,1.2, ,20.0,13.0,87,27,4.33,14.45
REDCLIFFE,30/06/2014,3.6,0.0, ,18.6,8.9,72,28,4.97,14.20
Totals:,,85.6,17.2, ,,,,,, 
