'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for October 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 November 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/10/2014,6.5,0.0, ,27.3,18.1,78,45,8.35,23.82
REDCLIFFE,02/10/2014,5.2,0.0, ,22.3,18.8,73,48,7.38,19.02
REDCLIFFE,03/10/2014,4.7,0.0, ,24.0,13.4,86,54,5.40,23.93
REDCLIFFE,04/10/2014,5.1,0.0, ,24.5,20.2,76,50,6.30,18.60
REDCLIFFE,05/10/2014,5.1,0.0, ,25.3,15.2,86,47,4.75,24.22
REDCLIFFE,06/10/2014,5.4,0.0, ,25.9,14.2,84,39,4.13,24.48
REDCLIFFE,07/10/2014,5.5,0.0, ,25.9,14.0,86,46,5.67,24.85
REDCLIFFE,08/10/2014,5.8,0.0, ,27.7,16.5,89,46,6.13,24.45
REDCLIFFE,09/10/2014,5.3,0.0, ,24.4,20.0,70,51,8.34,13.60
REDCLIFFE,10/10/2014,5.2,0.0, ,23.5,17.7,71,46,4.97,22.32
REDCLIFFE,11/10/2014,4.8,0.0, ,25.0,17.2,77,51,4.71,19.52
REDCLIFFE,12/10/2014,5.0,0.0, ,24.5,16.5,84,53,4.96,23.84
REDCLIFFE,13/10/2014,5.7,0.0, ,25.8,16.4,82,51,6.96,25.14
REDCLIFFE,14/10/2014,7.1,1.0, ,28.5,18.2,82,18,5.20,24.41
REDCLIFFE,15/10/2014,6.6,0.2, ,26.5,12.7,65,22,4.43,25.84
REDCLIFFE,16/10/2014,6.0,0.0, ,25.1,12.9,72,28,4.47,24.96
REDCLIFFE,17/10/2014,5.5,0.0, ,25.8,15.4,84,45,4.97,24.75
REDCLIFFE,18/10/2014,5.5,15.6, ,23.5,15.8,79,52,7.71,25.10
REDCLIFFE,19/10/2014,5.7,0.0, ,24.1,15.7,76,47,5.93,26.68
REDCLIFFE,20/10/2014,5.6,0.0, ,24.2,15.0,78,44,4.54,27.45
REDCLIFFE,21/10/2014,4.9,0.4, ,24.5,18.2,87,53,10.38,14.72
REDCLIFFE,22/10/2014,5.4,0.0, ,23.1,17.1,76,48,6.98,21.93
REDCLIFFE,23/10/2014,5.8,0.0, ,24.3,15.0,77,43,5.11,27.96
REDCLIFFE,24/10/2014,5.9,0.0, ,25.2,17.2,75,49,5.18,27.58
REDCLIFFE,25/10/2014,6.3,0.0, ,26.6,16.5,79,48,6.89,27.16
REDCLIFFE,26/10/2014,6.5,0.0, ,27.0,18.4,77,52,7.57,27.41
REDCLIFFE,27/10/2014,7.9,0.0, ,30.8,21.1,80,39,7.72,26.40
REDCLIFFE,28/10/2014,7.1,0.0, ,30.4,23.0,79,33,4.34,26.94
REDCLIFFE,29/10/2014,6.1,0.0, ,27.3,18.6,89,50,6.01,27.54
REDCLIFFE,30/10/2014,6.0,0.0, ,27.1,19.8,79,55,5.39,27.19
REDCLIFFE,31/10/2014,6.4,0.0, ,28.5,22.9,79,54,6.92,24.88
Totals:,,179.6,17.2, ,,,,,, 
