'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for November 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 December 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/11/2014,6.7,0.0, ,28.8,22.0,80,52,8.59,24.41
REDCLIFFE,02/11/2014,6.6,0.0, ,27.3,22.3,72,53,6.97,25.75
REDCLIFFE,03/11/2014,4.4,0.0, ,23.9,21.0,78,50,9.15,4.40
REDCLIFFE,04/11/2014,6.4,0.2, ,25.1,19.8,63,43,6.58,22.23
REDCLIFFE,05/11/2014,6.5,0.0, ,25.9,19.9,68,47,5.75,26.75
REDCLIFFE,06/11/2014,6.5,0.0, ,26.7,19.0,84,46,7.19,27.52
REDCLIFFE,07/11/2014,5.6,4.8, ,27.5,19.7,90,55,5.25,25.01
REDCLIFFE,08/11/2014,6.1,1.2, ,26.0,20.2,86,53,6.86,28.05
REDCLIFFE,09/11/2014,6.3,0.0, ,26.1,17.6,84,44,4.73,29.88
REDCLIFFE,10/11/2014,6.5,0.0, ,27.4,20.4,76,48,5.57,27.29
REDCLIFFE,11/11/2014,6.3,0.0, ,27.5,18.2,82,48,5.58,27.75
REDCLIFFE,12/11/2014,5.1,0.0, ,26.5,21.9,77,57,4.51,20.48
REDCLIFFE,13/11/2014,5.7,0.0, ,27.3,21.6,82,58,4.96,25.35
REDCLIFFE,14/11/2014,7.2,0.0, ,29.0,20.2,84,46,7.73,27.77
REDCLIFFE,15/11/2014,8.0,0.0, ,31.3,22.5,74,49,7.97,28.26
REDCLIFFE,16/11/2014,8.7,0.0, ,36.4,24.0,79,36,6.71,23.44
REDCLIFFE,17/11/2014,6.4,0.0, ,28.1,24.2,86,56,6.95,26.62
REDCLIFFE,18/11/2014,3.8,0.0, ,27.6,23.2,86,72,5.75,13.31
REDCLIFFE,19/11/2014,4.4,3.6, ,28.8,22.4,92,63,6.69,15.12
REDCLIFFE,20/11/2014,5.3,28.6, ,28.2,18.9,88,58,6.18,21.35
REDCLIFFE,21/11/2014,6.3,0.0, ,29.4,23.5,84,63,9.11,25.34
REDCLIFFE,22/11/2014,7.1,0.0, ,30.1,24.2,80,60,9.67,27.31
REDCLIFFE,23/11/2014,7.5,0.0, ,29.4,24.0,80,51,9.09,27.94
REDCLIFFE,24/11/2014,7.4,0.0, ,29.0,23.0,80,51,8.62,28.71
REDCLIFFE,25/11/2014,7.4,0.0, ,29.5,21.7,81,47,7.03,29.16
REDCLIFFE,26/11/2014,5.5,1.4, ,28.8,23.9,82,58,5.58,20.09
REDCLIFFE,27/11/2014,6.5,0.2, ,29.6,22.3,90,46,5.49,25.45
REDCLIFFE,28/11/2014,5.0,18.6, ,25.4,20.7,86,57,8.99,16.61
REDCLIFFE,29/11/2014,6.9,1.2, ,25.9,20.1,85,43,7.00,30.92
REDCLIFFE,30/11/2014,6.7,0.0, ,26.8,18.1,75,43,4.85,30.02
Totals:,,188.8,59.8, ,,,,,, 
