'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for January 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 February 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/01/2015,6.9,0.0, ,30.6,26.1,81,57,6.04,27.30
REDCLIFFE,02/01/2015,6.5,0.0, ,30.7,25.6,77,54,6.60,20.92
REDCLIFFE,03/01/2015,3.5,0.4, ,27.3,23.9,82,63,6.34,6.02
REDCLIFFE,04/01/2015,7.4,1.4, ,29.2,23.8,74,49,5.85,29.91
REDCLIFFE,05/01/2015,4.5,1.6, ,28.2,22.5,86,63,6.18,15.01
REDCLIFFE,06/01/2015, ,6.8, , ,22.0,75,16,9.06,28.89
REDCLIFFE,07/01/2015, ,17.2, ,26.3, ,91,58,8.00,14.95
REDCLIFFE,08/01/2015,4.2,1.6, ,27.2,20.2,86,61,5.37,14.48
REDCLIFFE,09/01/2015,6.2,3.6, ,28.6,20.5,88,57,4.91,28.96
REDCLIFFE,10/01/2015,6.6,2.8, ,29.0,22.8,83,53,5.38,27.85
REDCLIFFE,11/01/2015,4.5,2.4, ,28.7,22.9,83,64,4.13,17.15
REDCLIFFE,12/01/2015,3.3,2.2, ,28.5,24.0,90,65,3.60,10.37
REDCLIFFE,13/01/2015,3.9,12.4, ,27.3,22.8,90,67,5.61,14.20
REDCLIFFE,14/01/2015,4.4,1.0, ,29.2,23.4,84,59,6.48,10.57
REDCLIFFE,15/01/2015,8.6,0.6, ,36.6,24.3,85,28,4.91,26.48
REDCLIFFE,16/01/2015,6.9,0.0, ,30.8,23.5,85,59,5.09,30.47
REDCLIFFE,17/01/2015,6.6,0.0, ,32.8,23.6,90,55,5.16,26.21
REDCLIFFE,18/01/2015,7.7,0.0, ,33.9,25.3,88,48,5.16,29.37
REDCLIFFE,19/01/2015,6.3,0.0, ,31.0,25.1,89,50,5.66,22.48
REDCLIFFE,20/01/2015,5.9,1.8, ,29.2,21.5,87,51,6.14,21.35
REDCLIFFE,21/01/2015,7.3,0.2, ,30.3,24.7,69,46,5.81,24.68
REDCLIFFE,22/01/2015,3.7,0.0, ,28.2,23.6,90,59,5.85,8.47
REDCLIFFE,23/01/2015,1.9,46.8, ,24.2,21.4,91,82,8.29,2.58
REDCLIFFE,24/01/2015,5.0,61.6, ,28.6,20.5,92,56,5.13,19.77
REDCLIFFE,25/01/2015,6.4,0.0, ,31.9,22.6,88,60,4.42,27.60
REDCLIFFE,26/01/2015,5.0,0.0, ,30.5,26.2,90,71,5.81,20.03
REDCLIFFE,27/01/2015,6.8,0.0, ,29.7,25.5,79,57,7.85,24.26
REDCLIFFE,28/01/2015,4.6,2.2, ,27.7,19.8,86,54,7.67,10.64
REDCLIFFE,29/01/2015,6.4,0.2, ,27.6,20.6,73,49,6.05,24.38
REDCLIFFE,30/01/2015,5.7,44.2, ,27.5,20.2,90,55,5.57,25.44
REDCLIFFE,31/01/2015,6.4,0.0, ,30.2,19.7,87,58,5.86,28.30
Totals:,,163.1,211, ,,,,,, 
