'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for February 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 March 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/02/2015,6.6,0.0, ,30.3,22.0,89,54,4.62,30.05
REDCLIFFE,02/02/2015,5.8,0.0, ,28.3,23.0,87,56,8.00,21.48
REDCLIFFE,03/02/2015,5.5,4.2, ,27.7,20.4,90,53,8.96,18.32
REDCLIFFE,04/02/2015,6.2,0.2, ,27.7,19.9,71,53,8.53,19.05
REDCLIFFE,05/02/2015,7.0,0.0, ,28.5,20.1,80,44,8.95,22.38
REDCLIFFE,06/02/2015,7.5,0.2, ,28.1,21.4,83,42,9.85,25.93
REDCLIFFE,07/02/2015,6.4,0.0, ,27.7,20.4,76,54,7.00,25.96
REDCLIFFE,08/02/2015,6.2,0.0, ,28.3,20.6,84,49,3.90,28.62
REDCLIFFE,09/02/2015,6.4,0.0, ,29.0,20.1,87,52,6.28,27.28
REDCLIFFE,10/02/2015,6.3,2.0, ,28.4,21.1,89,53,8.34,24.73
REDCLIFFE,11/02/2015,6.3,4.2, ,28.0,21.3,89,50,7.87,24.93
REDCLIFFE,12/02/2015,5.5,10.0, ,28.0,21.4,89,60,6.71,23.30
REDCLIFFE,13/02/2015,5.9,0.6, ,28.3,21.3,89,57,8.05,23.95
REDCLIFFE,14/02/2015,6.6,4.2, ,27.7,20.6,78,51,7.29,26.06
REDCLIFFE,15/02/2015,5.9,0.2, ,27.8,21.1,84,50,5.16,24.89
REDCLIFFE,16/02/2015,6.4,0.2, ,28.1,20.5,84,51,6.05,27.48
REDCLIFFE,17/02/2015,7.2,0.0, ,28.3,23.7,75,51,9.01,25.77
REDCLIFFE,18/02/2015,5.1,3.6, ,28.7,21.4,90,61,10.21,15.67
REDCLIFFE,19/02/2015,2.8,18.6, ,25.6,22.7,90,74,10.76,3.92
REDCLIFFE,20/02/2015,1.7,81.6, ,23.1,21.8,92,86,9.13,3.30
REDCLIFFE,21/02/2015,1.8,138.4, ,27.2,21.1,92,83,7.16,2.54
REDCLIFFE,22/02/2015,5.3,71.2, ,30.6,22.6,86,57,7.13,16.07
REDCLIFFE,23/02/2015,5.1,3.0, ,27.9,22.5,91,65,9.04,20.98
REDCLIFFE,24/02/2015,5.1,1.0, ,27.8,22.1,90,62,8.29,19.89
REDCLIFFE,25/02/2015,5.6,1.0, ,28.3,21.9,89,57,7.08,22.45
REDCLIFFE,26/02/2015,5.5,0.0, ,27.8,20.8,86,55,4.66,24.40
REDCLIFFE,27/02/2015,5.0,2.0, ,28.3,22.3,90,58,4.15,21.81
REDCLIFFE,28/02/2015,5.4,0.0, ,28.8,22.5,86,55,3.97,23.52
Totals:,,156.1,346.4, ,,,,,, 
