'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for March 2015,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 April 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/03/2015,5.4,0.2, ,28.9,22.8,87,59,4.44,24.03
REDCLIFFE,02/03/2015,5.6,0.0, ,29.3,23.0,86,56,7.21,19.96
REDCLIFFE,03/03/2015,6.3,0.0, ,28.8,21.9,81,49,5.51,25.49
REDCLIFFE,04/03/2015,5.8,0.0, ,29.4,21.0,86,49,4.12,24.98
REDCLIFFE,05/03/2015,6.8,0.0, ,33.8,22.4,85,54,6.20,24.82
REDCLIFFE,06/03/2015,5.9,0.0, ,27.8,24.6,74,52,7.09,17.95
REDCLIFFE,07/03/2015,5.4,0.0, ,29.6,21.3,88,58,3.76,24.63
REDCLIFFE,08/03/2015,5.9,0.0, ,29.3,22.3,84,51,4.65,24.74
REDCLIFFE,09/03/2015,5.6,0.0, ,30.3,23.1,84,55,4.06,23.39
REDCLIFFE,10/03/2015,6.0,0.0, ,29.1,24.9,80,58,6.52,23.22
REDCLIFFE,11/03/2015,6.7,0.0, ,29.1,24.8,69,53,7.15,22.41
REDCLIFFE,12/03/2015,6.9,0.0, ,28.7,24.6,68,46,6.78,23.29
REDCLIFFE,13/03/2015,5.9,0.0, ,28.5,20.6,81,53,8.13,19.86
REDCLIFFE,14/03/2015,6.5,0.0, ,27.8,20.4,73,48,8.45,21.48
REDCLIFFE,15/03/2015,5.7,0.0, ,29.2,17.6,86,41,4.76,22.42
REDCLIFFE,16/03/2015,6.1,0.0, ,27.3,18.6,74,46,6.40,23.11
REDCLIFFE,17/03/2015,5.5,0.0, ,28.0,20.3,70,42,4.46,19.22
REDCLIFFE,18/03/2015,4.2,0.0, ,27.7,19.5,87,55,5.18,14.25
REDCLIFFE,19/03/2015,6.6,3.4, ,32.0,20.0,81,44,5.80,23.34
REDCLIFFE,20/03/2015,5.2,0.0, ,29.9,23.1,88,62,5.38,22.21
REDCLIFFE,21/03/2015,2.9,0.0, ,29.1,25.2,91,67,5.87,5.81
REDCLIFFE,22/03/2015,2.5,10.2, ,26.4,21.6,91,76,4.49,8.46
REDCLIFFE,23/03/2015,4.2,48.0, ,26.3,20.2,92,59,3.99,19.39
REDCLIFFE,24/03/2015,4.7,0.8, ,28.7,20.1,91,58,4.72,20.22
REDCLIFFE,25/03/2015,5.4,0.0, ,30.5,22.7,85,60,5.65,21.45
REDCLIFFE,26/03/2015,5.5,0.0, ,30.3,24.8,83,55,5.97,19.47
REDCLIFFE,27/03/2015,5.7,0.0, ,31.4,23.5,85,46,5.00,19.27
REDCLIFFE,28/03/2015,4.4,33.0, ,26.7,22.6,91,50,6.32,13.55
REDCLIFFE,29/03/2015,5.4,25.2, ,27.0,21.7,65,51,5.20,19.22
REDCLIFFE,30/03/2015,5.0,0.0, ,27.0,23.5,68,50,4.92,15.53
REDCLIFFE,31/03/2015,3.0,0.0, ,25.3,20.8,91,59,5.62,6.32
Totals:,,166.7,120.8, ,,,,,, 
