'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for April 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 May 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/04/2015,2.7,53.0, ,24.5,19.0,92,66,6.94,5.11
REDCLIFFE,02/04/2015,3.2,28.6, ,26.3,19.4,92,72,6.64,12.95
REDCLIFFE,03/04/2015,3.9,34.8, ,27.3,21.2,92,67,6.32,16.65
REDCLIFFE,04/04/2015,3.6,3.0, ,27.3,21.6,91,64,4.03,14.95
REDCLIFFE,05/04/2015,4.3,4.8, ,28.9,22.0,91,49,3.39,17.68
REDCLIFFE,06/04/2015,4.5,0.0, ,27.8,17.6,85,54,3.85,20.72
REDCLIFFE,07/04/2015,4.5,0.0, ,28.3,21.6,87,38,4.00,14.24
REDCLIFFE,08/04/2015,5.8,0.0, ,26.3,15.6,54,24,4.25,21.24
REDCLIFFE,09/04/2015,4.7,0.0, ,24.5,13.5,79,39,4.39,21.06
REDCLIFFE,10/04/2015,5.3,0.0, ,25.1,17.1,78,44,7.03,18.97
REDCLIFFE,11/04/2015,4.3,0.0, ,25.4,19.5,76,55,6.41,12.56
REDCLIFFE,12/04/2015,4.0,0.0, ,25.5,16.6,83,54,3.69,19.69
REDCLIFFE,13/04/2015,4.5,0.0, ,25.5,18.4,87,51,6.78,16.88
REDCLIFFE,14/04/2015,3.9,0.0, ,25.4,16.8,83,53,4.61,15.15
REDCLIFFE,15/04/2015,3.6,0.0, ,25.9,18.2,86,54,3.95,13.56
REDCLIFFE,16/04/2015,4.0,0.0, ,26.0,17.4,84,55,3.77,19.04
REDCLIFFE,17/04/2015,3.8,0.0, ,26.9,17.6,88,58,4.05,16.56
REDCLIFFE,18/04/2015,4.5,0.0, ,27.3,20.8,81,57,6.12,16.62
REDCLIFFE,19/04/2015,3.6,0.0, ,27.7,19.6,90,57,3.62,14.79
REDCLIFFE,20/04/2015,1.8,0.0, ,22.6,20.3,90,70,3.48,4.27
REDCLIFFE,21/04/2015,3.9,12.2, ,22.2,14.3,77,31,3.69,15.90
REDCLIFFE,22/04/2015,3.4,0.0, ,22.7,11.3,76,45,2.81,17.81
REDCLIFFE,23/04/2015,3.8,0.0, ,24.8,12.3,84,42,3.19,18.86
REDCLIFFE,24/04/2015,3.7,0.0, ,26.5,15.5,84,48,3.14,16.74
REDCLIFFE,25/04/2015,4.1,0.0, ,27.4,15.4,90,36,3.10,18.13
REDCLIFFE,26/04/2015,5.5,0.0, ,23.3,17.8,76,25,6.43,19.04
REDCLIFFE,27/04/2015,3.9,0.0, ,23.4,12.7,81,39,3.74,18.20
REDCLIFFE,28/04/2015, ,0.0, , ,14.7,85,49,6.10,16.46
REDCLIFFE,29/04/2015, , , ,22.6, ,82,57,7.80,11.77
REDCLIFFE,30/04/2015,1.8,14.2, ,20.0,16.9,92,75,6.33,3.50
Totals:,,110.6,150.6, ,,,,,, 
