'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for May 2015,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 June 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/05/2015,2.6,60.8, ,22.3,16.2,92,64,8.47,2.67
REDCLIFFE,02/05/2015,3.0,96.2, ,23.5,14.8,91,59,3.49,16.39
REDCLIFFE,03/05/2015,2.8,0.0, ,24.4,16.4,90,54,2.46,13.64
REDCLIFFE,04/05/2015,3.2,0.0, ,25.1,15.5,92,45,2.45,16.55
REDCLIFFE,05/05/2015,3.3,0.0, ,26.2,16.4,90,55,3.18,16.37
REDCLIFFE,06/05/2015,3.1,0.0, ,27.1,15.9,92,50,2.06,16.67
REDCLIFFE,07/05/2015,3.8,0.0, ,25.0,12.7,79,43,3.91,16.62
REDCLIFFE,08/05/2015,3.7,0.0, ,23.0,12.5,85,36,3.95,16.59
REDCLIFFE,09/05/2015,3.5,0.0, ,23.6,12.5,88,27,3.09,14.67
REDCLIFFE,10/05/2015,3.7,0.0, ,24.4,11.4,68,26,2.81,16.58
REDCLIFFE,11/05/2015,4.3,0.0, ,25.3,12.8,66,29,3.72,16.60
REDCLIFFE,12/05/2015,3.4,0.0, ,24.8,12.4,81,38,2.90,16.06
REDCLIFFE,13/05/2015,4.0,0.0, ,24.3,12.6,81,33,4.15,16.24
REDCLIFFE,14/05/2015,3.7,0.0, ,19.5,9.3,72,28,4.33,16.40
REDCLIFFE,15/05/2015,3.8,0.0, ,22.3,9.1,72,38,4.59,15.48
REDCLIFFE,16/05/2015,3.8,0.0, ,22.6,15.4,86,53,8.25,12.81
REDCLIFFE,17/05/2015,3.1,0.0, ,22.5,16.4,91,59,6.85,12.42
REDCLIFFE,18/05/2015,2.6,4.6, ,22.9,17.1,92,69,6.47,11.59
REDCLIFFE,19/05/2015,2.0,0.4, ,21.7,16.6,91,71,2.96,9.73
REDCLIFFE,20/05/2015,2.5,0.2, ,24.7,15.6,92,65,2.84,14.09
REDCLIFFE,21/05/2015, ,0.0, , ,17.2,100,59,2.35,9.85
REDCLIFFE,22/05/2015, , , ,19.3, ,88,41,5.15,15.41
REDCLIFFE,23/05/2015,4.2,0.2, ,22.0,13.0,73,42,6.62,14.72
REDCLIFFE,24/05/2015,3.5,0.0, ,22.1,13.9,81,53,6.49,14.39
REDCLIFFE,25/05/2015,2.9,0.0, ,22.0,14.7,82,57,4.44,13.67
REDCLIFFE,26/05/2015,2.6,0.0, ,22.2,13.1,88,59,3.91,12.35
REDCLIFFE,27/05/2015,2.5,0.0, ,22.2,14.2,91,60,3.45,13.21
REDCLIFFE,28/05/2015,2.4,0.0, ,23.0,13.5,92,60,3.12,12.79
REDCLIFFE,29/05/2015,2.4,0.0, ,24.2,13.6,92,62,2.63,13.63
REDCLIFFE,30/05/2015,2.4,0.0, ,24.7,14.8,92,58,2.18,13.72
REDCLIFFE,31/05/2015,2.3,0.0, ,24.8,16.6,92,61,3.20,9.74
Totals:,,91.1,162.4, ,,,,,, 
