'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for June 2015,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 July 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/06/2015,3.1,0.0, ,19.9,18.1,74,40,4.37,8.40
REDCLIFFE,02/06/2015,2.8,0.0, ,18.9,9.1,81,40,3.70,14.87
REDCLIFFE,03/06/2015,2.5,0.0, ,19.1,7.5,89,40,3.22,13.00
REDCLIFFE,04/06/2015,2.5,0.0, ,20.8,8.0,91,45,2.98,14.17
REDCLIFFE,05/06/2015,3.3,0.0, ,20.6,7.6,89,26,3.94,14.33
REDCLIFFE,06/06/2015,3.2,0.0, ,22.4,8.8,79,47,4.80,12.79
REDCLIFFE,07/06/2015,3.2,0.0, ,22.2,14.1,78,54,5.37,13.48
REDCLIFFE,08/06/2015,2.8,0.0, ,22.3,14.4,81,46,3.11,13.53
REDCLIFFE,09/06/2015,2.4,0.0, ,23.1,14.4,86,51,2.73,11.29
REDCLIFFE,10/06/2015,2.9,0.0, ,22.2,14.0,88,56,5.19,12.11
REDCLIFFE,11/06/2015,2.7,0.2, ,21.4,17.0,90,66,8.27,9.16
REDCLIFFE,12/06/2015,2.7,2.4, ,20.4,14.3,86,64,7.26,10.42
REDCLIFFE,13/06/2015, ,6.8, , ,15.4,92,73,5.96,11.01
REDCLIFFE,14/06/2015, , , ,20.7, ,92,71,4.76,9.78
REDCLIFFE,15/06/2015,2.4,9.0, ,21.9,16.4,92,66,5.45,10.93
REDCLIFFE,16/06/2015,1.6,2.2, ,21.4,15.9,92,79,3.32,7.74
REDCLIFFE,17/06/2015,1.3,5.2, ,20.2,16.6,92,77,2.51,5.45
REDCLIFFE,18/06/2015,2.5,2.4, ,22.5,12.8,93,46,2.72,13.98
REDCLIFFE,19/06/2015,2.9,0.2, ,20.2,11.4,87,42,4.12,13.87
REDCLIFFE,20/06/2015,3.0,0.0, ,20.0,9.6,85,43,4.83,13.83
REDCLIFFE,21/06/2015,3.2,0.0, ,19.9,9.9,78,49,5.84,13.24
REDCLIFFE,22/06/2015,2.7,0.0, ,19.9,12.9,79,60,5.29,11.51
REDCLIFFE,23/06/2015,2.3,0.0, ,20.6,13.1,83,61,4.08,9.86
REDCLIFFE,24/06/2015,1.8,0.0, ,18.6,13.4,90,73,4.45,9.73
REDCLIFFE,25/06/2015,2.3,0.0, ,22.4,11.8,92,54,3.21,11.10
REDCLIFFE,26/06/2015,2.6,1.8, ,20.7,13.1,88,62,5.91,12.16
REDCLIFFE,27/06/2015,2.5,0.6, ,21.6,14.6,91,63,5.35,12.17
REDCLIFFE,28/06/2015,2.3,3.6, ,21.6,14.5,92,63,4.40,11.02
REDCLIFFE,29/06/2015,2.0,3.0, ,20.0,15.8,92,71,5.85,8.43
REDCLIFFE,30/06/2015,2.3,1.2, ,21.3,13.9,92,54,3.14,13.05
Totals:,,71.8,38.6, ,,,,,, 
