'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for July 2015,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 August 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/07/2015,2.0,0.2, ,21.6,12.9,91,63,2.77,11.90
REDCLIFFE,02/07/2015,2.7,0.0, ,19.6,10.7,88,39,3.48,13.27
REDCLIFFE,03/07/2015,3.0,0.0, ,19.0,6.8,79,41,4.70,14.21
REDCLIFFE,04/07/2015,2.1,0.0, ,19.9,11.2,89,53,2.74,11.71
REDCLIFFE,05/07/2015,2.8,0.0, ,22.1,9.4,92,38,3.28,12.91
REDCLIFFE,06/07/2015,3.1,0.0, ,23.2,9.5,89,37,3.55,14.09
REDCLIFFE,07/07/2015,3.4,0.0, ,21.6,10.8,87,27,3.91,14.60
REDCLIFFE,08/07/2015,2.7,0.0, ,19.1,10.2,89,55,6.30,11.36
REDCLIFFE,09/07/2015,2.0,2.0, ,18.1,12.5,89,64,4.46,9.76
REDCLIFFE,10/07/2015,2.0,0.0, ,18.5,10.2,90,62,3.59,10.68
REDCLIFFE,11/07/2015,2.0,0.8, ,21.2,10.8,93,65,3.34,9.57
REDCLIFFE,12/07/2015,3.3,0.0, ,17.8,12.3,84,25,4.52,14.93
REDCLIFFE,13/07/2015,3.4,0.0, ,17.8,8.8,66,37,5.19,13.93
REDCLIFFE,14/07/2015,3.5,0.0, ,18.8,9.1,63,36,4.64,14.86
REDCLIFFE,15/07/2015,2.3,0.0, ,16.5,6.2,79,38,2.70,12.62
REDCLIFFE,16/07/2015,2.2,0.0, ,18.9,6.8,88,38,2.31,12.62
REDCLIFFE,17/07/2015,3.3,0.0, ,16.5,6.2,68,39,5.49,14.92
REDCLIFFE,18/07/2015,2.7,0.0, ,17.1,6.8,79,37,3.45,15.26
REDCLIFFE,19/07/2015,2.8,0.0, ,18.8,8.1,84,55,6.18,11.27
REDCLIFFE,20/07/2015, ,0.2, , ,11.8,86,59,5.17,12.40
REDCLIFFE,21/07/2015, , , ,19.9, ,89,55,4.36,12.65
REDCLIFFE,22/07/2015,1.7,2.6, ,19.0,11.9,92,78,4.16,10.87
REDCLIFFE,23/07/2015,2.0,3.0, ,21.3,14.6,92,69,2.66,12.11
REDCLIFFE,24/07/2015,2.0,0.0, ,22.1,15.0,92,72,2.52,11.35
REDCLIFFE,25/07/2015,2.2,0.0, ,23.5,16.8,87,55,2.35,8.17
REDCLIFFE,26/07/2015,2.0,0.0, ,21.6,13.1,92,65,2.05,12.61
REDCLIFFE,27/07/2015,3.7,0.0, ,22.5,14.8,82,31,4.12,14.22
REDCLIFFE,28/07/2015,3.6,0.0, ,18.9,10.9,68,45,5.58,15.02
REDCLIFFE,29/07/2015,3.2,0.0, ,19.6,9.3,83,39,4.08,15.75
REDCLIFFE,30/07/2015,2.5,0.0, ,20.5,9.2,90,56,3.02,15.12
REDCLIFFE,31/07/2015,3.4,0.0, ,23.6,9.8,92,27,2.98,15.53
Totals:,,77.6,8.8, ,,,,,, 
