'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for August 2015,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 September 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/08/2015,2.8,0.0, ,21.7,8.6,89,47,2.92,15.91
REDCLIFFE,02/08/2015,3.1,0.0, ,23.9,10.6,92,51,3.55,16.00
REDCLIFFE,03/08/2015, ,0.0, , ,14.6,87,47,3.51,15.78
REDCLIFFE,04/08/2015, , , ,20.9, ,80,43,4.42,11.32
REDCLIFFE,05/08/2015,3.9,0.0, ,19.0,6.6,61,23,4.28,17.18
REDCLIFFE,06/08/2015,3.9,0.0, ,19.6,8.1,60,29,4.21,16.73
REDCLIFFE,07/08/2015,3.1,0.0, ,19.5,7.9,80,36,3.41,16.04
REDCLIFFE,08/08/2015,3.2,0.0, ,19.7,6.8,83,33,3.34,17.01
REDCLIFFE,09/08/2015,3.0,0.0, ,19.9,9.1,86,49,3.67,16.82
REDCLIFFE,10/08/2015,2.9,0.0, ,21.4,9.4,91,54,3.72,16.30
REDCLIFFE,11/08/2015,3.0,0.0, ,21.8,8.8,92,54,3.79,17.30
REDCLIFFE,12/08/2015,5.1,0.0, ,26.0,15.6,79,25,5.28,14.05
REDCLIFFE,13/08/2015,5.5,1.6, ,21.5,12.7,46,22,5.91,18.04
REDCLIFFE,14/08/2015,3.3,0.0, ,19.8,7.0,78,31,2.92,17.84
REDCLIFFE,15/08/2015,3.2,0.0, ,20.8,8.1,83,45,3.50,17.05
REDCLIFFE,16/08/2015,2.9,0.0, ,21.3,10.4,88,54,4.67,11.64
REDCLIFFE,17/08/2015,3.1,0.2, ,22.0,10.6,92,51,3.51,16.25
REDCLIFFE,18/08/2015,3.6,0.2, ,21.8,10.0,92,32,3.45,18.30
REDCLIFFE,19/08/2015,3.2,0.0, ,21.1,10.6,84,52,4.06,16.65
REDCLIFFE,20/08/2015,3.0,0.0, ,21.0,11.4,86,57,4.32,14.16
REDCLIFFE,21/08/2015,2.3,2.6, ,20.4,16.6,90,74,4.61,11.24
REDCLIFFE,22/08/2015,2.6,11.8, ,22.1,16.7,92,72,3.09,15.35
REDCLIFFE,23/08/2015,2.6,0.0, ,23.3,16.1,92,63,3.22,11.91
REDCLIFFE,24/08/2015,4.0,0.0, ,25.7,18.1,85,54,5.97,13.22
REDCLIFFE,25/08/2015,3.8,0.8, ,26.0,17.8,88,56,4.46,16.61
REDCLIFFE,26/08/2015,3.7,0.0, ,25.6,16.4,89,44,3.04,16.81
REDCLIFFE,27/08/2015,2.6,0.0, ,24.1,16.5,91,41,2.33,8.28
REDCLIFFE,28/08/2015,3.3,1.4, ,22.5,15.7,91,49,3.36,15.88
REDCLIFFE,29/08/2015,2.9,0.2, ,22.2,12.1,92,48,3.52,11.13
REDCLIFFE,30/08/2015,4.3,19.0, ,22.3,14.5,92,27,3.94,19.61
REDCLIFFE,31/08/2015,3.8,0.0, ,21.5,10.8,80,44,3.90,19.74
Totals:,,97.7,37.8, ,,,,,, 
