'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for September 2015,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 October 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/09/2015,4.9,0.0, ,23.6,11.3,73,23,3.96,20.73
REDCLIFFE,02/09/2015,3.9,0.0, ,21.9,8.2,82,29,3.51,17.21
REDCLIFFE,03/09/2015,5.9,1.6, ,25.3,17.0,88,17,6.51,15.71
REDCLIFFE,04/09/2015,5.0,1.2, ,22.8,12.3,71,33,5.20,20.47
REDCLIFFE,05/09/2015,3.8,0.0, ,21.9,12.8,82,53,4.23,19.57
REDCLIFFE,06/09/2015,3.2,0.0, ,23.6,13.7,87,52,3.34,13.79
REDCLIFFE,07/09/2015,3.6,0.0, ,23.8,14.4,92,60,4.97,17.59
REDCLIFFE,08/09/2015,5.3,0.0, ,28.0,16.1,85,25,4.19,17.39
REDCLIFFE,09/09/2015,5.2,0.4, ,24.0,11.1,76,25,4.58,21.77
REDCLIFFE,10/09/2015,4.9,0.0, ,22.2,11.6,80,41,6.88,20.89
REDCLIFFE,11/09/2015,3.4,0.0, ,20.9,14.0,83,58,7.61,10.03
REDCLIFFE,12/09/2015,4.3,0.2, ,23.0,15.5,86,47,5.60,18.47
REDCLIFFE,13/09/2015,3.9,0.0, ,22.8,12.7,88,53,4.19,19.91
REDCLIFFE,14/09/2015,3.8,0.2, ,23.0,12.9,86,56,3.96,20.45
REDCLIFFE,15/09/2015,3.9,0.0, ,24.5,13.3,90,54,4.56,17.81
REDCLIFFE,16/09/2015,4.6,0.0, ,25.7,14.2,88,53,4.94,21.97
REDCLIFFE,17/09/2015,2.3,5.2, ,22.1,16.8,91,65,3.08,8.51
REDCLIFFE,18/09/2015,4.3,9.6, ,22.2,12.8,92,49,7.98,17.21
REDCLIFFE,19/09/2015,5.0,0.4, ,22.4,13.5,78,46,7.97,19.98
REDCLIFFE,20/09/2015,4.2,0.2, ,22.3,13.2,90,54,7.18,19.17
REDCLIFFE,21/09/2015,3.9,2.6, ,22.4,14.6,91,57,4.41,20.90
REDCLIFFE,22/09/2015,5.0,0.2, ,26.5,14.1,89,36,3.83,21.57
REDCLIFFE,23/09/2015,5.0,0.0, ,21.3,13.7,73,43,7.42,18.30
REDCLIFFE,24/09/2015,5.2,0.0, ,20.7,9.7,72,31,5.50,24.23
REDCLIFFE,25/09/2015,4.9,0.0, ,23.5,10.2,76,38,5.41,18.33
REDCLIFFE,26/09/2015,4.1,0.0, ,22.3,14.0,81,52,7.02,13.98
REDCLIFFE,27/09/2015,3.9,0.0, ,22.0,12.5,89,46,3.77,18.94
REDCLIFFE,28/09/2015,4.3,1.2, ,22.9,11.8,91,50,4.31,22.67
REDCLIFFE,29/09/2015,4.4,0.0, ,26.1,13.2,89,51,4.74,18.63
REDCLIFFE,30/09/2015,4.6,22.4, ,25.4,12.1,92,49,4.25,22.87
Totals:,,130.7,45.4, ,,,,,, 
