'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for December 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 January 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/12/2015,6.5,0.0, ,29.6,23.6,81,56,7.50,23.45
REDCLIFFE,02/12/2015,2.7,0.0, ,27.8,23.9,90,64,3.49,6.84
REDCLIFFE,03/12/2015,6.1,16.8, ,26.0,20.7,89,43,10.46,17.73
REDCLIFFE,04/12/2015,5.2,0.0, ,24.7,17.5,75,54,8.95,15.17
REDCLIFFE,05/12/2015,6.2,0.0, ,26.1,17.2,75,53,7.04,26.38
REDCLIFFE,06/12/2015,6.7,0.2, ,26.6,17.7,79,49,6.02,31.04
REDCLIFFE,07/12/2015,6.4,0.0, ,27.4,18.6,80,57,5.46,30.35
REDCLIFFE,08/12/2015,6.4,0.0, ,28.4,20.1,82,49,4.77,27.97
REDCLIFFE,09/12/2015,6.0,0.0, ,28.6,20.8,81,58,5.78,24.64
REDCLIFFE,10/12/2015,6.1,0.0, ,29.0,23.2,81,56,5.76,23.50
REDCLIFFE,11/12/2015,6.5,1.6, ,30.3,21.7,85,52,6.02,25.33
REDCLIFFE,12/12/2015,1.9,0.4, ,22.3,22.0,88,73,4.41,2.94
REDCLIFFE,13/12/2015,4.6,8.4, ,25.9,18.8,89,49,6.44,12.95
REDCLIFFE,14/12/2015,6.2,4.0, ,26.9,17.8,82,53,4.03,31.02
REDCLIFFE,15/12/2015,6.1,0.0, ,28.1,19.8,86,48,3.58,27.90
REDCLIFFE,16/12/2015,4.0,0.0, ,27.0,22.8,73,55,4.73,8.29
REDCLIFFE,17/12/2015,6.4,1.6, ,27.4,21.2,91,50,7.40,27.09
REDCLIFFE,18/12/2015,5.6,12.4, ,26.6,19.4,91,54,5.25,25.94
REDCLIFFE,19/12/2015,6.7,0.6, ,27.4,19.8,83,47,4.44,31.25
REDCLIFFE,20/12/2015,7.9,0.0, ,28.7,22.9,67,41,6.05,29.43
REDCLIFFE,21/12/2015,7.4,0.0, ,29.0,21.7,76,47,5.62,31.21
REDCLIFFE,22/12/2015,5.7,0.0, ,28.2,21.6,82,55,4.36,24.15
REDCLIFFE,23/12/2015,6.7,0.0, ,28.7,22.5,87,47,5.23,28.56
REDCLIFFE,24/12/2015,3.4,7.2, ,26.3,20.9,90,59,5.67,7.71
REDCLIFFE,25/12/2015,5.6,14.0, ,26.9,20.0,83,55,6.68,21.23
REDCLIFFE,26/12/2015,6.3,0.0, ,29.1,18.7,89,55,5.49,28.35
REDCLIFFE,27/12/2015,3.8,0.8, ,28.8,23.5,91,64,5.96,10.58
REDCLIFFE,28/12/2015,6.3,52.0, ,26.5,21.3,70,56,11.93,16.26
REDCLIFFE,29/12/2015,6.3,0.0, ,26.0,18.9,73,48,9.46,18.01
REDCLIFFE,30/12/2015,7.7,0.0, ,26.8,18.7,69,41,8.78,28.12
REDCLIFFE,31/12/2015,7.2,0.0, ,26.6,19.7,69,46,9.12,24.16
Totals:,,180.6,120, ,,,,,, 
