'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for January 2016,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/01/2016,7.1,0.0, ,27.3,19.3,67,42,6.78,24.97
REDCLIFFE,02/01/2016,6.5,0.0, ,26.7,17.8,76,45,4.96,29.26
REDCLIFFE,03/01/2016,4.2,0.2, ,27.4,21.0,86,62,6.40,12.62
REDCLIFFE,04/01/2016,3.3,5.6, ,26.3,18.7,90,67,4.51,11.96
REDCLIFFE,05/01/2016,1.6,19.6, ,25.9,20.4,91,86,5.06,3.50
REDCLIFFE,06/01/2016,7.3,33.2, ,31.7,20.4,92,36,4.10,30.41
REDCLIFFE,07/01/2016, ,0.0, , ,21.6,89,53,5.58,29.50
REDCLIFFE,08/01/2016, , , , , ,64,38,7.84,28.84
REDCLIFFE,09/01/2016, , , ,27.6, ,79,51,4.49,29.47
REDCLIFFE,10/01/2016,6.1,0.0, ,28.1,21.0,84,50,4.40,26.77
REDCLIFFE,11/01/2016,6.8,0.0, ,28.3,20.7,83,45,4.47,30.49
REDCLIFFE,12/01/2016,6.7,0.0, ,28.9,20.8,83,54,5.39,30.20
REDCLIFFE,13/01/2016,6.3,0.0, ,28.8,21.1,85,56,3.98,29.95
REDCLIFFE,14/01/2016,6.6,0.0, ,29.4,21.2,86,48,4.87,28.41
REDCLIFFE,15/01/2016,7.5,0.0, ,29.9,21.1,83,47,7.91,28.88
REDCLIFFE,16/01/2016,5.1,0.4, ,25.5,19.4,83,50,11.65,7.96
REDCLIFFE,17/01/2016,7.8,0.4, ,27.2,18.8,68,43,9.36,27.87
REDCLIFFE,18/01/2016,6.5,0.0, ,27.4,19.9,68,41,6.08,20.54
REDCLIFFE,19/01/2016,6.7,2.2, ,28.2,20.1,76,45,4.47,29.40
REDCLIFFE,20/01/2016,6.6,0.0, ,28.3,19.4,85,50,5.05,30.36
REDCLIFFE,21/01/2016, ,0.0, , ,19.8,74,48,5.49,29.76
REDCLIFFE,22/01/2016, , , ,30.6, ,76,45,6.77,27.43
REDCLIFFE,23/01/2016,4.6,0.0, ,30.0,23.7,79,53,5.64,9.75
REDCLIFFE,24/01/2016,6.1,0.0, ,29.8,22.9,83,58,6.57,23.35
REDCLIFFE,25/01/2016,5.7,0.0, ,28.9,24.5,76,59,5.15,20.92
REDCLIFFE,26/01/2016,4.3,0.0, ,28.0,24.4,76,59,6.13,8.82
REDCLIFFE,27/01/2016,5.8,0.0, ,28.5,21.8,82,50,5.83,20.37
REDCLIFFE,28/01/2016,3.2,0.0, ,28.6,22.4,87,66,5.19,7.03
REDCLIFFE,29/01/2016,5.6,1.2, ,33.8,23.1,90,55,5.26,18.05
REDCLIFFE,30/01/2016,3.0,1.6, ,29.2,23.5,88,71,6.17,5.98
REDCLIFFE,31/01/2016,5.8,6.6, ,30.8,23.7,85,61,6.83,20.65
Totals:,,146.8,71, ,,,,,, 
