'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for April 2016,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 May 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/04/2016,5.1,0.2, ,27.9,21.5,72,53,4.82,19.61
REDCLIFFE,02/04/2016,4.8,0.0, ,28.7,19.8,88,50,4.20,20.18
REDCLIFFE,03/04/2016,4.8,0.0, ,27.9,19.5,87,57,5.00,21.20
REDCLIFFE,04/04/2016,5.5,5.4, ,28.4,20.5,90,51,8.24,19.50
REDCLIFFE,05/04/2016,6.3,0.4, ,27.5,20.0,71,45,7.63,21.32
REDCLIFFE,06/04/2016,4.9,0.0, ,27.7,18.8,78,49,4.17,20.96
REDCLIFFE,07/04/2016,4.8,0.0, ,28.6,18.3,89,48,4.15,21.00
REDCLIFFE,08/04/2016,4.3,0.0, ,28.8,20.4,79,47,3.24,16.71
REDCLIFFE,09/04/2016,4.5,0.0, ,28.8,19.6,84,49,3.30,19.70
REDCLIFFE,10/04/2016,4.8,0.0, ,28.8,19.4,88,52,4.67,20.29
REDCLIFFE,11/04/2016,4.3,0.0, ,30.2,20.5,86,45,3.88,13.67
REDCLIFFE,12/04/2016,3.9,0.0, ,27.0,19.5,88,60,5.76,14.33
REDCLIFFE,13/04/2016,5.0,15.2, ,26.5,19.8,88,55,8.74,19.57
REDCLIFFE,14/04/2016,4.8,0.2, ,26.2,20.0,86,50,8.75,13.16
REDCLIFFE,15/04/2016,4.1,2.0, ,26.0,17.4,86,49,5.87,12.06
REDCLIFFE,16/04/2016,4.3,0.2, ,25.8,16.8,78,53,5.10,17.48
REDCLIFFE,17/04/2016,4.1,0.0, ,26.7,18.1,84,53,4.59,17.04
REDCLIFFE,18/04/2016,4.3,0.0, ,26.6,18.2,82,50,4.33,18.08
REDCLIFFE,19/04/2016,3.9,0.0, ,26.0,17.8,86,53,4.31,16.53
REDCLIFFE,20/04/2016,4.6,0.0, ,27.1,17.7,86,48,5.04,19.43
REDCLIFFE,21/04/2016,4.0,0.0, ,26.3,18.6,84,57,4.28,18.53
REDCLIFFE,22/04/2016,4.0,0.0, ,27.7,19.0,89,48,3.27,18.60
REDCLIFFE,23/04/2016,4.4,0.0, ,26.4,18.7,90,54,6.28,18.64
REDCLIFFE,24/04/2016,6.6,0.0, ,26.8,18.3,68,34,8.49,18.39
REDCLIFFE,25/04/2016,5.3,0.0, ,26.0,17.8,84,44,8.80,16.35
REDCLIFFE,26/04/2016,4.5,3.0, ,25.3,18.6,84,54,8.89,12.75
REDCLIFFE,27/04/2016,4.2,0.8, ,25.0,19.1,84,54,6.78,15.30
REDCLIFFE,28/04/2016,3.1,0.2, ,25.7,18.5,86,63,4.24,12.26
REDCLIFFE,29/04/2016,2.5,3.2, ,25.2,17.9,89,67,4.05,9.03
REDCLIFFE,30/04/2016,2.9,7.0, ,26.7,20.2,90,66,3.00,14.05
Totals:,,134.6,37.8, ,,,,,, 
