'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for May 2016,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 June 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/05/2016,1.8,2.6, ,23.3,21.3,92,82,3.46,7.26
REDCLIFFE,02/05/2016,2.7,12.8, ,26.1,19.7,92,66,3.02,12.91
REDCLIFFE,03/05/2016,3.5,2.0, ,27.9,20.2,90,56,3.13,16.70
REDCLIFFE,04/05/2016,4.8,0.0, ,27.4,19.3,82,27,4.24,17.72
REDCLIFFE,05/05/2016,3.6,0.0, ,25.6,17.0,87,55,4.04,17.59
REDCLIFFE,06/05/2016,3.5,0.0, ,25.7,17.2,89,55,3.67,17.19
REDCLIFFE,07/05/2016,3.7,0.0, ,25.6,17.3,89,53,4.75,17.14
REDCLIFFE,08/05/2016,3.3,0.0, ,26.2,17.2,86,61,3.50,16.39
REDCLIFFE,09/05/2016,3.3,0.2, ,26.9,18.5,92,63,4.76,15.31
REDCLIFFE,10/05/2016,4.0,0.0, ,29.5,21.5,80,41,4.03,10.56
REDCLIFFE,11/05/2016,3.9,0.0, ,24.6,18.1,73,34,3.94,11.29
REDCLIFFE,12/05/2016,4.5,0.0, ,26.6,11.2,68,18,3.45,16.87
REDCLIFFE,13/05/2016,3.5,0.0, ,24.8,12.4,85,43,3.50,16.77
REDCLIFFE,14/05/2016,3.5,0.0, ,25.6,15.3,88,49,3.80,16.23
REDCLIFFE,15/05/2016,3.7,0.0, ,26.0,14.4,90,39,3.74,16.56
REDCLIFFE,16/05/2016,3.1,0.0, ,25.4,13.0,90,50,3.23,15.38
REDCLIFFE,17/05/2016,3.2,0.0, ,26.1,14.7,92,52,3.45,15.32
REDCLIFFE,18/05/2016,3.1,0.0, ,26.0,14.6,92,51,3.10,15.18
REDCLIFFE,19/05/2016,2.6,0.0, ,25.8,15.1,92,55,2.22,13.61
REDCLIFFE,20/05/2016,3.9,0.0, ,27.0,14.0,88,23,3.28,15.08
REDCLIFFE,21/05/2016,4.2,0.0, ,25.5,16.8,75,49,5.95,14.62
REDCLIFFE,22/05/2016,3.1,0.0, ,25.0,18.7,85,55,3.85,13.11
REDCLIFFE,23/05/2016,3.3,0.0, ,25.5,15.5,88,50,4.05,14.78
REDCLIFFE,24/05/2016,3.6,0.0, ,25.0,16.1,86,34,3.67,14.74
REDCLIFFE,25/05/2016,3.3,0.0, ,23.9,9.7,76,26,2.81,14.66
REDCLIFFE,26/05/2016,4.3,0.0, ,27.1,10.1,84,38,4.91,14.34
REDCLIFFE,27/05/2016,4.1,0.0, ,26.1,16.2,77,37,4.45,13.99
REDCLIFFE,28/05/2016,4.7,0.0, ,23.9,13.6,50,27,4.76,14.47
REDCLIFFE,29/05/2016,3.5,0.0, ,20.8,13.1,72,33,4.09,13.77
REDCLIFFE,30/05/2016,2.6,0.0, ,21.8,9.5,80,41,2.65,13.83
REDCLIFFE,31/05/2016,3.5,0.0, ,23.7,12.4,84,44,5.02,12.58
Totals:,,109.4,17.6, ,,,,,, 
