'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for August 2016,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 September 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/08/2016,3.0,0.0, ,21.4,8.9,90,32,2.69,16.22
REDCLIFFE,02/08/2016,2.1,0.0, ,22.5,14.3,87,60,2.58,7.89
REDCLIFFE,03/08/2016,3.5,0.2, ,19.4,13.8,89,40,5.44,15.82
REDCLIFFE,04/08/2016,4.0,0.0, ,21.3,12.0,80,41,6.91,12.08
REDCLIFFE,05/08/2016,3.7,0.0, ,20.7,11.9,76,47,6.47,12.36
REDCLIFFE,06/08/2016,3.1,0.0, ,20.8,11.0,86,55,5.26,14.79
REDCLIFFE,07/08/2016,3.1,0.0, ,21.1,12.0,88,50,4.37,15.38
REDCLIFFE,08/08/2016,3.2,0.0, ,21.1,12.8,85,44,3.88,14.01
REDCLIFFE,09/08/2016,3.1,0.0, ,21.0,11.2,86,45,3.22,17.03
REDCLIFFE,10/08/2016,3.2,0.0, ,22.8,10.7,90,50,3.66,17.11
REDCLIFFE,11/08/2016,3.5,0.0, ,24.9,11.5,91,45,3.83,14.40
REDCLIFFE,12/08/2016,3.0,0.0, ,21.0,13.0,91,54,3.63,17.23
REDCLIFFE,13/08/2016,3.1,0.2, ,22.5,11.4,91,44,2.89,16.10
REDCLIFFE,14/08/2016,4.4,0.0, ,21.5,11.9,75,34,5.42,17.68
REDCLIFFE,15/08/2016,3.7,0.0, ,21.7,13.5,89,52,7.01,15.93
REDCLIFFE,16/08/2016,4.2,0.2, ,21.2,13.8,75,45,6.34,17.32
REDCLIFFE,17/08/2016,3.6,0.0, ,21.9,12.0,82,52,4.89,16.94
REDCLIFFE,18/08/2016,2.8,0.6, ,20.8,13.7,87,57,4.03,12.27
REDCLIFFE,19/08/2016,3.6,0.2, ,22.6,12.4,88,43,3.69,17.48
REDCLIFFE,20/08/2016,3.4,0.0, ,24.8,14.4,91,50,4.01,13.46
REDCLIFFE,21/08/2016,3.5,0.8, ,20.1,9.1,87,38,3.71,18.63
REDCLIFFE,22/08/2016,3.5,0.2, ,23.4,12.4,88,56,4.47,18.26
REDCLIFFE,23/08/2016,4.1,0.0, ,25.7,17.0,87,49,4.90,15.72
REDCLIFFE,24/08/2016,1.7,2.2, ,23.0,19.3,92,77,4.53,4.30
REDCLIFFE,25/08/2016,4.1,7.0, ,20.6,14.9,91,33,5.02,18.82
REDCLIFFE,26/08/2016,3.6,0.0, ,20.5,8.8,74,34,3.31,17.13
REDCLIFFE,27/08/2016,4.5,0.0, ,21.6,9.3,68,20,3.77,19.34
REDCLIFFE,28/08/2016,3.7,0.0, ,21.5,9.6,84,34,3.17,19.54
REDCLIFFE,29/08/2016,3.4,0.0, ,22.2,11.3,89,52,3.51,19.19
REDCLIFFE,30/08/2016,3.5,0.0, ,22.1,13.7,88,49,3.32,18.91
REDCLIFFE,31/08/2016,2.9,0.0, ,23.1,12.1,90,57,3.50,13.00
Totals:,,105.8,11.6, ,,,,,, 
