'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for October 2016,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 November 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/10/2016,6.1,0.0, ,27.2,11.4,76,18,3.83,24.73
REDCLIFFE,02/10/2016,5.6,0.0, ,24.8,11.9,76,28,4.21,24.13
REDCLIFFE,03/10/2016,3.9,0.0, ,25.8,19.0,89,42,4.64,9.53
REDCLIFFE,04/10/2016,6.1,14.6, ,26.2,14.3,70,23,4.28,24.00
REDCLIFFE,05/10/2016,6.6,0.0, ,28.1,14.8,71,20,4.15,25.30
REDCLIFFE,06/10/2016,5.9,0.0, ,27.1,13.2,77,18,3.21,25.46
REDCLIFFE,07/10/2016,5.7,0.0, ,26.2,11.6,81,28,3.77,25.57
REDCLIFFE,08/10/2016,5.4,0.0, ,27.4,13.9,85,50,4.61,25.39
REDCLIFFE,09/10/2016,4.7,0.0, ,24.1,17.1,91,55,7.93,20.44
REDCLIFFE,10/10/2016, ,0.0, , ,19.5,73,49,6.25,24.99
REDCLIFFE,11/10/2016, , , ,27.9, ,79,50,7.47,25.30
REDCLIFFE,12/10/2016,5.0,0.0, ,23.6,17.7,74,50,6.36,18.59
REDCLIFFE,13/10/2016,6.5,1.2, ,25.8,14.3,91,32,7.85,24.75
REDCLIFFE,14/10/2016,6.3,0.0, ,22.7,14.5,68,42,8.97,24.94
REDCLIFFE,15/10/2016,5.5,0.0, ,23.2,12.9,73,38,5.50,23.47
REDCLIFFE,16/10/2016,5.9,0.0, ,25.2,12.5,79,43,5.94,26.74
REDCLIFFE,17/10/2016,5.8,0.0, ,26.9,17.1,89,44,6.79,22.41
REDCLIFFE,18/10/2016,5.5,4.4, ,24.0,11.6,81,30,3.70,27.10
REDCLIFFE,19/10/2016,5.7,0.0, ,26.4,13.3,85,30,3.32,27.21
REDCLIFFE,20/10/2016,5.1,0.0, ,25.7,16.4,79,55,4.82,23.41
REDCLIFFE,21/10/2016,6.6,0.0, ,25.8,20.3,71,47,6.57,26.98
REDCLIFFE,22/10/2016,5.7,0.0, ,27.3,17.8,79,50,5.76,22.52
REDCLIFFE,23/10/2016,3.6,6.0, ,20.9,13.9,89,37,4.88,9.46
REDCLIFFE,24/10/2016,5.9,0.2, ,23.3,12.4,72,34,4.89,27.35
REDCLIFFE,25/10/2016,5.9,0.0, ,25.5,13.2,85,43,5.56,27.34
REDCLIFFE,26/10/2016, ,0.0, , ,15.3,81,44,5.95,27.82
REDCLIFFE,27/10/2016, , , ,27.9, ,75,38,5.79,26.78
REDCLIFFE,28/10/2016,5.9,0.0, ,27.2,17.0,82,42,5.66,22.25
REDCLIFFE,29/10/2016,6.6,0.0, ,26.7,21.1,73,47,5.65,27.29
REDCLIFFE,30/10/2016,6.3,0.0, ,26.9,17.4,84,48,6.16,28.17
REDCLIFFE,31/10/2016,5.3,0.0, ,27.6,20.8,85,48,5.94,17.20
Totals:,,153.1,26.4, ,,,,,, 
