'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for November 2016,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 December 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/11/2016,2.7,3.6, ,25.3,21.1,91,72,3.79,9.87
REDCLIFFE,02/11/2016,6.6,5.6, ,25.9,15.9,87,29,5.30,28.80
REDCLIFFE,03/11/2016,5.4,0.0, ,26.1,17.8,84,41,4.27,22.46
REDCLIFFE,04/11/2016,6.6,0.0, ,27.1,19.1,74,49,6.00,28.47
REDCLIFFE,05/11/2016,6.9,0.0, ,29.7,18.7,84,46,5.60,28.91
REDCLIFFE,06/11/2016,7.1,0.0, ,28.6,18.3,84,33,5.00,29.15
REDCLIFFE,07/11/2016,6.1,0.0, ,28.0,22.1,82,56,6.04,26.08
REDCLIFFE,08/11/2016,7.3,0.0, ,30.4,23.0,83,49,7.42,27.95
REDCLIFFE,09/11/2016,6.6,0.0, ,29.1,22.6,79,55,8.18,24.14
REDCLIFFE,10/11/2016,6.6,0.6, ,29.9,21.6,84,52,5.45,27.87
REDCLIFFE,11/11/2016,6.0,0.0, ,28.8,22.3,82,61,4.74,27.35
REDCLIFFE,12/11/2016,5.5,0.0, ,30.4,23.8,91,59,6.59,20.34
REDCLIFFE,13/11/2016,5.0,14.8, ,30.8,21.9,88,62,4.65,19.59
REDCLIFFE,14/11/2016,8.8,2.4, ,30.4,21.7,71,18,6.03,28.50
REDCLIFFE,15/11/2016,7.0,0.0, ,25.0,16.8,62,34,5.55,28.61
REDCLIFFE,16/11/2016,6.1,0.0, ,25.9,17.1,78,49,4.76,29.32
REDCLIFFE,17/11/2016,5.7,0.8, ,25.4,17.7,86,53,7.02,25.87
REDCLIFFE,18/11/2016,6.6,0.0, ,24.9,20.3,69,45,5.56,28.60
REDCLIFFE,19/11/2016,5.5,0.0, ,26.8,18.5,79,51,4.32,23.44
REDCLIFFE,20/11/2016,6.0,0.0, ,26.5,18.5,84,52,4.53,28.83
REDCLIFFE,21/11/2016,6.5,0.0, ,26.2,18.9,85,45,5.45,30.03
REDCLIFFE,22/11/2016,6.8,0.0, ,26.9,21.3,74,52,6.99,27.66
REDCLIFFE,23/11/2016, ,0.2, , ,20.3,83,56,5.29,30.40
REDCLIFFE,24/11/2016, , , ,30.5, ,88,50,6.39,29.49
REDCLIFFE,25/11/2016,6.4,0.0, ,26.5,20.8,76,53,6.03,27.86
REDCLIFFE,26/11/2016,4.0,88.0, ,25.2,19.6,91,62,6.21,15.07
REDCLIFFE,27/11/2016,5.7,1.6, ,27.0,20.7,83,53,4.26,25.20
REDCLIFFE,28/11/2016,6.5,0.0, ,27.1,19.4,82,51,5.26,30.24
REDCLIFFE,29/11/2016,7.3,0.0, ,27.7,19.5,74,43,5.92,30.83
REDCLIFFE,30/11/2016,6.9,0.0, ,27.9,19.8,82,39,5.50,27.66
Totals:,,174.2,117.6, ,,,,,, 
