'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for REDCLIFFE Queensland for January 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 February 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
REDCLIFFE,01/01/2017,8.4,0.0, ,32.7,25.4,80,53,8.45,31.10
REDCLIFFE,02/01/2017,6.8,0.0, ,31.4,25.9,90,58,8.20,26.05
REDCLIFFE,03/01/2017,2.6,14.8, ,25.4,22.6,92,78,11.21,4.71
REDCLIFFE,04/01/2017,6.1,38.6, ,27.5,21.8,82,52,11.18,16.41
REDCLIFFE,05/01/2017,5.2,0.0, ,27.4,22.4,82,63,7.28,18.65
REDCLIFFE,06/01/2017,5.8,9.8, ,27.8,22.5,88,56,7.32,22.55
REDCLIFFE,07/01/2017,6.8,2.8, ,27.7,21.9,89,51,9.45,27.55
REDCLIFFE,08/01/2017,6.8,0.8, ,27.9,20.8,84,51,6.93,29.26
REDCLIFFE,09/01/2017,6.4,0.0, ,28.2,19.6,80,56,5.31,29.47
REDCLIFFE,10/01/2017,6.8,0.2, ,29.8,23.1,83,61,6.53,30.25
REDCLIFFE,11/01/2017,7.3,0.0, ,30.4,22.8,83,50,6.48,29.44
REDCLIFFE,12/01/2017,7.3,0.0, ,32.4,24.3,82,53,5.12,28.98
REDCLIFFE,13/01/2017,7.0,0.0, ,31.3,25.5,85,57,5.82,28.72
REDCLIFFE,14/01/2017,8.2,0.0, ,33.3,24.5,87,49,7.60,30.69
REDCLIFFE,15/01/2017,4.0,0.6, ,30.6,25.8,85,72,5.85,12.52
REDCLIFFE,16/01/2017,6.8,0.0, ,29.8,24.6,83,60,6.02,29.15
REDCLIFFE,17/01/2017,7.0,0.0, ,30.9,23.2,83,55,5.11,29.55
REDCLIFFE,18/01/2017,8.3,0.0, ,33.3,21.9,83,43,6.31,30.70
REDCLIFFE,19/01/2017,5.8,0.0, ,30.3,26.3,74,57,8.40,12.06
REDCLIFFE,20/01/2017,6.9,0.0, ,31.4,24.0,81,56,5.56,27.17
REDCLIFFE,21/01/2017,6.4,0.0, ,35.9,27.4,82,47,6.81,12.27
REDCLIFFE,22/01/2017,6.2,0.4, ,28.2,22.8,81,49,7.84,19.53
REDCLIFFE,23/01/2017,7.3,0.0, ,29.2,23.9,57,40,5.24,23.16
REDCLIFFE,24/01/2017,7.7,0.0, ,30.6,19.8,77,39,5.38,30.30
REDCLIFFE,25/01/2017,7.2,0.0, ,30.2,21.8,78,48,5.17,30.06
REDCLIFFE,26/01/2017,7.0,0.0, ,30.3,23.1,80,50,5.11,28.65
REDCLIFFE,27/01/2017,3.3,0.8, ,28.4,24.2,85,62,3.88,8.65
REDCLIFFE,28/01/2017,6.4,0.2, ,30.2,25.0,77,55,4.72,24.76
REDCLIFFE,29/01/2017,6.9,0.0, ,30.3,23.7,74,53,4.88,28.11
REDCLIFFE,30/01/2017,7.9,0.0, ,31.3,25.4,71,44,5.65,28.33
REDCLIFFE,31/01/2017,7.7,0.0, ,32.0,22.0,83,45,5.91,29.68
Totals:,,204.3,69, ,,,,,, 
